{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-340F0,-34287,-340DD
-1C601,-1C5F2,-1C64D
-340C3,-34036,-34131
-1C65F,-1C9AE,-1C665
-3412B,-340E0,-33F3A
-1C603,-1C688,-1C648
-3403C,-3410C,-340AA
-1C64F,-1C6D2,-1C608
-341A5,-340B8,-34115
-1C4A4,-1C3CF,-1C3BA
-33E94,-33E65,-33F6A
-1C4F0,-1C43F,-1C33E
-33E03,-33F3C,-33DF7
-1C367,-1C2E9,-1C400
-33D22,-33D99,-33EA8
-1C34E,-1C1B9,-1C27F
-33D20,-33D4E,-33ED2
-1C4C1,-1C44A,-1C209
-33D37,-33C6E,-33EAC
-1C346,-1C375,-1C21C
-33D19,-33CFA,-33DEC
-1C449,-1C1E9,-1C3C0
-33D58,-33EEF,-33DF5
-1C28C,-1C212,-1C141
-33C35,-33CE1,-33F61
-1C293,-1C23C,-1C443
-33D37,-33DAF,-33CFC
-1C2F6,-1C2DE,-1C125
-33CEA,-33C34,-33F07
-1C243,-1C39F,-1C403
-33BB2,-33E03,-33DF7
-1C52F,-1C202,-1C299
-33F3A,-33E76,-33DC9
-1C1CB,-1C3A7,-1C27E
-33DBC,-33C16,-33C46
-1C211,-1C06D,-1C0BC
-33C3D,-33AC2,-33D56
-1C1D8,-1C30C,-1C177
-33C15,-33A9A,-33C2D
-1D075,-1D08E,-1D036
-33BAA,-339C4,-33C0C
-1C06F,-1C1D1,-1C0C3
-33ADE,-33B98,-33AFD
-1C271,-1C121,-1C106
-33DDE,-33D88,-33E5F
-1C18D,-1C2C7,-1C0BC
-33C47,-33BAC,-33BD4
-1C255,-1C042,-1C203
-33B40,-33B02,-33AB8
-1C14A,-1C290,-1C07B
-339F7,-33B5F,-33C05
-1C136,-1C0B7,-1BF37
-33A7B,-339D5,-33A8B
-1BF2A,-1BE27,-1BFEB
-33C05,-33C43,-33B92
-1BF40,-1BF47,-1BF82
-33BF2,-33B98,-33AD8
-1BF74,-1C027,-1BE6E
-3394D,-33847,-33B41
-1C0A9,-1BF9B,-1BFDE
-33955,-339CC,-33B06
-1C160,-1C1BE,-1C04A
-33A6E,-33B7A,-33B3E
-1BEE1,-1BF92,-1BFDC
-33845,-339B6,-33D0C
-1BDA5,-1BEB5,-1BF52
-33B09,-33B1E,-33D0A
-1BF54,-1BFD5,-1BFEB
-33B95,-33AC5,-33B44
-1BF81,-1C01C,-1BF44
-33937,-339F9,-33985
-1BFAF,-1BF25,-1BD76
-33830,-338A7,-337E2
-1BF2D,-1BD02,-1BD92
-3386B,-33782,-338FB
-1BE99,-1BE49,-1BE3C
-33774,-33838,-33842
-1BF13,-1BE3F,-1BE7C
-3391F,-338CD,-339A8
-1BD4A,-1BCFE,-1BD4E
-33801,-3380A,-3387A
-1BF07,-1C001,-1BF81
-339BE,-33897,-339D3
-1BFA1,-1BEB3,-1BEF0
-33A75,-33922,-338FB
-1BE69,-1BF6E,-1BEB4
-33726,-337A6,-337D1
-1BD1F,-1BDE6,-1BC16
-337E7,-33969,-33883
-1BECA,-1BD05,-1BCC0
-33916,-337C8,-337A6
-1BD12,-1BB51,-1BBE9
-336BD,-33893,-336C9
-1BEB0,-1BCF4,-1BE40
-336C7,-337B0,-33A77
-1BD13,-1BC2F,-1BC55
-3375F,-338D7,-33721
-1BC22,-1BE3B,-1BC4A
-33749,-336ED,-337ED
-1BD5B,-1BC88,-1BBD3
-3369A,-3390B,-337F9
-1BE5E,-1BBC8,-1BCD9
-338E2,-33617,-3380D
-1BBCE,-1BD2D,-1BB7B
-339AE,-33A1B,-33A0A
-1C144,-1C0E5,-1BEAE
-3398F,-339E7,-33A9D
-1BF7C,-1BFA1,-1BF9E
-33B16,-33BD9,-33ABB
-1C074,-1BFF2,-1BE8A
-33A33,-33A2E,-33B9A
-1BFB4,-1BEF4,-1BF8F
-338E0,-33A29,-33B90
-1BDC5,-1BE06,-1BE62
-339E3,-33A9B,-33821
-1BDD3,-1BE81,-1C064
