{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
59E21,59DCB,59D9F
7178B,717CA,7193D
59EB3,59EA2,59EEC
718D6,718EB,7170F
59E7C,59DE7,59F2E
718C0,7197D,718CD
59E5F,59E93,59D4B
718AF,718E4,719AF
59E40,59EDA,59F1C
71820,718FD,71964
5A05F,59FA6,59D50
7182B,71884,71B16
59FB3,59F73,59DC1
719E9,71A0F,719B7
59EAC,59E9F,59DF9
7183B,71871,718E2
59EE9,59DE6,59D1E
7198B,718CB,71755
59EBA,59E69,59D0E
71A20,71970,718B4
59F23,5A105,59ED4
71871,7185E,718BC
5A048,59D07,59E9B
7197D,719FA,7198A
59F97,59EF3,59EA0
71983,718E6,718F8
5A077,59FA0,5A032
71A45,718C3,71AF3
59FBC,59D5B,5A06C
7188F,71886,71978
59EDD,59F7E,59F37
71A50,7187A,7171E
59E5B,5A02C,59E34
71AF9,718AE,719D8
59D4C,59E53,59ECC
7182B,717A1,71762
59F93,5A038,5A019
7194D,7196B,71784
5A001,59DB6,59D31
719B2,71991,717D4
59E2A,59E70,59CB5
7175C,7193A,717AA
59EB7,59E5C,59E8E
716C2,71833,7199D
5A0F5,59DB9,59E2A
71A36,719EB,71911
59F35,59DD7,59F89
71916,71971,71A8D
5A08A,59E0A,59EFA
719F1,71828,71826
59E3E,59F61,59FFE
719A3,719D9,71940
59EE8,5A14F,59F66
718B5,719FB,71A69
59FC1,5A004,5A013
719DB,71B81,71922
59EE6,59E0E,59D0A
719B5,718A2,71AAE
59EA7,59C5A,5A040
719B2,71A07,71911
5A125,59F73,59F54
71A67,71A44,71AB7
59FCF,5A093,59E43
718C0,71909,718D8
59F06,59F5F,59F57
7194A,71B19,71BA7
59E9A,59F56,59FBE
718A9,7194E,7194D
59F9A,5A050,5A0C0
71819,71A44,718AD
5A034,59F64,59F3D
718FC,71AB4,71962
59EA2,5A075,59E32
719E4,71A7D,71BF5
5A0A9,5A15F,5A05B
7192B,71992,71929
59ED1,59F53,5A156
719DE,71AEE,71A81
5A131,5A039,5A05F
71AC2,7198D,71A53
59ED5,5A0A7,5A13B
719F5,71BA3,71B2F
59F84,59FEB,59E9B
71B07,71878,71D3A
5A129,59EBF,59EB7
718F6,71937,719FA
5A153,59E77,59FA5
71AE3,71A63,71C4E
59FC2,5A085,5A014
71BC2,71930,71936
5A148,59FC5,5A194
71B0F,71B68,71A77
5A065,59EE7,5A069
70CEA,70D89,71051
5A574,5A714,5A531
7200E,71E88,72152
5A596,5A544,5A3FB
71F90,71F7F,71DDF
5A5E2,5A3FB,5A49D
71F2B,721C5,71F8D
5A5F9,5A5A8,5A4AB
71F99,72127,71FE0
5A44E,5A3C5,5A4DF
71F44,71F4F,72031
5A6E0,5A73C,5A55A
721F8,721E3,71FF9
5A670,5A640,5A697
72001,71F49,71FD1
5A7A3,5A7A8,5A6F0
72093,72313,722A3
5A680,5A5FD,5A7E2
72148,7236B,72056
5A82C,5A65F,5A50B
72173,7207B,72020
5A813,5A7AC,5A922
721A0,72212,71FFA
5A644,5A729,5A7A3
7212A,7211C,72372
5A8A8,5A882,5A7E9
722E5,72207,72264
5A5B0,5A61B,5A74A
72193,721DB,722A5
5A7AA,5A62B,5A73E
721DA,720CC,721D2
5A9BB,5A7F2,5A8DA
7236A,722B8,722B7
5A7E5,5A74E,5A813
72142,72111,72145
5A678,5A602,5A6E5
721A0,723CF,7228A
5A5D7,5A72E,5A798
7204E,720FF,721E7
5A6C8,5A910,5A4EF
72128,722AB,722B1
5A8E4,5A7FC,5A897
7215F,720D4,72286
5A734,5A8C6,5A736
72175,72263,722F0
5A961,5A83E,5A826
721E2,722E8,7229D
5A83A,5A814,5A621
723EC,72442,72363
5A8C0,5A7C2,5A878
7203C,72105,7241F
5A918,5A692,5A6DF
7228B,72300,722C9
5A909,5A880,5A9E1
7228B,722B8,7234C
5AA1F,5A9EE,5A837
72377,72236,722B1
5A7E0,5A9FC,5ABC6
72274,721F0,72328
5A804,5A8AA,5A7CC
72345,7227B,723BA
5A8E6,5A8E7,5A8CE
723DD,722D5,7223C
5AA38,5AA44,5A94B
7237C,7229C,725A0
5A9C0,5A8DE,5A8D0
722AA,72240,723FD
5A930,5AA38,5AA88
7242F,72273,72310
5A977,5A975,5A913
72438,723C5,72166
5A88C,5A5F0,5A759
7205D,7237D,72668
5A933,5A883,5A8D6
72353,723E6,723D2
5A8FC,5AAB4,5A973
72523,72661,7237A
5AA19,5A7D5,5A96F
7231B,7236F,722D6
5A57E,5A730,5A7F5
72489,721CA,722D0
5A83F,5A6C7,5A948
721A2,72238,721C9
5A9F5,5A867,5A985
7243D,7242D,72482
5A888,5AA21,5A8AD
72384,722A3,72365
5A8E1,5A89A,5A76A
7236C,7239D,723FB
5AA81,5AB7A,5AAE5
7255A,72467,7241F
5AB34,5AA26,5ACEC
724ED,7242E,723CA
5A7B5,5AB00,5A92A
722E4,722BE,721C6
5A8E6,5A9B3,5A8C7
723F3,72498,72499
5A760,5A7BF,5AA9F
72462,72554,723C0
5AADF,5AAA0,5A95D
724C5,725A9,723D5
5A97E,5A91F,5A900
72269,724AF,72377
5AA85,5A914,5A82C
72449,724AC,724AE
5ABB3,5AA57,5A7FD
72454,726CC,723C4
5AA4B,5A912,5AB79
7252D,724E3,724F1
5AB0F,5AAEB,5A8E7
7258F,723E0,7252D
5AB4A,5AB18,5ACDE
724BA,728E0,726C4
5AAB6,5ABEC,5AAE1
7231D,726F6,7235C
5A81F,5AB7B,5A8EC
7242C,7235C,7269A
5ADA5,5AA57,5AAE0
72595,722EE,726EE
5AB01,5AB43,5AA0E
72484,72631,72586
5AB5B,5AB11,5AAFE
7256F,725F5,726EB
5AB70,5AB8E,5AAE3
7264B,724D0,726C7
5A7A3,5AB53,5A8DA
72431,725B5,7249A
5AAB3,5AA78,5A9DF
71153,70F8C,711C8
5A923,5A95D,5A9EC
721E0,7238B,7228F
5A9DF,5A8A2,5A9A6
72366,723BB,7251F
5A7F1,5A951,5AA3E
72300,723BC,723C7
5A733,5A881,5AAC4
724A8,72250,722EF
5A915,5AA89,5A903
7248A,723A6,724A9
5A9C4,5A99E,5A995
7253F,724B7,72469
5A9DF,5ACBB,5AB71
723B9,72522,7244D
5A9D5,5A9EB,5AB69
724D8,725C0,727B6
5AC4E,5AACA,5AA46
72463,72307,72580
5A766,5A94C,5A8A3
72446,724D5,72402
5AA89,5A938,5AAF6
72350,72297,72443
5AADA,5A952,5AA2E
723D5,72498,72482
5AB4F,5A90D,5AAB7
7246D,7245E,72348
5AA6C,5AA01,5AB63
72397,72408,72430
5A921,5A9DF,5AA77
722A5,724DA,724FE
5AB00,5AB31,5AB2E
723D0,7259D,72355
5AB9E,5AA7A,5ABCD
725CF,725C6,72513
5AB41,5AB3A,5AA2D
72676,7238D,724D0
5A9C7,5AB03,5A969
72419,723A4,72372
5A970,5AC07,5AB3D
726CE,7266C,725E7
5AC4F,5A9D2,5AA38
723D9,723B7,7251A
5ACB1,5AC11,5AA57
72584,723D7,72361
5AAFF,5AB24,5AC8E
723E6,72581,72387
5AA87,5A9CB,5ABC5
725B8,725DE,72667
5AB03,5A8A1,5AA76
7232B,72329,72648
5AA52,5AA1A,5AA2B
7238A,724FA,72402
5AA83,5AA81,5AA06
723B1,723BD,722E2
5AAD2,5A993,5AAEA
72455,723FF,72654
5AABB,5A9E3,5AAC7
7248F,72612,723A1
5AB77,5AA03,5AAD6
724A2,7258E,725DB
5AC17,5AAB0,5AAD5
72526,723D7,723AE
5ACDA,5AB62,5A9B7
72671,7273D,726AB
5ACA6,5AB74,5AAAB
72521,72735,72676
5AC1E,5AB37,5AB75
724C9,725AE,7256A
5A9FE,5ABD5,5ABE2
7261B,726CD,72570
5ACA1,5ACE8,5ABBC
7274D,727A5,7263E
5AD54,5ACAB,5AAF9
72871,725E9,727D4
5AB6C,5AC33,5AD94
72891,7279A,72722
5AEFE,5ACFF,5ADFA
72618,7265B,729A1
5ADF3,5AC9D,5AC36
7294D,725B1,7257D
5ACA1,5AC50,5AC21
725DD,7272F,72685
5AC87,5AC17,5AA70
724BF,72673,726DF
5ACB1,5AAFD,5AC4E
72614,725E9,7263B
5AC38,5ABDF,5ABD0
7266E,72803,72701
5AC61,5AC93,5AB80
727E5,7274A,72531
5ACE0,5A9D7,5ABFC
72883,726D0,7280D
5ABF0,5AB14,5AC75
723D6,72464,724A4
5AC19,5ABAA,5AB25
72781,728E6,72577
5AB45,5AB87,5AB71
72596,725C4,7283B
5ABFE,5ADF1,5ACB8
727CF,72799,72796
5AB22,5AE52,5ACF4
727ED,7266D,726AB
5AD47,5AA86,5AD86
72A51,72753,72855
5ADE8,5AE68,5AE18
7275D,72819,72724
5AEBC,5AED6,5AC14
7279F,7295D,72989
5AFB7,5AFB6,5AD9F
72987,728BF,7279F
5AC7D,5ADE9,5ADE4
727CB,72825,7283E
5AD28,5AB8E,5AC5B
72580,726C2,72817
5AC6C,5AB1B,5ACF1
7282A,72639,72847
5AE30,5AA4D,5AC3E
726E2,72931,7273E
5AC50,5AD0F,5AC20
726BA,72647,7269A
5AD83,5AE1C,5AE06
7247E,7274D,72777
5AEED,5AB5F,5AD11
7284A,728AE,72756
5AE46,5AF13,5AE09
72879,728F9,72753
5ADCD,5ACF7,5AE1B
71E4B,71CFE,71C65
5B45B,5B313,5B6C1
72F21,72EA3,72F16
5B63E,5B538,5B4E5
72F25,72F4E,72F40
5B2EA,5B361,5B3A1
72CE9,72F07,72C16
5B24E,5B3EB,5B329
72F48,72D4E,72D97
5B456,5B1FC,5B3E3
72E4A,72E6A,72E47
5B311,5B32A,5B410
72CCF,72B99,72EC0
5B2FE,5B51B,5B61C
72EC1,72F28,72E02
5B570,5B4E8,5B444
72F4B,72FA2,72E1D
5B2AD,5B15A,5B286
72EA5,72E68,72EB9
5B39E,5B380,5B401
72C38,72F1D,72F7C
5B3B3,5B52C,5B1F8
72D6D,73055,72F61
5B227,5B295,5B4DD
72EB5,72E7B,72D92
5B47E,5B42E,5B490
72D74,72ECA,72D46
5B3E6,5B337,5B273
72E78,72D08,72DAE
5B41E,5B550,5B2EF
72ED8,72EE3,72EBA
5B4BA,5B467,5B4C9
72DA5,72D3E,72DBC
5B626,5B45C,5B5A6
72F78,72FDB,73099
5B711,5B6A3,5B69A
73020,731F7,73039
5B4FB,5B60D,5B536
73094,72EB5,72F62
5B60D,5B5A4,5B4BE
72DF5,7300D,72EC6
5B47E,5B551,5B581
730A3,72F3B,72E6D
5B586,5B4F3,5B57A
72F58,7300E,72F31
5B7B0,5B438,5B58D
72E7A,72FA5,72F1D
5B7F7,5B639,5B582
731DB,73291,72FBF
5B478,5B336,5B3AD
72EE7,72F5F,72EA8
5B5ED,5B62C,5B589
72DA1,730BE,73090
5B6B5,5B6A1,5B7E2
72F5D,73046,72FBE
5B460,5B4AE,5B496
73070,72F47,72EF0
5B5FD,5B5D9,5B5ED
73020,72F7C,73036
5B4E3,5B759,5B5EE
72FF9,73148,72FE6
5B536,5B47A,5B76A
7312B,72F7F,73022
5B53C,5B55F,5B52E
72FD8,72F91,7322A
5B6CB,5B660,5B441
72ED3,72E55,72E2C
5B4DD,5B49F,5B6F4
731A6,73107,72F4C
5B5CF,5B4AC,5B420
72D1B,72F84,72E58
5B59A,5B3F4,5B5D3
7307E,72D55,72FAB
5B73F,5B639,5B7AE
7312D,7309E,7310E
5B630,5B56A,5B50C
73106,73023,73095
5B6AF,5B655,5B5D0
72D4B,72F3B,731D0
5B68A,5B80B,5B69F
734BF,7336F,73323
5B5AD,5B5E8,5B703
7317C,7308A,730B5
5B4C0,5B6AA,5B588
7300E,72DED,73042
5B4FD,5B83B,5B59C
72E20,73137,72DE8
5B805,5B80C,5B738
7319E,73268,731D4
5B7E2,5B901,5B5ED
73267,731B2,731DB
5B4E9,5B5A6,5B7E3
731C2,73227,73357
5B755,5B9A0,5B8F0
732FC,730DD,73045
5B7AC,5B757,5B8BC
72F74,7327D,731F5
5B85E,5B7D8,5B998
730DE,73050,733B6
5B8AD,5B65C,5B587
72EEF,73310,73242
5B76B,5B7AA,5B6A5
73144,73106,7319A
5B821,5B756,5B769
72FE0,73194,731A4
5B659,5B480,5B677
73154,7313B,73139
5B90E,5B78E,5B7CB
731B7,73228,7316A
5B731,5B6B4,5B686
730FA,7329C,7328F
5B6F4,5B848,5B666
7347E,73295,731DE
5B656,5B46D,5B6BD
73039,731B0,72FC8
5B664,5B68D,5B6AC
731B9,73294,730FB
5B846,5B54C,5B639
731E5,730F0,73064
5B85F,5B738,5B71A
73102,73143,73280
5B746,5B7A4,5B711
7317C,731F9,733A4
5B989,5B8FB,5B7D3
7336A,733A7,7322F
5B83D,5B7A1,5B8C7
73005,73188,7312F
5B770,5B6F4,5B85F
774A4,77576,7750B
58BF7,589A5,58B32
706C9,70564,70573
58C1D,58B3B,58CAF
70696,705D8,705BC
58A41,58AC0,58AA2
70486,705BC,70695
58C0B,58D89,58B33
7069E,70631,705A9
58D14,58C38,58D37
70605,70769,7047A
58CA5,58AEE,58B8C
707E4,705AD,704B7
58C0D,58CF3,58C85
7058A,7057F,7066B
58B96,58B6B,58DD3
706EB,70873,70896
58BB4,58B24,58AE2
7047E,7074A,705ED
589EC,58A8B,58A7B
7043C,7075B,70639
58B85,58AE9,58B3F
7048B,7060F,704F7
58A68,58964,58B88
70597,70522,705C5
58AF3,589DD,589F9
705E4,70536,70531
58AE3,58B7A,58A87
707B2,705F7,704E7
58B2F,58CA6,58CF3
7060A,70598,70690
58B57,58A53,58B88
705FB,7077C,704D5
58BD5,58BD8,58AC6
70490,70575,705B2
58C11,58B33,58ABB
70637,70542,7050A
58D41,58B43,58C85
705CD,7047B,705E5
58B94,58B0F,58BFB
70475,70639,70715
58D45,58CF4,58BB0
70518,70626,7077A
58B63,58DB0,58C07
705DE,70847,70834
58D80,58C39,58C79
706B9,706E9,70689
58D2F,58D02,58CD2
70898,70792,70821
