{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1A109B,1A10EA,1A0FE9
18967D,18967C,189648
1A10F3,1A0FE2,1A105D
189644,189661,1896BF
1A109D,1A10C0,1A10D8
189785,18968E,189571
1A1122,1A0FA5,1A0FCC
1896C6,18959E,1896E6
1A106E,1A0F93,1A101C
1896EC,189596,18969E
1A12F5,1A1059,1A12D3
18972C,1896EB,18974F
1A0FA5,1A0EF4,1A1091
189756,1896E7,189619
1A0FCF,1A0F79,1A1033
1894E9,18941F,189420
1A0D39,1A0ECD,1A0E6C
1895B7,189500,189455
1A0E69,1A0E7C,1A1072
1896C1,189614,1894C0
1A0DF9,1A0FAC,1A0F63
1892EE,189584,18943F
1A0E6C,1A1023,1A0E90
18955A,18927E,189354
1A0D4A,1A0F33,1A0DE4
1893F4,1893BD,1893E7
1A0C72,1A0DC7,1A0D8B
189317,189356,1892DF
1A0B9A,1A0C17,1A0CD7
189280,188FC8,1891BD
1A0C65,1A0BC0,1A0CA8
189127,18920A,189178
1A0D01,1A0CA4,1A0B9D
188F97,1891B3,18907F
1A0A94,1A0BB9,1A0AEC
18914A,1892AC,1890AB
1A0AA8,1A0B2A,1A0A0D
189167,1891A1,1892BF
1A0AAE,1A0B13,1A0AB5
188F3E,188FBE,18911B
1A09FF,1A0C68,1A0AE8
188F32,18904D,189164
1A0CB8,1A0BD4,1A0BA4
189165,1890F7,18917B
1A0B12,1A0C5D,1A0D13
18923E,18914B,189476
1A0BF8,1A0C17,1A0BDA
189082,1891B4,188FFC
1A0A94,1A0AD8,1A0AD1
188EE0,189008,18900B
1A09A3,1A0A35,1A0B21
189285,1890DF,188F7C
1A0A1E,1A0C49,1A0BFA
18918D,189114,188FA3
1A09E2,1A09D5,1A0995
189089,188F6A,188E32
1A0A35,1A0914,1A075A
188F06,18907F,189077
1A099A,1A0971,1A0A11
189041,18917C,188F97
1A09C3,1A0B7D,1A0AFC
1891C1,1890B7,189155
1A0AE8,1A0B5F,1A0C78
188FFA,18905F,1890AC
1A0989,1A0B44,1A0AE2
188FE8,1890BA,188EFE
1A0CCE,1A0AB6,1A0B5B
18916B,189092,189187
1A0A6E,1A0B2B,1A0A74
18900B,188F57,189026
1A0B09,1A0A75,1A0A16
1890CC,189173,188F52
1A0BF9,1A0D25,1A0864
18915A,1890EF,1890F8
1A0CC7,1A0A99,1A0A79
189156,188FF2,188F99
1A0964,1A0A51,1A0A57
188F72,1890B8,1890E5
1A09E1,1A0A4C,1A0B5D
188FAB,188E8A,188F67
1A0A16,1A09E3,1A0A38
188F01,188E3D,1890F0
1A0992,1A0B93,1A0933
188FF5,188FAF,189089
1A09BC,1A0A50,1A0B0B
188F0E,189058,188FC5
1A08ED,1A0C3B,1A0A9C
188FA2,18901F,188E4B
1A08AE,1A089D,1A07B2
189005,188FBF,188FD8
1A05BA,1A0585,1A0616
189471,1893D8,1895A0
1A1019,1A1029,1A0FFA
18942E,18952C,1895D2
1A0E93,1A0F1A,1A0EF9
189491,18950B,1895A1
1A0E15,1A1011,1A0E73
189458,189410,1894D6
1A0DD0,1A0E11,1A0FC5
189445,1893BF,189558
1A0C5C,1A0F3E,1A1052
18951F,18936A,1892A6
1A0EED,1A10FC,1A10A9
18947D,18946F,1894A7
1A0E74,1A1007,1A0E86
189476,189246,18927D
1A0DD7,1A0C97,1A0DF2
1893D1,18951C,189476
1A0E7F,1A0EC5,1A0C8F
1892E7,1891DA,189450
1A0EAF,1A0F7C,1A10B6
18947E,189497,18948E
1A0D34,1A0E86,1A0F3F
189402,1893DB,189371
1A0F4E,1A0DE5,1A0DCF
18930F,1893AB,1893D7
1A0D27,1A0D64,1A0CAE
1894E2,18922A,18939B
1A0E29,1A0E2D,1A0E6C
1893F9,18945D,189344
1A0D46,1A0EBF,1A0C70
1893A6,189388,189260
1A0D76,1A0C83,1A0D1B
1894C7,1894F0,189542
1A1172,1A113C,1A0E12
189785,1895D3,18948F
1A0D5A,1A0FB5,1A0FDF
189444,189380,18952D
1A0E06,1A0D84,1A0D54
1891EB,1893A6,1893FB
1A0FE7,1A0F54,1A0EEE
18944B,18949E,18945D
1A0E64,1A0D48,1A0E41
18931D,1893CB,189524
1A0E37,1A0DA2,1A0AE2
189326,189441,18936B
1A0F9B,1A0DCA,1A0C55
18941D,1894EB,1892E3
1A0D44,1A0FFD,1A0E55
1893E0,189390,18946D
1A0E65,1A0E75,1A0CEF
1894D3,18941A,1894EF
1A0CF4,1A0C61,1A0C58
189364,18956C,1894B0
1A0DFC,1A0E0E,1A0DAD
18948F,18947A,189216
1A0BC0,1A0D71,1A0D22
189248,189293,189287
1A0C8B,1A0DFF,1A0D49
189301,189406,1891FB
1A0CC7,1A0C2A,1A0D9A
1892C6,1891C1,189169
1A0BC5,1A0C14,1A0DFE
189395,189272,189091
1A0C38,1A0BA6,1A0C6E
188FEC,18909D,18919C
1A08D4,1A09E8,1A0BF8
18905C,1891BB,189076
1A0A54,1A0A08,1A0965
188FED,18909B,188EB7
1A0A99,1A0904,1A0AB6
189038,188FE4,188FC1
1A0953,1A09AD,1A092E
189175,1890AF,188DC9
1A0883,1A0872,1A08CB
188F30,188D97,188E55
1A0710,1A0704,1A0A06
188EEA,188F7A,188EFA
1A0A2C,1A090C,1A0771
188DDA,188E14,188E1D
1A0906,1A0B9F,1A0924
188E78,188E88,188E6A
1A07B3,1A0A44,1A0964
188EFC,188E2F,188DC6
1A06F3,1A0866,1A0A58
188D67,188D17,188F69
1A07F4,1A09A0,1A099F
188D2B,188C30,188C65
1A07E6,1A06A4,1A07A2
188C78,188D90,188BC8
1A07C0,1A091A,1A078C
188E77,188E49,188D3F
1A0781,1A0694,1A057D
188C5A,188D14,188EA1
1A0681,1A08DD,1A05C7
188BCF,188DC9,188DFB
1A05A2,1A0627,1A066F
18918F,188EC1,188EDE
1A0976,1A0A07,1A0917
188E84,188E16,188F73
1A0780,1A0897,1A08D4
189091,188E65,188D4B
1A08C3,1A0A4C,1A0992
188F80,188E21,188F97
1A0861,1A0A87,1A07B7
188E37,188D69,188FDD
1A0872,1A0866,1A0746
188D84,188CD1,188DBF
1A08A4,1A071A,1A073B
188EC4,188C85,188D78
1A05AE,1A0845,1A0773
188C49,188BEF,188C98
1A08DE,1A08DA,1A089D
188DC9,188E1B,188EA4
1A072F,1A08F9,1A0944
188D66,188EE7,188DBB
