{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
8120E,810AE,811C1
98B66,98AAA,98B4A
80FC1,81090,81190
98C3A,98B81,98A25
810EA,81071,80F7F
98ABC,98BAB,98971
8102B,80FF2,80F17
98A28,98957,98B0C
81127,81205,8102B
98C54,98A7E,98B9A
810E8,80E78,80E8B
98A39,98B05,98BBB
810C5,8114C,80FFE
98A5E,98D10,98CF4
8107D,81452,812AA
98C5A,98DD5,98C08
80FF6,81206,81111
98CEE,98D16,98BBE
81169,8130B,8102C
98ADE,98A61,98B12
8114E,81111,8108D
98BAE,98B41,98DC6
810CD,81190,81075
989B2,98CA2,98CB6
810B7,81197,812B9
98B09,98B36,98C10
81346,81150,80FA8
98905,98AB7,98C09
8110C,811CD,80F71
98B35,98BDE,989BB
8120E,81021,80F15
98B79,98A84,98B58
81274,8118C,810FA
98D88,98D21,98C79
810E1,81005,80FA0
98A6E,98C36,98AC4
8116E,80F95,81147
98C39,98B1A,98B28
810D5,80FF2,80F9A
989E6,98AF8,98C7C
81129,8108C,811E0
98BCB,98BE0,989FF
80FE6,8119F,80F94
98BDC,98A12,98AE8
80F79,80FE0,811AA
98C88,98A75,98A95
80EC7,810C4,8105E
98AFD,98AF3,98B45
80FAC,810EE,80E26
98B07,98B1C,98B54
8105C,81101,80FF8
9890C,98A29,98A88
81106,80E1B,80F6D
989C4,987D4,988CC
80F48,80EA6,80F91
98A4C,98939,989AD
80CD8,80FD8,80E57
989AC,98A5B,98A35
810B6,8116F,80FBD
98B4C,98C68,98A1F
80FCC,81108,80F36
9896A,98BE3,98C89
8104E,80FD5,80FDA
98AFA,98ADC,98A64
80EB8,80DFE,80F91
98A6D,98935,98827
80D69,80F54,80E60
989EB,989FA,98899
80E6B,80E8D,80DD0
988E1,98956,98A3C
80F64,80F00,80E0D
98911,98A6D,988A0
80E29,80DF6,80E75
98A01,98A9C,98A66
8104A,810C5,80EFF
987D2,988AB,98AB8
80FDD,810BB,8102F
98A48,989DB,989A0
80F34,80F0E,80D37
98990,98A4C,989D2
80F25,80E94,80EB8
98A59,98965,987F5
80E8D,80E22,80FC4
988D0,98A2D,9892D
80FCA,80EAB,80EAD
9893C,989BB,987DE
80C40,80F8C,80DF8
988FB,988A5,9850F
80D1D,80DEC,80EF5
988BF,9890B,987A4
80DB6,80FB8,80FE0
98A5D,9899A,98B32
80F24,80E63,8108A
98929,98A58,98948
80EF1,80DD3,80DB9
988E0,98747,9892A
80E1C,80DF5,80DB5
9837F,98574,98477
806D5,806DF,8088F
98123,9826F,9813C
80787,808FF,8068B
98241,98180,983F9
80706,8097F,8093F
9820B,98137,982B2
80824,80888,80801
981AD,98058,98357
80848,80882,80738
983F3,9839C,983F2
807C0,80838,80863
98250,983A7,983A1
8095D,8085E,807CE
981F9,98104,981E7
8095D,8070E,80679
98346,9833D,982B5
80742,8067E,80712
981D9,981D9,9832E
80895,807B8,8080F
98196,98309,982B3
80623,805E9,80903
98225,98107,981A6
80568,807E6,80801
981F3,98353,98460
8089F,808CA,8091C
98394,983BA,9825E
808ED,80796,807D4
981A9,982E8,982B2
807E4,8090C,807D7
9824F,98132,983B7
80945,8091B,807E0
98289,9815A,982CC
8075D,807E0,80951
98269,9816A,98214
80761,8096D,808C8
98203,982A4,9813D
80770,805F0,804D6
9821F,980B4,981C5
8062A,806E2,8056C
981EE,980FC,982EA
8063F,80653,8077E
981C2,981A9,98136
807BC,80861,8092A
98261,98257,98257
8073C,8071C,80764
983FC,982A6,98269
807AE,80868,8082D
9827D,9838B,9824D
80648,80814,8067A
98274,98202,9811B
80669,805F7,80736
981CA,9808B,9819E
807DE,8077D,806A2
981D1,98300,98039
80886,80589,8074A
9814A,980A6,98005
8078C,8050D,80819
9811D,98076,98170
8058C,806A6,80684
98150,980EC,97F36
80757,804A6,806A4
9806F,980E2,9801A
8050E,80465,804DF
98095,980E8,98009
805EF,803C7,8053B
98003,97F41,97ED9
805BD,80630,8050D
97EA6,981C4,9812E
805C3,8054C,8044E
97F81,97E2F,97E2A
80366,80422,8028B
97FA6,97E73,97F93
805F3,80495,806B1
98080,98006,980E7
806BF,80451,803B2
97E0E,97F4D,981BB
8054F,80373,80492
97FFB,98130,97F45
805B2,80653,806CA
981F4,97FD6,97FE3
80608,80385,804AB
97ECF,97E2C,97ED1
8055D,805D7,8039C
9800B,97F84,97DC2
8056D,803D2,8045B
97E12,97E8B,97E90
803B1,804A4,804E6
97FAB,97F2A,97E96
8054C,8055E,803D2
97EBD,97F0F,97DC1
806AF,80413,80339
97F53,97FCF,97F57
804D7,80462,803D9
97F43,9815B,981AD
8042E,8061A,80343
980AA,97FC5,97C68
804AC,80412,804D3
97F0B,98202,97F1D
8038D,805AF,802F8
97FCC,97FB5,98045
803C1,80370,806CD
97E8B,97CC6,97DB0
80489,8054F,80251
97F37,97E5F,9804A
805F9,8039B,8039E
97F0B,97E25,97E23
80418,80617,80702
97FD8,9820D,97FB0
8046A,8049B,803D0
97DF9,97EF5,97F29
8052B,8042D,80396
98216,97F6D,9802A
80344,802E8,80373
97DFC,97EC4,97F1F
805A1,8037A,8053D
97E22,97C65,97F07
8034B,80468,80153
97D37,97E58,97DC6
80391,80225,802CD
97EBF,97D71,97E35
804F4,805BF,803F2
97D64,97DEA,97D19
803BE,80110,803BE
97D4F,97C83,97D71
8042B,80370,80438
97E46,97DDF,97E3D
80478,804D8,8029C
97429,973E5,973DD
8067A,807B0,80664
98125,98163,98306
80886,8084F,8056E
98007,981F8,98292
80754,806E4,80778
981CF,981F4,980A3
805FF,80789,806B1
98168,98095,9824F
80788,80788,806A6
98150,9825A,98484
80A1F,8083F,80921
981B9,98260,982A0
80823,807F2,8066D
98236,98231,9822F
80772,8089A,80847
981D7,98185,98231
8089B,808D3,807B1
982C7,98173,9813E
808AD,808BA,8087F
98272,982FD,98311
80945,805E7,80842
9831F,98322,9842E
8098F,807A3,80816
981D9,9829D,98299
80602,80793,806DE
982EC,9829D,98114
80965,80899,8072C
983DB,982B2,981AF
80894,8076C,807C7
980B2,98208,9829F
8083B,8090C,806CA
980CF,982D4,982AE
808FD,807B5,80641
98098,980BF,97FF9
80740,807CA,80796
981AB,98185,982BA
8086C,807F7,807BB
980C7,98393,982CA
80594,80760,80562
98267,98116,983DB
80692,80741,80779
98181,98355,981B4
80600,80853,80707
9839E,980E7,983DD
808F4,80907,8080F
981AB,98140,9822C
808BA,80844,8079E
98395,982BC,9817A
80390,80489,806EF
97FD5,980F7,9804A
8059A,8065F,80648
97EAD,97F52,97F3D
8064F,805F3,80550
97FAF,97DB6,97F8F
804E4,80614,806FA
97F77,980BA,980B4
80723,80637,80523
97F8D,98093,980A6
805B8,80615,80639
98143,98069,98242
806EB,8066F,806B7
9816F,9824F,981D6
807E5,807C3,8076F
9823C,982AF,98328
8064F,805EC,806C1
97F73,97F66,97F9E
8065B,806CD,806F4
97F2E,98006,97FDC
80721,80766,804E8
97FD2,97E97,98107
806F9,8063F,806E5
980F4,97F77,980EC
806D8,806D0,8068D
98119,9806A,97FF9
8068E,8081F,80510
9822A,98131,983CF
80608,80774,8074E
982A7,98286,98388
807E7,8074E,80871
982B9,982EA,98291
80568,80582,80749
97FA0,980E5,9822F
8077D,8055B,805F0
97F7D,97FC7,980D8
80563,80611,80594
9805A,97FE1,97F12
804E4,804BA,805D0
981D1,980BF,981B3
807A2,80607,80746
9801D,9809C,98067
80829,80750,8078E
98176,98092,980ED
807C5,8081D,806D1
980C9,9820B,9805C
8083B,805C7,80571
9807A,98068,97FA4
80524,804DF,80583
97F8B,981A6,98075
807DC,8067B,805DD
980E4,97F89,98025
802D9,805C1,805FD
97FEB,97FCB,98270
8068B,804DF,8067E
97F7E,98072,97EF7
804CE,807E8,8080C
97EB4,97F76,97EBB
80510,804AF,804C0
9809F,98096,98078
804C3,80642,805EF
98068,97E78,97EB3
805F6,804A2,80491
9806C,97FDE,9807C
80687,80516,80539
9809C,97EDB,980D4
805B4,804F9,80510
97E86,97F59,980F2
8069F,806CD,806F3
97F53,9808C,97FE3
806D9,805F8,80755
98134,98082,9816F
8076C,80745,807C4
98054,98059,97FCC
805A6,80496,806E8
98136,97EFB,98081
80467,80568,8063C
97FAB,9812B,97FB3
805C4,804CB,80657
970C8,97011,9727D
81001,80F54,80D64
988AD,98788,987C3
80E14,80DA0,80F6A
989D0,989B7,98AA3
80D6D,80F22,80C29
986ED,987BB,98965
80D67,80E3F,80E26
98804,988A8,98A7F
80DF2,80F4D,80D7F
988D3,98898,988BD
80D57,80E6D,80DBA
988E2,9899C,98967
80DC9,80CEF,80CBC
98892,98939,986BF
80E25,80D7B,80E29
98847,98A8D,98A6A
80F7C,80E4C,80DA1
9877E,987F7,988D0
80D16,80E47,80EEB
988FD,98750,98792
80D28,80D0B,80DAB
9879D,98748,98908
80F3F,80EAC,80E33
9868B,988B2,988C9
80D2F,80BD7,80DC9
988EC,98960,98934
80BB8,80C3D,80F1B
98928,98900,987F7
80EDF,80CC2,80B32
987FE,988B5,98861
80C91,80C6A,80CAC
98728,9863B,98723
80E4F,80C7B,80D55
98687,9877F,98683
80CB9,80CBD,80B51
98839,9879A,9871A
80D79,80D62,80C99
98899,9871E,9890E
80DBD,80CF9,80E57
98861,9882F,9863E
80F1A,80E3F,80E32
98763,988A1,98866
80EC9,80FF5,80E04
988D0,989B1,98819
80DCE,80CD6,80CE8
987EA,98544,9863B
80C9D,80E29,80D2C
986F1,987B5,988ED
80D81,80E6C,80C37
986A4,98716,985D9
80C3C,80CBD,80CBA
98696,987CB,987B6
80CFA,80DD0,80C08
9869A,9864E,98553
80D03,80C4C,80987
9861B,98810,986AF
80CDA,80D01,80D69
98690,98690,986A5
80EE1,80CB0,80D93
987DD,98774,987F2
80D5B,80C59,80C4F
986C2,9861E,9857E
80CD3,80B5E,80D84
987BC,98693,985A1
80B6C,80A85,80CC3
98661,986F5,986DB
80C77,80C66,80CAD
985F3,986D1,98703
80B5E,80BB7,80C06
986AD,9862F,986EB
80D24,80BC4,80D73
9874C,98754,9870C
80BD5,80CCF,80BC8
98642,987F8,98767
80CB5,80CC4,80AA7
985E4,9863D,98652
80A9D,80B65,80C13
98516,984A6,985F0
80C92,80C6B,80A95
987DA,986DA,988CD
80B4F,80AD5,80A2F
9844A,98651,9834A
80C20,80AFB,807E4
983BE,984FB,98518
80962,80C54,80A7C
9853F,98516,985A2
80910,80945,809F9
98519,98610,98321
80A82,80928,80999
98439,984DF,9834A
809EF,809F7,80A03
983F7,983E0,9859A
80A18,80AC1,80A61
984B6,98767,9876C
80BB5,8098D,809DC
985B8,9868C,984FF
80AB6,80A5D,80A62
9848F,984B3,98302
80C66,80B96,80CEE
98418,985DE,983DE
80A99,80977,80B4C
985E9,98538,9848E
80A74,80A97,80AD8
9841C,98536,985F0
80AFD,80B31,80BFB
985C2,98437,983D5
80BE4,80A34,80C37
984F7,9880B,98650
80DC6,80C04,80BE3
984DC,9865C,98488
80A3C,80B9E,80A76
9859A,98688,987BB
80ACB,80C5E,80A7C
985FB,9863E,985F4
80BEF,80B28,80A36
986A5,9869C,9865A
80962,80B26,809DC
982E0,98557,98468
809D5,808B6,80A45
98673,9848C,985EA
80B43,80A58,80A5C
98617,98639,98455
80D2D,809D2,80987
984F8,98593,985FD
80B0B,8098D,808B5
98585,98687,985F3
80B52,80B81,80C9C
97C51,97CA4,97C56
80FCF,80FDA,80DEC
98B29,98B4F,987B2
80F5D,80C96,80E5C
9894E,98857,986AF
80E51,80E78,80EB9
989A4,9884C,98A33
80DFA,80FEF,80F73
9891F,989DA,98B0F
80EEE,80FBB,80F0F
989A5,98931,989A7
81023,80F32,80F9A
988A7,9884E,9882E
80C23,80D0E,80E52
9875C,98832,98829
80F1D,81053,80E6B
98A5B,98B37,989CC
80C7D,80CDD,80C66
986FF,98862,987CD
80D8C,80E7D,80EEA
98673,98757,986B3
80E67,80C11,80CB8
985E5,985EE,98705
80D71,80D6A,80BC6
986FE,989CF,986F5
80DA8,80D22,80C11
987E7,9860E,988F0
80E65,80DF9,80DA7
988CD,9860B,9858A
80EEA,80DB0,80D7A
988CB,9878F,98714
80DBE,80D4C,80EF7
9877C,98847,986FE
80E51,80CBD,80DD0
98864,9887D,988A8
80DC1,80D05,80CFE
98634,986A3,9869E
80EE7,80B9C,80C45
986A3,9883B,986CE
80EE2,80B57,80BBB
98774,9882E,98671
80E6E,80D3C,80BCC
986F6,986C2,98671
80E3D,80AC3,80C34
98B14,988B8,98907
80AB9,80B47,80D17
98678,9882C,986DB
80BB9,80DFB,80C09
9892D,9883F,98924
80D7A,80AD6,80B6C
98598,9872D,988E5
80EAC,80D30,80BC7
9874C,987E8,988F8
80CD3,80C0D,80B5B
986A9,987EC,98748
80D91,80D5F,80DF1
98810,98833,986F0
80C46,80B48,80C21
9856A,986BF,9871E
80BAA,80BB3,80BF1
98850,98782,988A1
80B21,80D37,80CAE
985FA,98626,98861
80D70,80C45,80B5D
98935,98AD3,989CC
80A19,80CEE,80E0C
98723,984AC,984DC
80D11,80D44,80B6D
986CC,987BD,98620
80CBD,80A79,80C8F
985A8,98646,98728
80E18,80D89,80E27
98779,98727,986F7
80BF5,80CA8,80C69
98A00,9897A,9873C
80D92,80BFA,80AFE
987EB,98820,9883E
80DEB,80B3A,80C8C
98779,987E5,9864F
80C89,80B98,80A79
98777,9861D,9864D
80B47,80CD2,80CC1
98573,98631,98601
80D33,80B28,80B7E
984FE,9875A,98419
80BA4,80C31,80BC7
984DA,987E8,98617
80C4E,80C78,80BF7
9866E,98688,982F5
80BB9,80A37,80CFF
98718,98662,98372
80B6C,809FD,809DD
984CA,986E8,983C0
80B4E,80B37,80B3E
9868B,98668,986E5
80C74,80C5E,80D07
98689,987EF,98656
80C3E,80C1A,80B1C
986E6,986C0,984DD
80C7F,80C04,80B95
98686,98683,98807
80CEC,809E1,80B73
98571,986A0,98625
80AED,80B58,80AF1
984C5,98518,985BC
80D2A,80CD2,80C2B
98582,98626,984DE
80AB1,80BC4,80A7F
98573,98501,9877C
80BF4,80C7B,80D99
9871A,98765,98628
80CBF,80C0B,80AF5
985DB,984DA,986CC
808C3,809E0,80BBB
985FD,98623,98740
80BAE,80B26,80B99
986D0,987B8,986DF
80C63,80A9F,80C1E
983E7,985F2,985A0
80A36,80B20,80A1B
986A1,98680,9850C
80A2F,8097F,80AFD
985DC,986B6,98511
809DE,80BA1,80C9B
985A6,98483,98613
80AC6,80CB1,80A1C
983A7,98403,98404
80BD8,80949,80B9B
9A78B,9AA49,9AAD2
818D3,819F1,81913
99102,992D2,99131
81813,81A6E,818BD
99309,991DD,99424
8186D,818D1,81924
99131,99499,994CA
818DE,81928,818B8
990EF,994F4,9951F
819CF,818C0,8174C
992B7,99201,99288
81B0C,8199A,8188D
99372,992A4,9914C
8193F,81AB6,819CA
993D6,993BC,99139
818F7,815BB,8164C
993D8,9928E,9923A
8173A,8168C,81974
991B5,99047,99363
8165D,816C0,8186E
9916F,99205,99248
81884,816CE,81645
99006,99221,9905A
81752,8173A,81869
99236,99311,99158
8178E,816E7,817A8
9922B,99275,990C6
81870,8196B,8168A
9933F,9919F,99144
81799,81740,81786
99323,99137,99039
81893,81A03,81993
9916A,9923C,99160
818F3,818DC,817EC
99084,99199,990C9
81794,81667,81609
99079,991FE,9930F
81796,81763,8187B
991C5,98EC5,992AF
8192B,817F6,8172E
99216,9925A,99102
8174B,816A5,8165D
9917B,992DE,99270
81765,817CA,81771
9910E,99271,99258
817D2,81878,817CA
990EE,99190,99107
817F8,81630,81723
9918A,99123,99178
815FA,81505,81701
9906F,990CB,98FB8
81690,81532,81796
9910E,99207,99129
81633,8180C,81539
99129,990B4,99146
81594,81776,8178A
99087,990DC,99336
81791,816F2,815FE
9913C,99330,990DC
81730,816F1,81652
992BC,992CE,9933A
814F4,81659,816A3
991F9,99248,99111
81462,81615,818C0
990CD,991C2,9916B
8164A,81561,81496
98F05,990C3,99055
8153F,8161D,815C5
98F0B,98EBE,98F6B
81503,814CF,81366
98ED4,98F57,98FD8
814FF,8147E,816CB
98F61,98F75,98F44
81792,8158F,815CF
98F1B,98F6B,9910B
815B3,814A1,814C4
98F10,9921C,98E71
816C2,816F5,81634
98F73,99198,991BC
815A6,816E4,8167D
98F60,99020,991B6
8146B,8155A,812BF
98FE2,98E12,98DBE
81535,81452,81451
98E33,98F72,98D8E
81372,81579,8136A
98C81,98FB4,98F0E
814F0,813F3,8137A
98F4E,98F4E,98FED
813B9,81680,81435
98E96,98E4B,98EF4
8165D,81477,813A8
98E1C,99124,98F02
81443,813B3,815E4
98F0D,99019,98E58
815B3,81543,814ED
99039,98FCD,98F76
8161E,8153D,813E4
9903D,98F32,98FA3
815EC,814A3,8149B
98F6A,98E57,98D26
8158E,81611,8167B
98E0F,98E96,9923A
8147B,81630,815E5
98E6B,98D89,98EA2
8153E,814F1,81564
98F29,98F02,99010
