{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-16D22,-16C1F,-16C35
CB0,D6C,E2D
-16BB3,-16D04,-16B65
E0F,C9D,F21
-16C81,-16C9B,-16C2A
D42,DDB,D37
-16E77,-16BB7,-16C28
C90,E6E,CC2
-16E45,-16D0E,-16D56
C8A,D50,C5F
-16CD8,-16D24,-16D74
ECE,DCB,F89
-16F5E,-16BF9,-16C41
B95,C41,DC1
-16C9C,-16D25,-16F66
977,B92,B42
-16F35,-16DAD,-16CE9
C1C,A15,96D
-16F7E,-17061,-16E7C
C75,DD1,CD1
-16C0B,-16E7A,-16E82
9BF,DB2,DE0
-16C97,-16E64,-16DAE
CAA,E4D,D45
-16D67,-16E96,-16C0E
DD0,F17,DA8
-16D37,-16D1A,-16C7B
82B,880,7C2
-17463,-172A9,-172CB
6B9,6BA,824
-17242,-1731B,-17252
798,64B,6B1
-1746A,-1734D,-17392
5F8,789,756
-17377,-17305,-17291
679,70C,67D
-17266,-17564,-171F7
555,72E,6DE
-174BC,-175AE,-174A0
6B6,6FD,764
-17462,-1747B,-171DD
6D7,620,692
-173D5,-17408,-1747A
5EC,683,75C
-174BD,-17332,-17663
5AD,522,3CD
-176B7,-172BE,-174A9
5E4,4EF,703
-173E7,-174B2,-17397
5D1,7E6,574
-17451,-1741D,-172EA
6ED,7E0,5FF
-17440,-174FA,-1725B
655,581,647
-17307,-174D0,-17483
850,5FD,51B
-1750F,-17423,-17417
666,66D,791
-17362,-17451,-1737D
7AA,5EE,709
-1720C,-172C0,-174E8
629,7D7,712
-1731E,-1730C,-1725E
8AF,737,622
-1724B,-17147,-171B9
819,6CC,825
-17154,-17443,-17450
831,8EA,8A9
-171CD,-1736A,-1735C
5D8,75F,6C1
-171B7,-1715D,-1711D
977,6F0,769
-173C6,-17265,-172AE
6ED,4A6,6DA
-17461,-17412,-170DF
5B0,63B,688
-1764E,-17339,-17517
5BC,5E7,5F7
-173E0,-1743F,-174A5
559,4DC,6FC
-17409,-175AD,-1753C
393,581,4F0
-17567,-17641,-1757C
472,6AB,696
-17431,-17492,-17350
60A,4AD,441
-174CD,-173BA,-17665
54A,753,4F1
-174E5,-17514,-17474
780,47B,5FC
-1739D,-17565,-17468
59E,68B,4A1
-17541,-17669,-175D2
2F0,38F,100
-17579,-176DF,-176F1
4BC,5BE,5BC
-17476,-1745D,-176E5
510,55C,37E
-174F4,-17746,-175C4
471,583,54E
-1750A,-176D6,-173CD
42F,584,505
-17438,-174C5,-17600
564,4A5,387
-175B5,-17445,-17629
414,3FC,588
-176AE,-174B6,-17587
4F2,68F,5D8
-175C8,-1779D,-176FD
2ED,456,422
-17600,-1761F,-17621
51C,220,426
-176E0,-174BF,-17668
2B3,44B,253
-17454,-17635,-177C3
3C9,4B7,513
-17616,-17466,-1776C
311,3E3,615
-1764C,-17694,-1767D
4B0,656,3F5
-1739A,-173AB,-17601
541,606,498
-174E9,-1744B,-17546
3E3,594,50D
-17597,-17588,-1766E
487,451,363
-17509,-17636,-176E9
418,45D,4F4
-1764B,-176EF,-175A1
41D,51F,330
-1743D,-17599,-17698
43B,51E,377
-17458,-175D2,-174BC
593,420,49B
-1765B,-174A0,-1758D
5F5,501,798
-17377,-173C8,-1754F
580,563,2B4
-176D8,-1769D,-1761D
39C,379,4F3
-17810,-176BF,-17823
307,305,2AF
-17792,-17943,-1787D
2CB,2DC,436
-176B9,-17774,-177A3
3D9,206,364
-17657,-177B1,-178D4
440,298,356
-17851,-17673,-17697
260,387,525
-178BA,-17941,-17767
3C1,19A,42C
-177CB,-17836,-1787F
292,2B8,19C
-178C1,-17855,-1774D
-6B2,-5CD,-800
-1753C,-17377,-172B4
71D,787,908
-171EF,-17298,-172B5
7EF,83E,86C
-1747A,-17495,-17382
5DC,6F8,72D
-17253,-17347,-17364
729,7B1,7E0
-1730A,-172FC,-171F5
66D,764,7E0
-1743F,-17428,-17337
807,596,4A8
