{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-AFC1D,-AFCD9,-AFE57
-98177,-98182,-98124
-AFC0A,-AFED6,-AFC98
-981AC,-982BA,-981AE
-AFBFA,-AFC96,-AFBAC
-981C7,-98244,-98196
-AFE22,-AFE8E,-AFB49
-97F99,-981C4,-981D2
-AFBAB,-AFB42,-AFD44
-9820E,-98245,-9832F
-AFC89,-AFCAB,-AFD60
-98113,-98165,-98149
-AFC0E,-AFB72,-AFBEF
-9802F,-98118,-98162
-AFD14,-AFC1D,-AFD4E
-98386,-98445,-9840C
-AFBB2,-AFD27,-AFC99
-98475,-9827B,-98356
-AFFA9,-AFEF9,-AFDEB
-9825B,-980CA,-983A5
-AFCD8,-AFDA5,-AFBD2
-9834D,-98224,-98389
-AFEFA,-AFDA8,-AFDBD
-98464,-982FA,-98356
-AFF07,-AFEDC,-AFBD5
-983F7,-9843D,-9841F
-AFD57,-AFDE9,-AFE86
-983F6,-98633,-984AB
-AFEB6,-AFECD,-AFE86
-98580,-98355,-984CB
-B00CC,-AFF2C,-AFE66
-984EC,-98226,-98472
-AFE0C,-AFF1A,-AFDF1
-982FA,-98412,-9838C
-AFEBC,-AFD3B,-AFF5C
-98604,-9841C,-982BA
-AFDB7,-AFD04,-AFD06
-982EB,-98302,-98411
-AFF47,-AFD32,-B0093
-98503,-98685,-98587
-B0049,-AFFB9,-B0099
-9856D,-9858C,-985A3
-AFFA3,-AFF57,-AFF06
-984EF,-9848B,-983C9
-AFDA9,-AFFA6,-AFFE6
-98520,-98472,-98468
-AFE44,-AFEAA,-B0084
-984B0,-98536,-984BA
-AFE1E,-AFE9E,-AFD87
-9845E,-983C1,-9865E
-AFFDC,-AFE64,-AFF28
-9843D,-985B1,-98377
-AFEBA,-B008B,-AFF69
-98548,-984EC,-98620
-B01CC,-B0010,-B00D5
-9863F,-9841C,-98584
-AFF0D,-B0188,-B0077
-985F4,-9850C,-9872C
-AFF8C,-AFEE5,-AFF7B
-98625,-984C6,-98483
-AFF7C,-B00DF,-B004E
-98730,-985F5,-98588
-AFFCA,-AFE32,-AFF1E
-9856B,-984C5,-9866B
-AFEB9,-AFEDE,-AFF1A
-98597,-981D4,-98428
