{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1AA727,-1AA4E0,-1AA3BA
-1C2043,-1C1EDD,-1C1FC2
-1AA4F7,-1AA571,-1AA537
-1C1F36,-1C1ED7,-1C1F42
-1AA51F,-1AA509,-1AA4F6
-1C2001,-1C1FDC,-1C1F68
-1AA456,-1AA511,-1AA665
-1C1FD8,-1C1F1F,-1C2040
-1AA5C0,-1AA6E3,-1AA56E
-1C214C,-1C21C3,-1C2164
-1AA4C7,-1AA85B,-1AA5FF
-1C1FF0,-1C20DF,-1C20D8
-1AA635,-1AA7B3,-1AA7A7
-1C21F4,-1C217A,-1C1FC6
-1AA66A,-1AA5EA,-1AA745
-1C1F30,-1C209C,-1C1EDF
-1AA617,-1AA749,-1AA66E
-1C2017,-1C1F5E,-1C1F94
-1AA6FE,-1AA70C,-1AA5BB
-1C2054,-1C1F7D,-1C2113
-1AA71D,-1AA3ED,-1AA688
-1C1E78,-1C1F53,-1C204D
-1AA5FB,-1AA731,-1AA436
-1C2068,-1C1F7C,-1C1FD7
-1AA5BA,-1AA79A,-1AA6BD
-1C20A3,-1C2350,-1C209F
-1AA6C3,-1AA610,-1AA5F6
-1C2067,-1C2374,-1C2203
-1AA80C,-1AA64B,-1AA6C7
-1C20A0,-1C2117,-1C1FAF
-1AA53C,-1AA759,-1AA71A
-1C1FFC,-1C20CF,-1C21EF
-1AA89D,-1AA5D8,-1AA6D9
-1C218E,-1C20C2,-1C1F95
-1AA4E4,-1AA4F9,-1AA5F5
-1C2158,-1C1FB1,-1C1FCE
-1AA751,-1AA54D,-1AA6B9
-1C2002,-1C1F51,-1C2240
-1AA5DD,-1AA606,-1AA7DB
-1C1EA7,-1C210A,-1C2069
-1AA5A0,-1AA664,-1AA5D1
-1C1ED1,-1C225E,-1C20B7
-1AA75B,-1AA806,-1AA7CD
-1C2084,-1C216C,-1C2147
-1AA80D,-1AA796,-1AA8ED
-1C2195,-1C23DB,-1C20CD
-1AA799,-1AA761,-1AA7B9
-1C227F,-1C21BB,-1C21CA
-1AA74C,-1AA540,-1AA7ED
-1C219E,-1C204B,-1C209D
-1AA5D9,-1AA637,-1AA6CB
-1C1E93,-1C1FE8,-1C2086
-1AA5E9,-1AA3EC,-1AA590
-1C223A,-1C2122,-1C20B0
-1AA6D3,-1AA5AB,-1AA65B
-1C20C3,-1C2187,-1C2362
-1AA7D0,-1AA628,-1AA564
-1C21B0,-1C210D,-1C20C6
-1AA912,-1AA818,-1AA8E8
-1C2236,-1C20BD,-1C233A
-1AA7D6,-1AA893,-1AA5E0
-1C21F6,-1C2151,-1C233D
-1AA7B3,-1AA694,-1AA6B8
-1C215A,-1C2260,-1C218F
-1AA600,-1AA6AF,-1AA6EE
-1C22BB,-1C20AE,-1C21D3
-1AA62D,-1AA943,-1AA816
-1C2071,-1C2146,-1C215D
-1AA7AE,-1AA653,-1AA51A
-1C20C0,-1C215F,-1C20EC
-1AA7BC,-1AA686,-1AA781
-1C2061,-1C21A2,-1C2135
-1AA62E,-1AA6EB,-1AA55E
-1C20D6,-1C21CB,-1C216A
-1AA7B5,-1AA9F8,-1AA943
-1C2325,-1C22F9,-1C2389
-1AA970,-1AA98C,-1AA671
-1C217E,-1C22D4,-1C223C
-1AA8D9,-1AA741,-1AA837
-1C22A9,-1C2105,-1C22EF
-1AA67B,-1AA88E,-1AA92D
-1C2369,-1C20E3,-1C20AB
-1AA912,-1AA684,-1AA74D
-1C2364,-1C20FD,-1C21FC
-1AA7CF,-1AA7B2,-1AA7D1
-1C2246,-1C2267,-1C2232
-1AA85D,-1AA85C,-1AA873
-1C2121,-1C20F6,-1C21D1
-1AA904,-1AA73B,-1AA7CC
-1C2249,-1C22E1,-1C2397
-1AA941,-1AA938,-1AAAD5
-1C2221,-1C2480,-1C237C
-1AA9E4,-1AA888,-1AA936
-1C223E,-1C21B4,-1C24C2
-1AA888,-1AA81D,-1AA7D2
-1C251F,-1C243A,-1C237B
-1AA828,-1AA9F8,-1AA6AB
-1C21D0,-1C2335,-1C2358
-1AA80B,-1AA83B,-1AA86C
-1C22A0,-1C236C,-1C2315
-1AA6F0,-1AA748,-1AA96F
-1C21E2,-1C2350,-1C221B
-1AA7CF,-1AA797,-1AA6B6
-1C21C2,-1C2243,-1C22D4
-1AA721,-1AA891,-1AA6EF
-1C22F3,-1C2249,-1C2478
-1AA8B9,-1AA9FC,-1AA8BC
-1C24C0,-1C2504,-1C22F5
-1AAA60,-1AAB11,-1AA9CC
-1C2267,-1C22F1,-1C23A3
-1AA99E,-1AAA84,-1AA96F
-1C2386,-1C2450,-1C24FE
-1AA906,-1AAA5E,-1AA93C
-1C2346,-1C24B8,-1C22AF
-1AAA2A,-1AA9AF,-1AAA63
-1C25A0,-1C2269,-1C22A4
-1AAB7E,-1AA97C,-1AAA87
-1C2326,-1C219F,-1C22A8
-1AA993,-1AAAAF,-1AA9D4
-1C245C,-1C2582,-1C23C9
-1AB472,-1AB30C,-1AB2E9
-1C2131,-1C1FB4,-1C1F0E
-1AA5B3,-1AA672,-1AA6A3
-1C206F,-1C20ED,-1C212D
-1AA7B6,-1AA5F0,-1AA573
-1C1F2D,-1C1F89,-1C206B
-1AA67B,-1AA64E,-1AA542
-1C207D,-1C1F71,-1C2025
-1AA656,-1AA737,-1AA53C
-1C1E56,-1C1F72,-1C20F9
-1AA593,-1AA584,-1AA49D
-1C2093,-1C1FF1,-1C20A6
-1AA520,-1AA5FD,-1AA637
-1C200A,-1C1F4C,-1C2026
-1AA63E,-1AA46B,-1AA4D8
-1C210D,-1C1FA8,-1C1FA0
-1AA47C,-1AA504,-1AA594
-1C2098,-1C208E,-1C1FF7
-1AA54F,-1AA444,-1AA6B9
-1C2106,-1C2210,-1C22F8
-1AA729,-1AA639,-1AA6E7
-1C20A6,-1C20BE,-1C2078
-1AA7BB,-1AA556,-1AA600
-1C1EDC,-1C200F,-1C21BC
-1AA46F,-1AA5D7,-1AA54A
-1C21EC,-1C2007,-1C2068
-1AA483,-1AA746,-1AA4B1
-1C1E08,-1C1F38,-1C1F78
-1AA4B3,-1AA599,-1AA416
-1C2103,-1C1FA9,-1C1FE7
-1AA66A,-1AA5A6,-1AA4B7
-1C1FF3,-1C2025,-1C1FE9
-1AA84B,-1AA605,-1AA6A7
-1C1F4E,-1C2129,-1C22D8
-1AA6A4,-1AA856,-1AA6BE
-1C1FF1,-1C2008,-1C2109
-1AA651,-1AA6B6,-1AA711
-1C20BD,-1C219C,-1C20CE
-1AA654,-1AA601,-1AA883
-1C21B3,-1C20A5,-1C22E9
-1AA71D,-1AA658,-1AA7C1
-1C21FA,-1C209B,-1C20E6
-1AA5A4,-1AA708,-1AA5F9
-1C20E8,-1C2125,-1C21B6
-1AA752,-1AA6FC,-1AA5A9
-1C2111,-1C214D,-1C2053
-1AA629,-1AA7CA,-1AA8E2
-1C2131,-1C20EA,-1C21C6
-1AA51F,-1AA4A3,-1AA729
-1C2215,-1C2261,-1C2175
-1AA805,-1AA5E1,-1AA6F3
-1C2298,-1C21C9,-1C2212
-1AA812,-1AA7A4,-1AA6EC
-1C218A,-1C2050,-1C222F
-1AA868,-1AA8A9,-1AA841
-1C220D,-1C220F,-1C2172
-1AA6B5,-1AA6B0,-1AA7C5
-1C2282,-1C2056,-1C20C0
-1AA71C,-1AA62C,-1AA683
-1C216D,-1C21FB,-1C2079
-1AA792,-1AA655,-1AA7B3
-1C22B4,-1C22F3,-1C2084
-1AA5DA,-1AA839,-1AA719
-1C2243,-1C209A,-1C21A0
