{'CALIB_RAW_DAC_START_I': 589824, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-4C5CE,-4C5AE,-4C584
-34BC5,-34AF9,-34993
-4C4D1,-4C4B3,-4C5E5
-34BC5,-348E2,-34A2F
-4C52E,-4C598,-4C3A1
-349DF,-34C59,-34A9D
-4C5C7,-4C75F,-4C5AF
-34B55,-3492A,-34A68
-4C5D9,-4C604,-4C6D0
-34A3C,-3498F,-34A66
-4C48A,-4C51C,-4C4F1
-34A30,-34BCE,-34AF8
-4C3D2,-4C456,-4C4FD
-34A15,-34AC6,-349BE
-4C556,-4C3A4,-4C324
-34A96,-347FA,-34AD9
-4C2ED,-4C2EB,-4C459
-3497C,-34888,-34994
-4C45E,-4C45A,-4C533
-34925,-349B3,-34AB0
-4C397,-4C44D,-4C607
-34B0F,-34B4B,-34B3C
-4C7AC,-4C5F2,-4C6B7
-34E41,-34D6A,-34B8D
-4C6F3,-4C760,-4C902
-34C7A,-34CF1,-34C6B
-4C72C,-4C690,-4C546
-34BD5,-34CD0,-34BFA
-4C58C,-4C529,-4C8CD
-34C73,-34AB1,-34AEE
-4C409,-4C707,-4C53F
-34BBD,-34B39,-34A22
-4C6F8,-4C72A,-4C579
-34CCC,-34BA9,-34A31
-4C5EE,-4C61F,-4C556
-34C02,-34B3B,-34A31
-4C5D7,-4C822,-4C7C4
-34A94,-34B4B,-34B11
-4C6DC,-4C4D0,-4C656
-34D36,-34CD0,-34A89
-4C5F8,-4C703,-4C687
-34CF2,-34B3D,-34B69
-4C5AA,-4C643,-4C5C2
-34BEC,-34A7D,-34996
-4C5E8,-4C671,-4C6C6
-34ACE,-34B06,-34B96
-4C648,-4C7A4,-4C4C3
-34BF7,-34DCA,-34AE3
-4C6F4,-4C6C1,-4C717
-3482E,-349B3,-34CB3
-4C3E0,-4C422,-4C366
-34A14,-34940,-34AE4
-4C545,-4C616,-4C5A9
-3560F,-356CF,-352DC
-4C10A,-4C33C,-4C087
-346F8,-346A0,-3470E
-4C13A,-4C0BD,-4C110
-346C7,-3458C,-34535
-4C0E6,-4C21F,-4C15C
-3478D,-347F6,-34595
-4C085,-4C09E,-4C218
-344E6,-344A3,-34878
-4C065,-4BF43,-4C0B3
-343FB,-3463B,-345B8
-4C02A,-4C02C,-4C145
-34645,-34737,-34655
-4C0E4,-4C181,-4BFD6
-34561,-344CC,-34559
-4C0D3,-4BFA8,-4C0B4
-3448F,-3467C,-34621
-4C12A,-4BEC0,-4C1AF
-3462B,-34649,-3470D
-4C1D3,-4C0E9,-4C16D
-347C8,-34581,-34729
-4C10B,-4C0F9,-4C0E4
-34654,-3468B,-346A4
-4C256,-4C061,-4C192
-34676,-346D5,-34718
-4C1AE,-4C173,-4C351
-347D1,-345EC,-34561
-4BE7A,-4C0EF,-4C17A
-348E3,-3485D,-34702
-4C095,-4C114,-4C0F4
-34595,-347B1,-347C1
-4C2DA,-4C1B8,-4C1F2
-349F7,-34965,-348C9
-4C271,-4C433,-4C34B
-34AB7,-34A37,-349A2
-4C37E,-4C2CC,-4C571
-34889,-347C5,-348B2
-4C223,-4C072,-4C222
-34974,-34608,-34989
-4C1BB,-4C334,-4C343
-34781,-348CD,-346FE
-4C1AF,-4C1B9,-4C1EB
-344C4,-34762,-3471B
-4BF8F,-4C405,-4C110
-347DB,-3480C,-34571
-4C0A1,-4BF3C,-4C1DB
-34884,-346A9,-34783
-4C201,-4C0C9,-4C198
-345E3,-346F2,-348B0
-4C119,-4C1A4,-4C249
-34701,-34981,-348B1
-4C29D,-4C384,-4C04A
-346CD,-345FE,-347A6
-4C390,-4C3A5,-4C1D8
-34A3A,-346AD,-347FF
-4C141,-4C201,-4C07E
-346E4,-34855,-346EA
-4C13B,-4C245,-4C0A5
-3479A,-3476D,-3465F
-4BFE0,-4C154,-4C05E
-345B6,-34722,-34838
-4BFE8,-4C0D6,-4C1BC
-34643,-346ED,-34780
-4C201,-4C209,-4C146
-34399,-34299,-343CE
-4C02D,-4BD0F,-4BF86
-3464E,-34503,-345FF
-4C140,-4C213,-4C08B
-34527,-34691,-34752
-4BECC,-4BFD9,-4C00F
-3464C,-3451A,-34619
-4C090,-4BE70,-4BEB1
-34597,-34512,-344CF
-4BEE8,-4BEBB,-4BF4C
-345EE,-344AC,-34358
-4C106,-4BFE3,-4C038
-345B1,-34380,-344F6
-4BF95,-4BF44,-4BEA1
-34429,-34479,-34604
-4BE42,-4C0DC,-4BCAF
-34537,-344C6,-34311
-4BDA0,-4BD2C,-4BE65
-342E4,-343E1,-34337
-4BCF4,-4BD92,-4BE0A
-3427D,-34475,-3441C
-4BE25,-4BEF9,-4BE55
-343DC,-34486,-34536
-4BCF7,-4BE06,-4BF92
-34194,-34453,-3419D
-4BC7E,-4BD45,-4BE6C
-342BD,-342BB,-3423E
-4BC64,-4BBB5,-4BF34
-344AF,-343C4,-3448A
-4BCDC,-4BE74,-4BE74
-3436A,-3423C,-3437E
-4BB8B,-4BD72,-4BC80
-3434E,-3456B,-344C6
-4BE5E,-4C000,-4C2AA
-34657,-34631,-343E1
-4BDF8,-4BF68,-4BFE9
-343B0,-34360,-3461E
-4BE3A,-4BE64,-4BEBC
-342A8,-3448C,-343FC
-4BEE7,-4BD89,-4BE4B
-34366,-344A2,-343F4
-4BE6D,-4BE19,-4BE88
-3436C,-34561,-346BD
-4C0C3,-4BF77,-4BD63
-34533,-3426A,-34497
-4BD25,-4BCDF,-4C06B
-3442D,-3456B,-345F4
-4BF62,-4BFBB,-4BF8A
-34347,-343A4,-34303
-4BF3F,-4BE68,-4BDE7
-3429A,-34412,-342BD
-4BDD2,-4BEB0,-4BFAF
-34393,-3438C,-3429F
-4BFD1,-4C135,-4BED2
-344F8,-34469,-34488
-4BDE6,-4BF4A,-4BE6C
-34375,-343C0,-3439A
-4BFD8,-4BF05,-4BD9B
-34629,-345BA,-346E7
-4BD71,-4BE45,-4BDB1
-342BB,-34345,-34570
-4BE2A,-4BE51,-4C02E
-34536,-343C7,-342DF
-4BF1E,-4BED5,-4C132
-34602,-34624,-344EC
-4BBA2,-4BC1A,-4BC55
-340A7,-340F2,-342BE
-4B950,-4BB47,-4BAC0
-33F16,-340F3,-33F69
-4BB53,-4BC22,-4B960
-33FA3,-34082,-33F58
-4B964,-4BAC2,-4B8C2
-33F42,-34002,-33EFF
-4BA73,-4B920,-4B838
-33FF3,-33FC0,-33EE4
-4B9BC,-4B8FB,-4B9A7
-33F65,-33E79,-33F7F
-4B997,-4B8B6,-4B9BD
-33FB7,-33F3B,-3406F
-4BB48,-4B980,-4BAF3
-33DDD,-33DFE,-33F28
-4BA83,-4B923,-4B951
-33F88,-33F07,-33F00
-4B947,-4B9B6,-4BA03
-34009,-33F97,-33ED8
-4B96C,-4B866,-4BA09
-33F33,-340C1,-34047
-4B9CD,-4B845,-4B883
-33ED1,-33EDC,-33C24
-4B993,-4B7AF,-4B8CA
-33D51,-34097,-33CC1
-4B9D1,-4BA5B,-4B739
-33EEB,-33F95,-33D1C
-4B842,-4B828,-4B994
-33E75,-33DF1,-33C8A
-4B6AF,-4BA9B,-4B649
-33F4E,-33FFE,-33F3D
-4B8FD,-4BA5E,-4BBA5
-33D30,-33DEC,-33F52
-4BB40,-4B936,-4B973
-34048,-34000,-33E56
-4BB72,-4BA96,-4B80B
-3402A,-340E0,-34047
-4B9A5,-4B7BC,-4B8A1
-34046,-3410B,-34171
-4B95F,-4B9AE,-4B9D7
-34151,-3419C,-34014
-4B8F6,-4B9BF,-4B6FE
-33F7E,-34106,-34087
-4B899,-4B991,-4BB41
-33FF0,-33E83,-33F38
-4BA2A,-4B9DE,-4BAA7
-33F10,-33FD4,-33E6A
-4BAF1,-4BB5B,-4BA92
-340E5,-341DD,-342E6
-4BB45,-4BBF5,-4BA39
-33FEB,-34010,-3409F
-4B9BF,-4BB01,-4BA10
-3414F,-34139,-3415E
-4BB46,-4BAC8,-4BA8A
-33FEA,-3404E,-33FD7
-4B938,-4BA5C,-4BAAE
-33E9E,-34115,-33F0B
-4BAB7,-4B86C,-4BB13
-3407D,-33EF2,-33DC4
-4B9C5,-4BA96,-4BA81
-33FDD,-34043,-33F30
-4B8BB,-4B9BD,-4B859
-33D84,-33D55,-33D2F
-4B797,-4B81C,-4B8DA
-33EEC,-33DB0,-33D72
-4B823,-4B755,-4B8D0
