{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-81073,-80E6C,-81124
-98995,-98CAA,-98AFB
-8110A,-811C0,-810FE
-98B92,-98A52,-98B63
-81056,-81002,-81018
-98A8C,-98BA9,-98C71
-81070,-811EE,-81069
-98B99,-989A8,-98C15
-8110E,-81118,-811C6
-98C26,-98B53,-98C0B
-810A1,-8105C,-811C1
-98BF8,-98BFB,-98B25
-81276,-81180,-81131
-98AB1,-98BA2,-98BA3
-811B3,-80FEE,-8107F
-98C89,-98C90,-98C0F
-81182,-80FF0,-811B3
-9894F,-98AD5,-98B3B
-81178,-812B5,-810A2
-98A98,-98B75,-98ADC
-812DA,-80F93,-80FD5
-98A6A,-98C45,-98B65
-81149,-80FCF,-80F48
-98AF0,-98B4A,-98B0E
-80ECA,-80DB2,-810B3
-9897F,-98ACE,-98A26
-8107B,-81180,-81168
-989C9,-98B2C,-98AC4
-81335,-8125C,-81084
-989F1,-9898F,-98B19
-81101,-8105C,-80FF0
-98B0C,-98A8A,-98B20
-80E33,-81061,-80F48
-9894B,-98B35,-98974
-80F98,-80FBD,-8108F
-98A47,-98A2F,-98A1F
-80FA2,-80F4A,-80EFB
-98B40,-9897D,-98B19
-80FD4,-80F5D,-8104C
-98979,-98A53,-98B4D
-80F5C,-80F67,-80DEC
-98808,-98889,-987A5
-80F4E,-80F89,-81272
-98B13,-98CC2,-98A14
-81050,-80E6F,-80FAC
-98819,-9896F,-988C1
-80ED8,-80F13,-80FA8
-98943,-988A2,-9884E
-80D7B,-80E1D,-80D35
-9896E,-98A3F,-987ED
-80DBC,-80F03,-80E9C
-98923,-98A29,-988C4
-80F4A,-80FA4,-80FC0
-98AC9,-98942,-98B79
-80E95,-80FE3,-81068
-98B5C,-98AF9,-98B53
-80EF5,-80FEF,-80D86
-98A90,-9895A,-98B31
-80FAB,-80D2C,-81009
-987B0,-98941,-98873
-80DCC,-80C6E,-80D6B
-98913,-98590,-9887D
-80FBD,-8105E,-80B9C
-9885A,-987AB,-9890C
-80D0D,-80C49,-80EA6
-987A2,-98B91,-98887
-80FB8,-81048,-80E48
-98767,-9886B,-988D6
-80F20,-80E88,-80CFF
-98938,-988E7,-98642
-80EE3,-81006,-80FA8
-98974,-9883B,-98ACA
-80EBD,-80EBB,-80D42
-988E5,-9881C,-9880C
-80F19,-80FB4,-80E0C
-988E8,-98915,-98940
-80E1D,-80CE6,-80F02
-989C3,-98906,-98880
-80EE8,-80E12,-80E9F
-9886A,-98692,-98741
-81870,-819D4,-818B5
-980B8,-9821E,-9828E
-8053C,-80858,-80679
-98365,-98489,-982E4
-8086A,-807DB,-80824
-98290,-98109,-981CA
-807D4,-8099B,-80549
-981BF,-98284,-9814F
-8081B,-8060F,-8074D
-9813C,-982F0,-9802A
-80878,-807AF,-80630
-9819D,-981E1,-98120
-807AF,-8069E,-806BE
-98188,-98308,-9821E
-80694,-80770,-80709
-980B8,-9822B,-981D5
-80512,-80513,-805F6
-98005,-98137,-982B0
-809B9,-80630,-80825
-98151,-9821E,-980D0
-80655,-80795,-8078C
-981CC,-980DA,-98190
-80856,-806A1,-807F4
-98186,-98204,-980B4
-807AE,-8080E,-804E7
-98098,-97F6B,-98191
-8078A,-80534,-80796
-98181,-980F9,-9804A
-8054A,-80689,-807A2
-9822A,-9815E,-97F74
-80763,-8057F,-8073E
-98054,-98322,-980B0
-8081A,-806D0,-80777
-981A5,-9817E,-9819D
-808CB,-80668,-807F0
-982AF,-9814E,-98286
-80868,-806E2,-808C2
-980BA,-97F5D,-98039
-80860,-80784,-806F0
-9800A,-981A7,-98168
-8074D,-80623,-80561
-98010,-98125,-97F67
-806DC,-805DD,-8087F
-980EB,-98126,-98104
-80651,-804AB,-80490
-97F4A,-97F99,-97F0D
-80470,-8056F,-80629
-97F34,-97FC6,-97E0B
-80354,-80556,-805ED
-97FD8,-98016,-98094
-80452,-803BF,-804CA
-98045,-980ED,-981CE
-80640,-805F6,-80773
-97F7F,-97F54,-97FDC
-80686,-80691,-806A6
-98127,-98106,-9809B
-80702,-804E2,-80547
-97DA0,-97EA9,-97F12
-8065B,-804B9,-8032F
-97FC1,-97E2F,-98063
-8055B,-80518,-80611
-97D75,-97EE7,-98067
-805B4,-804C6,-806DB
-97F14,-97F88,-97D58
-805AE,-80487,-80465
-980B1,-97E3D,-97F97
-8045C,-8059B,-80688
-98073,-97F55,-97F44
-80489,-803F5,-80315
-97ED1,-97E2D,-97FE6
-804DB,-80591,-8045B
-97ED7,-97F26,-98080
-8058B,-804DC,-8040A
-97FBE,-97F81,-9809B
-80584,-80515,-80605
-97F8C,-97ED8,-98136
-80629,-80642,-805B3
-98277,-97E77,-97FE0
-80342,-804A1,-8065D
-98038,-98018,-980DA
-803E6,-802EA,-80550
-97DBA,-97F5F,-98099
-80671,-80518,-805A4
-98043,-97EFD,-981A1
-805A2,-80473,-803DD
-97CB1,-97ED3,-97E07
-80643,-80523,-8044D
-98089,-97F10,-97FB8
-803FE,-80463,-8047F
-97E94,-98021,-97E44
-80554,-804D4,-80645
-97CB7,-97EE6,-98080
-802E5,-804B0,-8055A
-97D0C,-97F6D,-97FBD
-8053C,-803B7,-8041C
-97F27,-97EE1,-97FF7
-804F0,-804E9,-80458
-97F2B,-97E3E,-97D39
-80436,-803B6,-80427
-97E44,-97D9F,-97F18
-80358,-80286,-803DD
-97F53,-97EA5,-97EF1
-80382,-80427,-8030D
-97DB3,-97F1C,-97ED7
-8053C,-803E3,-803D2
-97E62,-97E89,-97EBF
-802F5,-803E3,-80373
-97FB8,-97F84,-97E2C
-80514,-8047F,-803FD
-97E38,-97E6A,-97E11
-80442,-8040E,-8030A
-97E7F,-97E36,-9800F
-8039B,-80234,-80321
-97D93,-97E07,-97FAD
-802BC,-80469,-803BA
-97D18,-97EA4,-97F31
-8031E,-802C6,-8037D
-97C90,-97C3F,-97DFD
-80293,-8051E,-802F2
-97CE2,-97C78,-97E36
-80327,-800B2,-803E8
-97D05,-97E7D,-97DB8
-803BF,-80371,-80397
-97E87,-97E08,-97CD8
-80241,-80266,-80349
-97DE3,-97D18,-97D87
-80224,-80286,-80346
-97E34,-97EAF,-97DDC
-8048C,-8057B,-80470
-982CF,-98342,-981B2
-80965,-80A70,-808A5
-983A3,-9843A,-982D6
-8080B,-808EC,-80756
-983FD,-9841A,-98318
-80915,-808DB,-80761
-98119,-982D1,-9844B
-808D6,-807BB,-806D8
-9811F,-982A1,-981BA
-80815,-80708,-80692
-98055,-9843B,-98230
-808E6,-807CB,-80764
-9825A,-98189,-98120
-807AE,-8078A,-8089A
-98291,-9834C,-98158
-807AA,-807A5,-80894
-9818D,-98386,-981E8
-80A05,-808A5,-807CF
-982F6,-980C1,-983AD
-80921,-8086B,-807CE
-98263,-9834E,-982FC
-8083D,-808AB,-806F8
-9816B,-9827A,-982C8
-8076A,-807DE,-8072C
-9827A,-980A6,-98212
-8091F,-807CC,-80726
-98248,-981BB,-9827B
-80604,-8083F,-805E3
-9835D,-97F98,-980FE
-80854,-805EA,-807CB
-980BC,-9815E,-98165
-806B7,-80724,-8072B
-9821D,-9801E,-9819D
-80812,-807AD,-806E6
-980C1,-981FD,-98102
-80674,-8064E,-806BF
-980ED,-9812B,-98179
-80716,-804AD,-807D4
-982A6,-981C2,-98227
-80763,-80709,-80803
-9823F,-981AF,-980B5
-80757,-80736,-8069E
-980F2,-98066,-97F6A
-805D4,-805F1,-806BB
-98001,-981BC,-98041
-8080D,-80776,-805F1
-98029,-980CD,-980EF
-804A8,-80408,-8056B
-98276,-981EE,-98046
-80758,-80721,-807D4
-980C1,-980EB,-980BD
-8061D,-80768,-806D0
-981ED,-9823D,-98107
-805C8,-807B7,-806C1
-98163,-9829A,-98118
-80559,-8071C,-8079C
-97FF9,-981A6,-98034
-80587,-80636,-8064F
-9813F,-98358,-980BD
-8077A,-8078D,-80671
-980D1,-981A8,-9817B
-80889,-806A7,-805C4
-980ED,-980EC,-9811D
-807EE,-8086E,-806A4
-9803E,-97EFD,-98116
-80757,-805DE,-80510
-980EB,-9831F,-981E1
-8082D,-80752,-80778
-98108,-981A1,-981ED
-8085F,-807A1,-80706
-98120,-98262,-98009
-80664,-807F9,-8065B
-97FCD,-98248,-98112
-80857,-8080E,-80849
-981DB,-9814D,-981F5
-80872,-80770,-805B7
-98175,-9808C,-980F8
-80758,-8082B,-806FC
-98071,-982AA,-981C3
-80615,-806D6,-8060E
-98212,-98094,-981FB
-80756,-807F4,-8043F
-98129,-98117,-98348
-806D0,-80725,-806FC
-98066,-9805D,-981DC
-80766,-807AC,-805BC
-9809E,-980EF,-97FC1
-80644,-805A0,-805A4
-9807A,-97F30,-97E4F
-8072A,-80557,-8055A
-9804E,-98023,-98055
