{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
3FDE5,3FBA4,3FDAD
5793D,578A9,57A05
3FD5E,3FE14,3FD10
57563,57608,57887
3FB66,3FD74,3FC83
577B8,57729,57752
3FCE1,3FBA8,3FD4E
5772E,577F1,57690
3FB60,3FC4A,3FC42
576BC,57878,57660
3FC42,3FC8F,3FCF8
5758C,57601,57528
3FB35,3FD00,3FC23
57910,5777D,57615
3FC9A,3FCB7,3FC9A
576D4,5780F,57762
3FD78,3FED8,3FC43
5764B,5775D,57824
3FD5A,3FB80,3FBFD
576A7,57514,5745E
3FAF0,3FD57,3FCC0
58372,58233,58343
40E9F,40F79,40D8A
5871D,58633,58706
40C57,40ED9,40D3A
586DC,58651,586E5
40E1C,40DC8,40CCE
58682,587C1,587B8
40C33,40DEC,40CED
58843,5871C,5862E
40C1A,40CC3,40C56
58556,5868C,586FF
40CCE,40C55,40C1F
585B0,58533,586F6
40C32,40B6E,40C89
588F5,5875D,5850C
40CE5,40CD6,40916
58643,58612,58688
40D61,40C8D,40EE6
5871C,587B2,5874C
40C45,40D08,40D58
5883D,587CF,58780
40E02,40B7C,40B1A
586F2,586D3,5874D
40D53,40D2C,40C18
586A4,588E5,587B2
40C41,40A0C,40C7C
5861B,58716,585BB
40C9E,40C32,40BE8
584EE,58625,585D5
40CBA,409E3,40AE7
58416,5852B,585E7
409F7,40B28,409DD
587CA,58595,58598
40DD8,40C42,40C22
5886A,585F6,587B9
40D88,40BC1,40E96
588C3,588A6,5888D
40D34,40E32,40D0E
586AA,587BC,5873F
40DF0,40C6F,40CBE
585C6,587DB,58709
40CE0,40DB0,40CA2
58660,587FB,58511
40D63,40CDF,40C9D
5874B,5871F,588CE
40D48,40C6F,40A9E
5872E,5877A,585B6
40B5E,40BA5,40D86
58A02,586F0,58708
40C6E,40C1F,40DFA
584E7,586C4,58743
40CCE,40ABB,40B8B
58729,5874D,58869
40C63,40AA9,40D37
585EB,584BB,585C3
40B77,40C7B,40DC2
58651,586BB,586F5
40C0A,40ADE,40A86
58595,585B8,5850A
40B85,40B44,409D0
584DC,5865A,5852F
40A95,40ADD,40B83
58693,585B3,5881A
40C20,40B8F,40A9A
582FF,58576,5859E
408DC,4086D,40848
58156,580E4,5833F
40855,4094E,40730
58133,581C4,58189
407C4,4062B,40845
581B7,58254,58138
405A4,40881,40755
580B6,58177,5825B
4074D,4084F,4085A
580DC,582D7,58132
4087F,406BF,407A6
580A8,58188,58365
4068F,40664,407D8
58014,58138,5818D
404D6,4070A,40704
581F0,58347,583FE
4086D,40781,4080C
5819C,581BE,58094
409D4,407CE,4075C
5824E,582CB,58255
40641,40647,406AC
580E0,5823A,57FDD
4081B,4068A,408A6
58341,580A4,5816B
40611,40731,406B7
580FB,580FB,57F17
406CA,4074B,404DE
580F4,58004,583F5
40574,405C6,405D7
57ED4,57FDC,5800C
403B5,40688,40531
582B0,581E4,5844A
40A53,4092B,40884
5816A,582D0,583EA
40834,4091C,409C4
5818B,583E7,58306
40A4C,40741,40937
58462,5819E,58550
407A6,40795,40899
58284,58110,582D3
40A1B,40B9E,408C5
581D2,581B6,581D6
407E7,40703,40957
5826A,583C0,5836A
408EC,4099A,4079E
581E8,58195,58172
406EA,407C5,40808
5819E,58348,58137
4073A,4062A,4076A
581B1,58197,582E4
407D6,40759,40820
58368,581D3,58312
4093A,40814,407F2
