{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
16AD43,16AD7F,16AC6F
153315,15332A,153361
16ADB5,16B0DE,16ADEE
1534A8,1533DB,1532CB
16AD62,16AE6E,16AD02
153497,153471,1532CC
16AEB1,16AD4E,16AE7B
153358,153322,1533AB
16AFFB,16AEE1,16B014
153442,1534FE,153675
16AEBF,16ADD4,16AFCB
1533FB,153451,153341
16AF17,16AF49,16ADAF
1533BD,1533E3,153424
16ADB1,16AE7F,16AEFF
153516,153310,15357B
169C1F,169A35,169AF8
1525EC,1528E3,1527B8
16A0D4,16A10E,16A36A
152764,152774,152702
16A222,16A323,16A451
15286E,152844,1527FC
16A2AB,16A466,16A325
15274E,152722,1528B4
16A2DA,16A286,16A411
152841,152839,152930
16A1F0,16A347,16A1A6
1527E4,152944,15277F
16A2D2,16A3F7,16A222
152A47,1525B1,1528F4
16A378,16A306,16A2C6
1529BF,152813,1528EB
16A365,16A4DD,16A552
152A26,152890,1529F8
16A330,16A32C,16A1D9
152A35,1528C8,1529A3
16A2EC,16A4A4,16A47C
152A20,152989,152AF3
16A392,16A31B,16A46A
152A1C,152940,15291C
16A52E,16A365,16A436
1528FA,152A6C,152819
16A201,16A3C8,16A3C4
152911,152A06,15290B
16A393,16A3EE,16A4ED
152AE2,1529E3,152A98
16A478,16A50A,16A6D6
1528F3,1529DE,152B0C
16A38D,16A413,16A3F8
152B51,152C9D,152ABD
16A2CE,16A4E1,16A51F
152AE2,152B32,152BAC
16A58B,16A5F6,16A89D
152A99,152CA9,1529F2
16A541,16A5F4,16A69E
152AED,15299A,152AA9
16A59F,16A5B3,16A445
152C42,152C1F,152C64
16A6F8,16A5DE,16A694
152CA0,152C25,152B9F
16A508,16A66D,16A463
152BAF,152AB8,152C1D
16A5B6,16A4B5,16A4C3
152C4B,152AC3,152AEE
16A634,16A6F7,16A6AF
152B04,152A6F,152D50
16A4FC,16A6EB,16A63C
152B85,152A92,152BCC
16A783,16A9F4,16A742
152C5B,152CD3,152E59
16A944,16A80F,16A5FD
152D98,152D13,152F09
16A9B4,16A83B,16A807
152D39,152D6C,152D82
16A922,16A6E5,16A6CB
152DBA,152DD9,152E5D
16A669,16A9D5,16A848
152F05,152EC0,152F2C
16A6DD,16A9BF,16A960
152E54,152EFF,152E4C
16A872,16A889,16A929
152B14,152D16,152B77
16A4F7,16A3E1,16A5BD
1529EB,152BF6,152A89
16A3F6,16A3A8,16A3A8
152C08,152AD7,1528BA
16A55D,16A776,16A558
152BAD,152A93,152BA2
16A3FF,16A5BF,16A5FF
152C73,152C1D,152A0B
16A67E,16A467,16A37E
152AA4,152B13,152C2B
16A654,16A53F,16A5D9
152C10,152C4A,152B53
16A6BD,16A637,16A529
152BD3,152B5A,152BBE
16A5D2,16AA77,16A6BB
152CA3,152D0E,152C77
16A6EC,16A6D4,16A72F
152BD5,152DBD,152BAE
16A674,16A8A0,16A637
152D5B,152C16,152CBF
16A58D,16A637,16A5B4
