{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-D1F19,-D1E73,-D20FC
-BA60B,-BA72E,-BA653
-D20BF,-D1E2C,-D2042
-BA4A1,-BA30F,-BA3F6
-D1F42,-D1F13,-D20B2
-BA5EB,-BA598,-BA5F8
-D2049,-D2117,-D2006
-BA5EB,-BA6AE,-BA633
-D1F80,-D2069,-D225F
-BA4CE,-BA6B7,-BA4F5
-D20A9,-D1EE8,-D1FA3
-BC484,-BC3F6,-BC4F2
-D1E33,-D1E45,-D1ED0
-BA434,-BA530,-BA571
-D1F1E,-D1F5A,-D1D6F
-BA4EC,-BA474,-BA37E
-D1DC5,-D1D0E,-D1E74
-BA426,-BA641,-BA427
-D1F1B,-D2138,-D1FDD
-BA486,-BA266,-BA31A
-D1EEF,-D1E81,-D1F64
-BA21C,-BA32F,-BA318
-D1D46,-D1D6D,-D1E03
-BA3A2,-BA40D,-BA28F
-D1D1B,-D1E65,-D1ECE
-BA313,-BA224,-BA3BD
-D1C98,-D1D05,-D1F5B
-BA2D3,-BA24C,-BA243
-D1D82,-D1D79,-D1CFD
-BA1D1,-BA410,-BA1A5
-D1B93,-D1A44,-D1B90
-BA1B9,-BA1B0,-BA144
-D1D22,-D1B4C,-D1BC7
-BA2C8,-BA11C,-BA1A8
-D1BD1,-D1B50,-D1A8E
-BA122,-BA0E5,-BA0C2
-D1D3A,-D1B57,-D1A53
-BA301,-BA565,-BA343
-D1D5F,-D1E0B,-D1CCE
-BA2CB,-BA2C3,-BA2D7
-D1ABB,-D1D3D,-D1BCE
-BA0CD,-BA244,-BA261
-D1D66,-D1CC9,-D1B13
-BA025,-BA2B8,-BA29C
-D1AFB,-D1A58,-D1BD8
-BA18E,-BA0EB,-BA223
-D1A5E,-D1A5B,-D1A0F
-B9F43,-B9F09,-B9F33
-D1A94,-D1AB2,-D1A04
-BA093,-BA0B5,-B9F85
-D1B8B,-D1BA6,-D19D0
-B9E5A,-B9E8C,-B9FD7
-D1B1E,-D1B29,-D19E9
-BA0BA,-BA00F,-BA095
-D18A5,-D1C0A,-D1C0F
-BA161,-B9F97,-B9F34
-D1A85,-D1BB4,-D1A72
-BA1BC,-BA0E5,-BA0DC
-D1AFE,-D1ACB,-D19B8
-B9F64,-B9F6E,-B9FBB
-D196A,-D19F8,-D1826
-B9FC5,-B9E82,-B9F62
-D1944,-D1954,-D18B4
-BA128,-B9F79,-B9EDE
-D18C8,-D1933,-D18BE
-B9F53,-B9DCD,-B9F83
-D1A3E,-D199C,-D193A
-B9DDA,-B9D4C,-B9E39
-D189D,-D192A,-D17B2
-B9EA7,-BA04D,-B9F12
-D1855,-D1957,-D185A
-B9F25,-B9D66,-B9D73
-D17BF,-D1824,-D17CE
-B9DF6,-B9C85,-B9E7D
-D17D1,-D185C,-D1716
-B9DFE,-B9B80,-B9E77
-D1B32,-D1CFA,-D1BA8
-BA1F0,-BA01E,-BA1F7
-D1AAF,-D1B1F,-D1C2D
-BA16A,-BA1E4,-B9F5A
-D1C90,-D1BF9,-D1D5D
-BA26E,-BA1B9,-BA1EE
-D1B33,-D1BA4,-D1D61
-B9FC8,-BA1A1,-BA183
-D1C6B,-D1B04,-D1A33
-BA030,-BA088,-BA04D
-D1928,-D1B9D,-D1B1F
-BA155,-BA04A,-BA1B7
-D1A0F,-D1B04,-D1B87
-B9F65,-BA063,-BA12B
-D1AA4,-D1A1C,-D1B41
-BA03A,-B9FDC,-BA00C
-D1B1C,-D1C24,-D1A95
-BA1AE,-B9E3F,-BA030
