{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
D4FF3,D4DA6,D4F38
BD655,BD547,BD353
D4F47,D4DC5,D4E93
BD3CC,BD589,BD409
D50D1,D504A,D5064
BD4F8,BD548,BD6E2
D4F68,D4EE4,D4EA5
BD50A,BD660,BD5CB
D507B,D5041,D5093
BD6FB,BD54A,BD614
D4E52,D51D7,D5038
BD346,BD420,BD563
D4EE1,D4DD6,D4F99
BD255,BD506,BD30C
D4F52,D505D,D5114
BD4C1,BD4E8,BD4B1
D4F1A,D4F77,D4DA1
BD522,BD69F,BD5FD
D4F6C,D5076,D4E94
BD697,BD3DD,BD44C
D4DCC,D5024,D519C
BD3C8,BD504,BD419
D4F2C,D4EC7,D4D45
BD44C,BD5A2,BD484
D4E70,D4D38,D4F1F
BD4A0,BD494,BD4D9
D5134,D4F57,D4ECE
BD360,BD48A,BD376
D4C80,D4FB9,D4D49
BD43C,BD1F6,BD47E
D4FEC,D4EC2,D51EC
BD53D,BD4B5,BD6A3
D4DC3,D4DE6,D4F3C
BD53F,BD1D7,BD40B
D4E28,D5000,D4D3F
BD5F5,BD59B,BD411
D4ED9,D4E01,D4E7F
BD5D5,BD2E5,BD486
D4DCA,D506E,D4E83
BD5FF,BD424,BD55A
D4F37,D4E49,D4E92
BD539,BD38F,BD4AB
D4E69,D5037,D502A
BD403,BD3DD,BD3EA
D5092,D4E0B,D4E50
BD530,BD3C1,BD3D7
D4CF9,D4E9B,D4D5E
BD3D8,BD3B7,BD47C
D4EC7,D4F4E,D4EBC
BD3C0,BD343,BD5F3
D4DAE,D4DDB,D4F48
BD21A,BD346,BD2EE
D4CD9,D4E1E,D4DAE
BD306,BD3FC,BD532
D4C92,D4F00,D4DB5
BD447,BD249,BD377
D4D9E,D4CE0,D4D65
BD349,BD2CC,BD2FD
D4DF0,D4DB9,D5066
BD198,BD23F,BCFA1
D4BCB,D4C28,D4B91
BD3B5,BD41C,BD2EE
D4D83,D4E91,D4DE1
BD22D,BD1ED,BD20E
D4DBD,D4D82,D4C53
BD09E,BD091,BD13F
D4B91,D4A33,D4B5B
BD25B,BD1BE,BD1E0
D4D17,D4CD9,D4C95
BD1BB,BD1B8,BD307
D4D93,D4D63,D4B66
BD166,BD138,BD1E9
D4D45,D4C59,D4BDE
BD133,BD265,BD2DD
D43A0,D4363,D425F
BD582,BD604,BD529
D5022,D4F40,D5017
BD734,BD64B,BD691
D4EED,D51F5,D501C
BD75F,BD768,BD648
D5215,D5272,D50F9
BD696,BD7CE,BD4A3
D50AE,D4FD6,D5019
BD4D0,BD4FC,BD77C
D511F,D5048,D50B5
BD6EE,BD6E7,BD65C
D514D,D51F3,D50BB
BD587,BD71D,BD6DD
D50F0,D4FF2,D5093
BD554,BD605,BD63C
D523B,D5205,D5158
BD647,BD546,BD6AD
D4F83,D4FB6,D4F66
BD5FD,BD56F,BD5F6
D4EF5,D4E59,D4ECB
BD451,BD3B8,BD643
D4E76,D4DB3,D4F26
BD6D1,BD336,BD39C
D5072,D4DCC,D4E5D
BD4C1,BD546,BD37D
D4E72,D4F0E,D4F49
BD4F9,BD57B,BD460
D4E9D,D4E04,D4E96
BD2BB,BD3BA,BD560
D4F20,D4DD8,D4ED4
BD5DB,BD651,BD590
D4F4D,D4E45,D4FF5
BD50F,BD444,BD59D
D4E9A,D4FC6,D5044
BD5D8,BD539,BD758
D4FD8,D52F6,D5012
BD5F9,BD4A4,BD678
D4DD5,D4DEA,D4EE5
BD5EB,BD382,BD4EE
D5023,D5052,D4F97
BD48D,BD720,BD421
D4D5D,D5041,D4EEA
BD437,BD612,BD5B7
D5100,D5092,D4F59
BD6A6,BD6CE,BD678
D4F59,D4EF1,D50AB
BD679,BD56C,BD516
D5009,D5011,D51C6
BD6B7,BD5BD,BD4D1
D4F00,D4F5A,D5061
BD721,BD771,BD517
D4F4D,D5222,D505F
BD506,BD5C5,BD617
D4DFA,D4F90,D4E75
BD5F3,BD59D,BD3C1
D4F8C,D4FAC,D4F8D
BD377,BD3BB,BD37E
D4EA7,D5037,D4E10
BD425,BD5CC,BD614
D4F39,D4FA4,D5083
BD55D,BD3E6,BD4F4
D5049,D4FA5,D4D9B
BD523,BD633,BD4C6
D4F0B,D50FB,D5144
BD2FB,BD542,BD524
D4DBF,D506C,D506E
BD2DB,BD4A0,BD4C4
D4E15,D4F76,D4F2B
BD4AD,BD4DB,BD345
D4C25,D4DC4,D4E2B
BD280,BD2F3,BD3C8
D4DEF,D4D55,D4E3A
BD43A,BD4E6,BD2F9
D4DC8,D4F38,D4DC3
BD506,BD24B,BD238
D4E3A,D4EBC,D4EC0
BD5C9,BD215,BD39D
D4B6F,D4E60,D4C95
BD152,BD2DD,BD4F9
D4F0A,D4FDE,D509C
BD280,BD32D,BD3CB
D4E81,D4F69,D4DEA
BD3D3,BD1F8,BD39D
D4D36,D4C33,D4E92
BD236,BD1E7,BD338
D4E2C,D4D4F,D4EA7
BD360,BD327,BD17C
D4D06,D4FCD,D4D3F
BD1B0,BD2B3,BD2CB
D4CBB,D4D43,D4F0A
BD307,BD285,BD22B
D4DF5,D4E00,D4EB5
BD259,BD3A6,BD27B
D4CD7,D4E40,D4E3E
BD2DC,BD518,BD4F4
D4F03,D4EDE,D4FD3
BD27B,BD309,BD331
D4E20,D4F38,D4FC0
BD28A,BD2D4,BD313
D4FB9,D4D94,D4E1C
BD184,BD28A,BD3FA
D4D83,D4E46,D4DA6
BD248,BD3DB,BD21D
D4D5C,D4DEE,D4BFE
BD2E1,BD35B,BD45F
D4EDA,D4F54,D4F44
BD46B,BD310,BD4EE
D4F1D,D4EE8,D4E5B
BD3D5,BD5B8,BD4E1
D4E6F,D4F45,D4F2F
BD37F,BD48E,BD3C4
D4F99,D4DE9,D4F2F
BD2E0,BD1FB,BD2BA
D4F3D,D4D4E,D4E20
BD4E7,BD228,BD397
D4ED3,D4F5B,D4FE5
BD3AB,BD2BC,BD2CB
D4D40,D505E,D4E4A
BD359,BD38C,BD4F4
D4D74,D4D2F,D4D59
BD346,BD54A,BD447
D4DE8,D4E0C,D4E58
BD35F,BD43A,BD24E
D4D47,D4EE6,D4E0A
BD27A,BD3FD,BD0EF
D4D29,D4E9D,D4C18
BD3F4,BD4E1,BD2F4
D4961,D48F6,D4844
BCADD,BCB97,BCCBD
D4784,D4615,D4701
BCDBF,BCC56,BCAF7
D4924,D478B,D47D7
BCE3B,BCBF0,BCA01
D4728,D46CC,D48A4
BCB74,BCDB1,BCD0D
D491D,D48C7,D486D
BCEC0,BCCAC,BCCFE
D4792,D4910,D46F9
BCFE4,BCFAC,BCC45
D48A0,D49A9,D48DF
BCDC4,BCE11,BCDCF
D47C7,D48C7,D466C
BCD1C,BCD5B,BCD1D
D4718,D48F7,D4898
BCCBA,BCB7D,BCB32
D461E,D4440,D472F
BCC1B,BCD7E,BCBD5
D4551,D4698,D45FD
BCAE7,BCB04,BCBEF
D4643,D44B9,D44C0
BCBD7,BCA85,BCA6F
D43C0,D43BF,D46D4
BCDCD,BCBD8,BCB03
D4722,D459B,D4606
BCBAC,BCCBE,BCB96
D451F,D4688,D4685
BCA27,BCC5C,BCA24
D4639,D450A,D45FA
BCB60,BCAE4,BCB60
D4594,D46B2,D45E0
BCC14,BCB54,BCC6E
D43E5,D463B,D4526
BC85E,BCA0A,BCA75
D44DB,D4482,D452A
BCAA1,BCB47,BCA87
D4504,D4656,D45B0
BC950,BCA13,BCCF5
D4377,D449C,D450C
BCA0B,BCAB7,BCBAA
D462C,D469E,D44EF
BCBBA,BCA93,BCCD0
D436B,D439C,D438A
BCC43,BCA5C,BCCB9
D455C,D457B,D461B
BCAB7,BCB1B,BCA81
D43E7,D4536,D46EE
BCBC3,BCB35,BCC35
D466F,D45E6,D444B
BCA91,BCC86,BC9AA
D44C8,D4740,D4616
BCAE7,BCA53,BC9D4
D450B,D456C,D43A2
BCC23,BC9B4,BCA92
D4524,D45DB,D460C
BCB41,BCBF9,BCA76
D467E,D4516,D4531
BCC06,BCB79,BCACE
D443F,D441F,D447C
BCA28,BCCAB,BCA36
D4479,D44BC,D455C
BCA42,BCB17,BCB6F
D4540,D440B,D448F
BC930,BC957,BC95D
D436E,D445B,D44DB
BC9B4,BCB23,BC9F5
D4304,D42EC,D4510
BCA1D,BC95D,BCA2F
D4392,D4429,D4520
BCA98,BCA29,BCA06
D4720,D44A7,D464D
BCB62,BC8FE,BC8D9
D452A,D460E,D4576
BCA15,BCA1A,BCBDB
D44B4,D45E3,D47B5
BCC72,BCC5E,BC93D
D4636,D45E8,D4512
BCB9C,BCD23,BCAB2
D44C2,D4656,D470F
BCB4C,BCB65,BCBBF
D452F,D443F,D451D
BCB66,BC9F5,BC9D3
D43C4,D4516,D42A9
BCA1D,BC910,BCB02
D464B,D45FC,D4647
BCA01,BC8BF,BCA07
D4661,D448C,D45BA
BC9DB,BCBC7,BCB6E
D445A,D4483,D45EC
