{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-148DCA,-148B2D,-148D05
-1310F4,-13148B,-1311AE
-148C94,-148C0E,-148E75
-1315B0,-13132B,-131602
-148DD8,-148E42,-148CBC
-131217,-131432,-13128C
-148D63,-148D48,-148D57
-131448,-1312AE,-131096
-148DCF,-148D6F,-148E2B
-1312A0,-13137E,-1312E6
-148D18,-148D40,-148BC9
-1312A0,-131367,-131142
-148D9D,-148D18,-148B1C
-1312BC,-131249,-1310F4
-148BD9,-148D2C,-148F47
-1310C5,-131182,-1312EC
-148AFC,-148C1D,-148A51
-131033,-1310EA,-131214
-148B44,-148CAA,-148B66
-131204,-1310CD,-13119F
-148B30,-148DEF,-148D74
-131292,-1312C7,-131431
-148B9B,-148DAC,-148D0D
-1310A6,-1313C9,-131131
-148D2F,-148E00,-148C3D
-131281,-131500,-131325
-148D77,-148D01,-148D6A
-13143F,-1313FF,-1312CC
-148D99,-148D3A,-148D86
-1312F0,-1311B6,-131349
-148D55,-148D9D,-148D6B
-13125E,-1311C2,-13122D
-148C2D,-148C3C,-148DCB
-131380,-1312AF,-131330
-148D9B,-148BA5,-148B65
-13248D,-132216,-1323A6
-148584,-148402,-1486B7
-130B87,-130ADB,-130BA2
-14865D,-148353,-1483C4
-13097A,-1309B7,-1307CE
-14855C,-1484EA,-1484AA
-130A1B,-130A5C,-130B71
-148617,-148623,-1484B7
-130AA0,-130C74,-130C3B
-1484A9,-1483C2,-148530
-130A5C,-13093E,-13097D
-1483A3,-1483DE,-1486CA
-1308B2,-130AA9,-13081D
-148324,-14843B,-1485DA
-130ACF,-130BE3,-130A70
-1485E9,-1485DB,-1486A9
-130B8C,-13091F,-1309B5
-14843C,-14874A,-14840E
-130C60,-130B42,-130AC8
-148643,-1485EE,-148525
-130B0A,-130B93,-1308AF
-14862F,-1487D8,-148750
-130A57,-130C0B,-130CCC
-14873E,-148651,-14842B
-130A61,-1309ED,-13089A
-1484DB,-1485AB,-148529
-130B90,-130B0E,-130C88
-148489,-148488,-1484E0
-130C16,-130B34,-130A23
-1486C9,-1485E6,-14848F
-130B88,-130C2B,-130A5E
-1484BE,-148574,-148572
-130AF9,-130C1A,-130C47
-1482EA,-148456,-1485F2
-130BCB,-130CB9,-130CA2
-148567,-14885D,-1485EE
-130C4B,-130CC8,-130CBE
-1486FD,-1488B8,-1486F2
-130BAB,-130D14,-130DCC
-148681,-1486DC,-14879A
-130C41,-130B51,-130AD6
-1485A5,-148613,-1485A1
-130BE6,-130BB4,-130BB2
-14866B,-1484F5,-1484CF
-130A3C,-130AE1,-130B4A
-1484D4,-148834,-14862C
-130AE8,-130B8A,-130B71
-1485A3,-148677,-148702
-130B0C,-130BF7,-130A78
-148868,-1486F8,-1488B4
-130F70,-130BC1,-130ECB
-14861C,-1486FB,-1486D8
-130C18,-130C86,-130C57
-148792,-14875D,-148849
-130D09,-130CAA,-130CB4
-148849,-14853B,-1487EC
-130D8F,-130B49,-130D23
-148653,-14851A,-148659
-130C45,-130D1E,-130BBE
-1486FC,-14860D,-14881B
-130C34,-130E54,-130E12
-1487F8,-14876F,-1486EA
-130E26,-130C2C,-130C56
-1485ED,-148772,-1488F3
-130C07,-130BD5,-130D3B
-148785,-148801,-1488AF
-130D64,-130D27,-130F04
-1487E8,-1488CB,-148936
-130E29,-130C1B,-130D84
-14867E,-1487E3,-1487C2
-130D51,-130D12,-130D92
-14879F,-148683,-1489AB
-130CF6,-130E92,-130C6E
-148859,-1487CA,-148894
-130F66,-130E95,-130D79
-14881C,-148879,-1486EC
-130D0C,-130E55,-130EAD
-14888E,-148804,-14872A
-130ADC,-130D09,-130EF6
-1488DB,-14877B,-1488ED
-130BF3,-130BE3,-130C5F
-14887A,-1487AF,-148874
-130F88,-130FEA,-131105
-14893B,-148765,-14883E
-130C76,-130D96,-130DA5
-14868C,-1488C8,-1487F4
-130DED,-130E8F,-13107F
-148A43,-148986,-148AF0
-130E45,-130EA4,-130E12
-148791,-14885F,-1488D4
-130F55,-130ED1,-130FD2
-148736,-14888A,-14868D
-130B60,-130E90,-130CD0
-148934,-14873A,-1486BA
-130DAC,-130DE9,-130EF1
-14873F,-148704,-1488C1
-130EE6,-130E3D,-130F04
-1489D2,-148930,-14896E
