{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10D99E,-10D8B4,-10D93B
-F5F69,-F5EA6,-F5EEE
-10D7CF,-10D962,-10D6E8
-F5FB3,-F5EF3,-F5E0E
-10D8C1,-10D8B3,-10D7CF
-F5FC1,-F6057,-F5EBC
-10D830,-10DA6A,-10DA23
-F5E44,-F5F71,-F5E41
-10DB95,-10D843,-10DA61
-F5F47,-F5E72,-F625D
-10DB42,-10DA47,-10DBCB
-F615A,-F60AA,-F6070
-10DB6D,-10D9AD,-10DA27
-F60BF,-F5F67,-F611F
-10D7A6,-10DA55,-10DA37
-F5ED6,-F6033,-F5E84
-10D7CC,-10D8AD,-10D675
-F5E3E,-F5CEC,-F5C9B
-10D7AC,-10D72F,-10D69A
-F5EE1,-F6058,-F5EBC
-10D88F,-10D863,-10D715
-F5F2A,-F5F60,-F5DF8
-10D9C4,-10D8DD,-10D8AC
-F5F11,-F5FB0,-F5FAA
-10D846,-10D911,-10D859
-F5D05,-F5E1E,-F5DA6
-10D904,-10D857,-10D751
-F5ED9,-F5DE9,-F5F2D
-10DA82,-10DA83,-10DA67
-F5EF6,-F5F81,-F5EB2
-10DA43,-10D7DD,-10D83A
-F5E6F,-F5DBC,-F5E95
-10D7CA,-10D912,-10D900
-F5EFE,-F5F95,-F5D68
-10DAF7,-10D974,-10DB36
-F5F90,-F5F2D,-F6023
-10DAED,-10DA7C,-10D9B7
-F5FFB,-F6029,-F5E90
-10DA27,-10D9E8,-10DA7E
-F5FE4,-F5FFF,-F5F83
-10D9E8,-10D815,-10D715
-F605C,-F5F10,-F5FDE
-10DAAD,-10D998,-10DAF9
-F5E8B,-F5ED1,-F5FF7
-10DBBF,-10D947,-10DAEB
-F60BD,-F60A5,-F60E9
-10DAD6,-10DBEE,-10DB16
-F60E4,-F5F83,-F5F81
-10DB8A,-10DC56,-10DDB6
-F6162,-F61E7,-F6167
