{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-8440F,-84476,-845CF
-6CA83,-6C8F7,-6C962
-84366,-84333,-8433C
-6C88B,-6C898,-6C940
-8423B,-843C4,-8423E
-6C851,-6C6FE,-6C863
-843E2,-84286,-84329
-6C702,-6C835,-6C737
-842EA,-841E3,-84129
-6C6C7,-6C63E,-6C56E
-84138,-83FB4,-840AD
-6C6A9,-6C641,-6C616
-840BC,-840EC,-84073
-6C780,-6C7AD,-6C5B0
-8413E,-8420A,-840EB
-6C6FE,-6C541,-6C7A9
-83F81,-84167,-84069
-6C58F,-6C5AA,-6C795
-83E84,-84040,-83F48
-6C635,-6C605,-6C599
-83FEA,-83FF7,-83FFC
-6C464,-6C503,-6C620
-840CC,-8403B,-841C5
-6C5D6,-6C46F,-6C60C
-840ED,-83E9B,-840DC
-6C56F,-6C484,-6C5EA
-84167,-83F67,-83F3E
-6C6E5,-6C688,-6C3EE
-8403C,-8401A,-84091
-6C57D,-6C790,-6C545
-8407C,-841A5,-8410F
-6C5F6,-6C491,-6C5D1
-83F72,-84167,-84034
-6C4F4,-6C73C,-6C55F
-83DE4,-840CA,-83F70
-6C4CE,-6C5DB,-6C4EC
-83E6C,-83EC2,-83DC7
-6C486,-6C55E,-6C797
-8412C,-83FB1,-84163
-6C6FE,-6C851,-6C7B1
-842B2,-841C3,-841DB
-6C64D,-6C680,-6C721
-8424D,-84245,-840DD
-6C7CF,-6C73D,-6C61B
-84267,-8407D,-84225
-6C753,-6C5C2,-6C743
-842FF,-84090,-84396
-6C951,-6C7D6,-6C713
-8416F,-84292,-84261
-6C7C3,-6C5F2,-6C740
-84158,-841C5,-84214
-6C886,-6C8A8,-6C617
-84221,-84122,-83FF9
-6C351,-6C553,-6C590
-842A5,-840C2,-83F62
-6C822,-6C89F,-6C924
-8412E,-841E5,-84189
-6C580,-6C7D9,-6C7AD
-8415B,-84201,-840D2
-6C4F9,-6C6F7,-6C72D
-84142,-842F8,-84225
-6C91F,-6C8B3,-6C6EB
-84141,-8414D,-83FDE
-6C520,-6C65F,-6C696
-84119,-840F0,-84148
-6C64A,-6C580,-6C5AC
-8424E,-84245,-8423C
-6C525,-6C6CE,-6C762
-8426E,-840FA,-84342
-6D05F,-6D142,-6D217
-83FDE,-83F7D,-83E06
-6C2F5,-6C288,-6C48D
-83FBC,-83CF1,-83F3D
-6C52D,-6C374,-6C3F7
-83E1B,-83D5F,-83F78
-6C4F3,-6C3A5,-6C40B
-83E17,-8406E,-83E0A
-6C359,-6C279,-6C260
-83DD0,-83DAF,-83ED8
-6C445,-6C327,-6C1CF
-83E12,-83EA1,-83B6D
-6C38D,-6C1FC,-6C287
-83CA8,-83CDC,-83DB2
-6C18B,-6C228,-6C192
-83E3E,-83DF8,-83DD9
-6C3C5,-6C373,-6C1F8
-83D6E,-83D08,-83E77
-6C3BC,-6C4ED,-6C26B
-83D01,-83DE5,-83ECD
-6C223,-6C326,-6C2BA
-83E4C,-83C2A,-83EB9
-6C3F1,-6C1C8,-6C289
-83DF2,-83C67,-83EFE
-6C3EF,-6C150,-6C224
-83D45,-83CF6,-83BE2
-6C144,-6C119,-6C2A6
-83B07,-83A9C,-83A06
-6C08C,-6C043,-6BFD4
-83B90,-83CB0,-83A88
-6C220,-6C23B,-6C1E6
-83BBA,-839AA,-83BF4
-6C380,-6C2AC,-6C15B
-83E6F,-83C7F,-83E4A
-6C3BD,-6C381,-6C393
-83DA5,-83CFF,-83E5F
-6C311,-6C2D8,-6C3B2
-83DF6,-83D3C,-83C57
-6C285,-6C197,-6C23F
-83D06,-83E2B,-83D81
-6C370,-6C1F0,-6C42F
-83EFA,-83F24,-83DB2
-6C47B,-6C2E3,-6C32E
-83CEA,-83E47,-83F2E
-6C29E,-6C1CF,-6C182
-83EC6,-83E11,-83C50
-6C3EA,-6C2F9,-6C2B0
-83CD4,-83BEA,-83CCB
-6C1CC,-6C161,-6C134
-83D02,-83BBF,-83C3D
-6C2FE,-6C27C,-6C321
-83DBE,-83D62,-83D06
-6C28A,-6C1EA,-6C0D6
-83DDC,-83D8F,-83C03
-6C428,-6C1F4,-6C2D7
-83CB1,-83BCF,-83CA6
-6C2ED,-6C08B,-6C04B
-83A8C,-83DE2,-83C7C
-6C272,-6C16B,-6BFC0
-83B01,-83C6E,-83CBC
-6C264,-6C2B8,-6C221
-83BA5,-83C5C,-83D0C
-6C1B9,-6C2B9,-6C212
-83A9D,-83D49,-83C71
-6BE93,-6C10A,-6C147
-83AC2,-83C12,-83B23
-6C097,-6C174,-6C057
-83B1C,-83C2C,-83B57
-6C1A1,-6C18F,-6C1BE
-83941,-8399D,-83B0E
-6BFB8,-6BE95,-6BE1D
-83943,-83A71,-83A0D
-6C107,-6BD05,-6BF2A
-83AB5,-839A3,-838F4
-6BF4B,-6BE6A,-6BDE5
-83A0C,-83A86,-83A5B
-6BF34,-6BE74,-6BFF8
-83835,-83878,-838A9
-6BE90,-6C057,-6BF2B
-83B38,-83869,-83A59
-6BEEF,-6BE8B,-6BCDB
-838EE,-83A08,-837AF
-6BF75,-6BEA6,-6BF97
-838CF,-83994,-838D4
-6BCDE,-6C0AF,-6BE33
-838D5,-8385B,-83A54
-6BEBC,-6C01C,-6BD63
-83857,-838B6,-83782
-6BCA5,-6BDA2,-6BB21
-838A5,-83704,-837B2
-6C013,-6BE48,-6BD86
-837F4,-83775,-8380E
-6BEB8,-6BED6,-6BE01
-83869,-83866,-83A05
-6BE65,-6BF8B,-6BCFE
-837F0,-838D6,-837F7
-6BFAD,-6C03B,-6BE2C
-839BB,-8389A,-83914
-6BFCA,-6BE26,-6C047
-8396E,-839AF,-83A56
-6BF06,-6BEEE,-6C19C
-83968,-839DB,-8390F
-6BEC5,-6BF1A,-6C00B
-839DF,-83A06,-839BE
-6BE7D,-6BCC1,-6BEAA
-838D8,-83A8B,-8390E
-6C11D,-6BF28,-6BE4D
-839D8,-837B0,-83B85
-6BEFC,-6C052,-6BCD5
-83926,-83A27,-8383E
-6BF4B,-6BE84,-6BF22
-838B6,-8392B,-83959
-6BD33,-6BD23,-6BC9E
-83A16,-83908,-83935
-6BEB3,-6C07B,-6C044
-8389E,-83902,-8395B
-6BEEB,-6BED5,-6BE17
-83868,-83A7D,-8377A
-6BF9B,-6BEF1,-6C197
-83959,-838BA,-838CD
-6C053,-6BE9D,-6BD16
-839A4,-838EE,-838F6
-6BCF4,-6BE51,-6BD02
-8384C,-8384A,-839B3
-6BF2A,-6BD42,-6BD75
-83B99,-8398B,-83783
-6C038,-6BCBD,-6BFBB
-83945,-8395F,-83921
-6C012,-6BE1E,-6BF2E
-8350D,-835F8,-835B6
-6BAFF,-6BA7B,-6BA68
-833F5,-83445,-834D8
-6B9C8,-6B9C7,-6BA7F
-83581,-83584,-83382
-6BB0E,-6B9E7,-6BBFB
-83360,-833EB,-83463
-6BA6D,-6B9EB,-6B85B
-83455,-83476,-83594
-6B994,-6B917,-6B726
-83331,-83484,-834A6
-6B953,-6B6ED,-6B769
-832D8,-832FE,-83461
-6B611,-6B8E2,-6B992
-831D2,-8334C,-8312A
-6B834,-6B6F2,-6B952
-83410,-83498,-834F5
-6BA26,-6BA8A,-6BA36
-8329C,-832E4,-83484
-6B899,-6BA53,-6B8F3
-83217,-833B0,-835B2
-6B8B7,-6B99F,-6B7B3
-8320C,-834A4,-834E9
-6B85D,-6B890,-6B7C0
-832EA,-832DA,-83341
-6B82C,-6B977,-6B96B
-832DA,-8311D,-8341D
-6B820,-6B877,-6B728
-83284,-83214,-83261
-6B8C2,-6B870,-6B984
-83474,-832C3,-833C9
-6B9FD,-6BA82,-6BAD6
-835DF,-83472,-83440
-6B980,-6B8D5,-6B8D4
-83506,-83419,-8349D
-6B973,-6BB63,-6BA52
-83441,-83641,-83444
-6BBB4,-6BB1B,-6BAC4
-83634,-8342F,-83488
-6BAC7,-6BB21,-6BAB9
-83480,-83417,-83594
