{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-ABA79,-AB9A6,-AB96E
-93D5C,-93EB2,-93E19
-AB95C,-AB9C5,-AB91C
-93DDF,-93F2B,-94061
-ABA91,-AB899,-ABAE8
-93FF2,-93FB0,-93E25
-AB9E0,-AB94C,-AB9EE
-93FFE,-93EE1,-93F96
-AB99D,-AB93F,-AB7F4
-93E58,-93EFC,-93E3E
-AB8C2,-AB800,-AB8FC
-93E3D,-93C76,-93D9A
-AB969,-AB902,-AB9D5
-93E24,-93ECA,-93F4A
-AB8E2,-AB7DD,-ABA7D
-93E97,-93E6B,-93DEA
-AB7C0,-AB905,-AB870
-93C89,-93E50,-93E7A
-AB8F4,-AB8B4,-AB81B
-93D25,-93DB2,-93D0F
-AB912,-AB76E,-AB996
-95E2D,-95E2D,-95E7E
-AB80F,-AB84B,-AB852
-93C92,-93E5F,-93C7C
-AB8AF,-AB921,-AB706
-93CAF,-93FC5,-93DC8
-AB7D6,-ABAA3,-AB8A4
-93E48,-93D95,-93C33
-AB706,-ABAA8,-ABB65
-93E33,-93D38,-93E03
-AB96F,-AB8D5,-AB906
-93ED1,-93F8B,-93D5C
-AB63E,-AB709,-AB88A
-93C31,-93FD3,-93D3F
-AB8DA,-AB790,-AB77E
-93CE8,-93B6D,-93CC2
-AB629,-AB5AE,-AB78D
-93A2D,-93C5C,-93B7F
-AB7E6,-AB744,-AB6FC
-93CC6,-93C5F,-93CB7
-AB765,-AB55A,-AB5CB
-93CE9,-93CFB,-93BE0
-AB69A,-AB790,-AB66E
-93C86,-93C68,-93A85
-AB5E7,-AB6CE,-AB6C8
-93C27,-93C19,-93A3E
-AB66D,-AB729,-AB639
-93C45,-93CB5,-93BD9
-AB685,-AB5FA,-AB5FF
-93BB4,-93D6F,-93AEC
-AB7CF,-AB732,-AB5E8
-93B4E,-93D08,-93B54
-AB6D6,-AB66F,-AB64B
-93BA6,-93B19,-93B1B
-AB685,-AB597,-AB4B4
-93CDC,-93A69,-93C25
-AB3BA,-AB67F,-AB3B7
-93AF0,-93B4F,-93A13
-AB3B8,-AB3BB,-AB3C6
-93A22,-93A14,-93937
-AB2BE,-AB494,-AB4DB
-93917,-93865,-937F6
-AB406,-AB431,-AB34B
-93A4B,-9388B,-9398F
-AB37A,-AB417,-AB2FB
-93975,-93B35,-93A2C
-AB30F,-AB438,-AB4F0
-9398F,-9390E,-93866
-AB211,-AB42B,-AB33A
-936EB,-93960,-938F5
-AB41F,-AB3E1,-AB58B
-93982,-937CD,-9393C
-AB48E,-AB2DE,-AB37F
-938E7,-93720,-938A5
-AB238,-AB3DC,-AB2C0
-9391D,-93903,-93994
-AB376,-AB364,-AB490
-937AF,-937FE,-9385A
-AB1C3,-AB340,-AB316
-93990,-938CD,-936E0
-AB223,-AB227,-AB3A4
-938C0,-938BA,-937AD
-AB0A9,-AB2B1,-AB14A
-93726,-93655,-9375A
-AB00C,-AB22C,-AB234
-937F4,-93710,-93899
-AB4E0,-AB4C9,-AB73D
-9383E,-93B16,-93A8F
-AB62B,-AB7EB,-AB5BA
-93C1A,-93B37,-9399D
-AB6E5,-AB608,-AB6D3
-93A42,-93B27,-93C40
-AB4E3,-AB4C8,-AB38D
-93B23,-93B86,-938AE
-AB554,-AB50F,-AB530
-93A5A,-939E1,-93BA0
-AB5D7,-AB795,-AB624
-93AB8,-93A45,-938F6
-AB39A,-AB3F2,-AB54E
-93A52,-93AAA,-93AA5
-AB4F0,-AB3EE,-AB592
-93C4E,-93A0F,-938D0
-AB2B9,-AB37C,-AB320
-93AD5,-93A56,-939D3
-AB44E,-AB54E,-AB4CA
-93A37,-9393C,-93ACE
-AB651,-AB4C2,-AB44E
-93969,-93AB1,-93A80
-AB6A9,-AB3F4,-AB3BC
-9394A,-939A9,-9394F
-AB5A7,-AB441,-AB387
-939EF,-939FE,-93A39
-AB571,-AB4B0,-AB4AB
-938B9,-93A42,-93A47
-AB3C6,-AB434,-AB376
-93A09,-938C8,-938F6
-AB2FB,-AB38F,-AB375
-9387A,-939D6,-93A42
-AB2E9,-AB387,-AB116
-9378D,-9355E,-93821
-AB141,-AB305,-AB2A4
-93865,-9350D,-93617
-AB15C,-AB01B,-AB1DD
-938A9,-9374D,-936A5
-AB05B,-AB278,-AB2C6
-936F9,-937C0,-936E3
-AB1A8,-AB144,-AB2DE
-935FB,-938B0,-93555
-AB277,-AB2D7,-AB19C
-938C1,-93657,-936D4
-AB14E,-AB15D,-AB144
-93770,-93438,-937E0
-AB0E0,-AB134,-AB2A1
-93571,-9361D,-935B9
-AAFF5,-AB1F0,-AB108
-936DD,-936DC,-93708
-AB0FF,-AB086,-AB0C0
-936DB,-934AE,-935A8
-AB1B8,-AB080,-AB1F9
-93633,-936F7,-93648
-AB12C,-AB0BC,-AB129
-93651,-93618,-935D7
-AB0B2,-AB1CB,-AB215
-936A2,-934D0,-93720
-AAF8C,-AB079,-AAE47
-937D4,-93648,-93603
-AAFC9,-AB078,-AB002
-93656,-93859,-9351E
-AAFF4,-AB07E,-AAF31
-944D2,-9439C,-94544
-AAEF8,-AAF8D,-AAFFB
-9356F,-934BF,-935E5
-AAFF2,-AB0CE,-AAFC9
-93529,-93746,-937F7
-AB063,-AAF81,-AB02F
-935A3,-93457,-9345B
-AAEF6,-AAE32,-AAEBE
-93601,-9344F,-93448
-AB015,-AAFAB,-AB0C3
-936A3,-9346F,-935CD
-AAFBC,-AAB81,-AAE48
-93342,-932F1,-9339F
-AAE14,-AAE64,-AB011
-935E6,-9362F,-93241
-AAE11,-AAF81,-AAF09
-9314F,-931D0,-933EB
-AAFA6,-AAEB6,-AAF74
-93621,-933D8,-932D2
-AAE3F,-AADE7,-AAE77
-934A6,-93522,-93436
-AB055,-AAE6E,-AAF91
-9344F,-93513,-936FD
-AB01E,-AAEC3,-AAEC2
-93379,-934DA,-93527
-AADDA,-AB080,-AAE97
-9352F,-935B4,-93348
-AB065,-AADDA,-AAEA2
-933BF,-93354,-93430
-AADF2,-AADC7,-AADCF
-9348D,-933B8,-932FE
-AAF2E,-AAEF1,-AAFA9
-93553,-93566,-935AA
-AAC09,-AAE7A,-AAD44
-9334A,-934AA,-93381
-AACBB,-AAB66,-AAC88
-9316B,-930A4,-9312D
-AABB0,-AAEA1,-AAD0F
-931AF,-93042,-9302A
-AAD1E,-AACB0,-AABAA
-930FC,-930A4,-9322F
-AAC91,-AACD0,-AAB54
-93143,-933A4,-93352
-AAD61,-AAC82,-AAB31
-930DA,-93282,-931D1
-AAC46,-AACC4,-AAD41
-9311D,-93189,-93395
-AAB39,-AAB15,-AACEC
-930AE,-93097,-93028
-AAB68,-AAB4B,-AAADF
-932A7,-93161,-93032
-AAB8D,-AAC79,-AADF9
-9306C,-931B9,-93004
-AAC38,-AAAF6,-AAB86
-93315,-931CE,-93052
-AABD9,-AACBC,-AABB3
-93127,-92FF0,-93071
-AAC3C,-AAAE0,-AAB37
-930EF,-93185,-92FC5
-AABAE,-AAA02,-AABB4
-930AC,-930B0,-9301A
-AAB5A,-AAA60,-AABCC
-93106,-930C4,-92F33
-AAD0E,-AABDD,-AAA80
-92F1B,-93192,-92FEB
-AAEA0,-AAD52,-AAC79
-93513,-932DB,-93295
-AAF17,-AAEB5,-AACEC
-9338B,-9331C,-933F2
-AADF3,-AAE1F,-AAD4E
-932AA,-93418,-932FB
-AAE39,-AACDA,-AAD14
-933E6,-93145,-931E3
-AACA6,-AAC67,-AAD34
-932A2,-93294,-9312A
-AAB67,-AAAFC,-AAC2B
-93072,-9331D,-93271
-AABFE,-AAC6C,-AAB00
-93078,-93043,-930CB
-AABC9,-AAD58,-AAB0A
-93059,-93052,-9303D
-AAD2A,-AAC74,-AAC56
-93057,-931A2,-931FF
-AAADE,-AAC85,-AAB56
-9324C,-92FE2,-931CB
-AAA7E,-AAADC,-AACC7
-93192,-93175,-92F86
-AAC36,-AAC26,-AAC63
-9303E,-930B0,-9303F
-AAAB5,-AAC62,-AABAF
-93070,-9317A,-9308E
-AA96B,-AAAEC,-AAC8B
-93007,-92EA5,-92F49
-AAB03,-AABFB,-AABFD
-930E0,-93022,-9308D
-AAA06,-AAD18,-AABF9
-93061,-930EA,-93220
-AAA4B,-AA933,-AA97B
-93113,-92E51,-92F97
-AAA77,-AAB61,-AAB29
-9319E,-93042,-92D70
-AAB4A,-AAC51,-AAB02
-92F32,-931FB,-92FF9
-AAB2B,-AA9D1,-AAA7C
-92E87,-92F97,-92E65
-AA726,-AAA0E,-AAAD0
-92FF7,-9302B,-92D94
-AA956,-AA8D9,-AA891
-92DC6,-92D6F,-92F6C
-AA7E2,-AA870,-AA8D2
-92F88,-92D8F,-92D9A
-AA852,-AA689,-AA949
-92D20,-92DE2,-92DB5
-AA8C8,-AA859,-AA8FB
-92D1E,-930D4,-92E08
-AA9A9,-AA94B,-AA870
-92CCB,-92DBD,-92E7D
-AA71C,-AA811,-AA951
-9305B,-92FA1,-92CC6
-AA84D,-AA868,-AA877
-92D14,-92DB1,-92DD4
-AA703,-AA6E6,-AA8B4
-92D11,-92E24,-92C1C
-AA7BF,-AA889,-AA879
-92F77,-92EAE,-92D2B
-AA611,-AA8B4,-AA8AA
-92E0B,-92D78,-92F3E
-AA7D7,-AA7C8,-AA7EB
-94130,-941CB,-943E7
-AB44C,-AB545,-AB35B
-93816,-93950,-939F3
-AB4FD,-AB3B1,-AB682
-93989,-93AC2,-93B09
-AB56D,-AB251,-AB5B6
-937C4,-93A59,-939BE
-AB395,-AB497,-AB465
-9395C,-93868,-93B5E
-AB4A6,-AB4A9,-AB437
-93998,-9395E,-93869
-AB2FF,-AB392,-AB320
-937C6,-93887,-93950
-AB365,-AB438,-AB4EC
-9385E,-9381D,-939AF
-AB45E,-AB4BC,-AB578
-93683,-937AF,-938EE
-AB22C,-AB219,-AB146
-93755,-93992,-93842
-AB2F1,-AB192,-AB1D6
-9390D,-9372A,-93923
-AB1F6,-AB272,-AB13E
-93880,-93599,-93880
-AB326,-AB211,-AB24E
-93815,-93808,-93748
-AB46E,-AB18D,-AB18A
-93784,-938A0,-93893
-AB139,-AB191,-AB250
-937CA,-93882,-936B1
-AB398,-AB280,-AB199
-93921,-93821,-9369C
-AB05D,-AB162,-AB124
-9386F,-93798,-938B9
-AB12F,-AB222,-AB2B8
-9354F,-93836,-9370A
-AB05B,-AAFF8,-AB0AA
-935F2,-93713,-9373C
-AB0ED,-AB018,-AB167
-9374F,-9365F,-9357A
-AB0F5,-AB2A1,-AB125
-937EF,-936D8,-936EF
-AAF40,-AB17C,-AAFF6
-93428,-93594,-9347C
-AAFAB,-AAF9B,-AB0DE
-935ED,-9345D,-93481
-AAF56,-AAFB3,-AAF79
-93626,-93531,-935B6
-AB026,-AAF17,-AB0D0
-933EF,-93554,-932A9
-AAF32,-AAF2B,-AAFA9
-936B4,-934AE,-933FA
-AB19B,-AB0AB,-AB0A8
-935A9,-934F9,-933FD
-AAE35,-AB086,-AB03F
-9338F,-93486,-934E0
-AAEFA,-AAF9A,-AAFDD
-93520,-934FE,-93559
-AB000,-AAF7B,-AAF00
-93591,-933DA,-934C0
-AAF4F,-AB039,-AB05E
-934CF,-9347E,-936CC
-AAFAE,-AAF61,-AAF85
-9358A,-934A4,-9364A
-AB099,-AAE7D,-AADFD
-93688,-9359E,-934E9
-AB110,-AB2B7,-AB1D2
-937B9,-937E5,-936CA
-AB261,-AB0D8,-AAFE7
-9382F,-93779,-9378C
-AB251,-AB370,-AB2CC
-93710,-9380B,-936A2
-AB183,-AB249,-AB22C
-935B1,-9371B,-93604
-AB0FC,-AB13F,-AAF0C
-934EF,-9358A,-9378A
-AB084,-AB134,-AAFA2
-936CA,-93799,-9353E
-AB086,-AB1CB,-AB1DA
-936ED,-93625,-9378D
-AB19C,-AB0C5,-AB208
-93576,-933A5,-93751
-AB13D,-AB02A,-AB1BC
-93740,-935F2,-936DD
-AB181,-AB18C,-AB248
-93947,-9349E,-9355E
-AB1E8,-AAFE1,-AB075
