{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-59FFC,-59F0E,-59ED4
-42466,-4271B,-427BA
-5A0A3,-5A36C,-59F95
-426D6,-42547,-42582
-59EC9,-5A042,-59EE4
-425C3,-4262B,-424A2
-59F8D,-5A1D5,-5A18B
-42690,-42580,-42566
-59EC3,-59F12,-59FD7
-424F7,-425F7,-423E9
-59F48,-59F6F,-59EB5
-4252D,-4250E,-42446
-5A020,-5A1A3,-59F78
-42435,-422D0,-423BA
-59DBB,-5A00E,-59EA9
-4247A,-42372,-424B8
-5A031,-5A03F,-59F7C
-4252C,-42584,-4259B
-5A111,-59FC2,-5A10D
-426D0,-424E0,-42620
-59EE3,-59E3B,-5A04A
-422F0,-42609,-4243E
-59D20,-59F67,-5A00C
-425C4,-4249E,-4264D
-59F64,-59CA7,-59EE7
-4254E,-4248E,-42264
-59EA1,-5A169,-59FE0
-42516,-42530,-42452
-59CAE,-59DF3,-59ECF
-42617,-42530,-42621
-5A09E,-5A218,-5A1DB
-42661,-4282B,-42729
-5A208,-5A097,-5A119
-4256B,-426D6,-424EE
-5A080,-5A2E8,-5A2B3
-426E4,-42867,-42641
-59FAE,-59EB9,-5A037
-42707,-4254C,-4252A
-5A082,-5A148,-5A09B
-425CA,-42634,-426B0
-59E21,-5A03B,-5A020
-4269B,-425A0,-424EC
-59F0B,-59E9E,-59F59
-424DA,-42521,-4252C
-59DAA,-59D17,-59F97
-4238A,-42445,-423AB
-59E6B,-59F98,-59F5F
-4241E,-42509,-4274D
-5A09B,-59F8A,-59F52
-423E0,-42365,-42681
-5A076,-5A09E,-5A0B1
-42531,-426E7,-42584
-59F7A,-59F9D,-59EF4
-42233,-4247B,-42443
-59EA3,-59E90,-59F55
-424EC,-4244C,-423D5
-59C0E,-59EC0,-59EDE
-423E1,-422CB,-42538
-59DA2,-59DBA,-59E60
-4218B,-422DF,-42475
-59C9F,-59CC2,-59E83
-42113,-42048,-41FA6
-59BA6,-59A41,-59A52
-42098,-41FBD,-42123
-599FC,-59D48,-59BA4
-421D1,-42203,-420E2
-59C35,-59C75,-59A0E
-4214B,-4204C,-41EE6
-59B53,-59A12,-59A67
-4209F,-420AA,-421F2
-59A68,-59A96,-59BE4
-42056,-41FAE,-42086
-59A28,-59B54,-59BCD
-42079,-41FB4,-41FDE
-599CE,-59C73,-59826
-41FEE,-42051,-4204E
-59A80,-599DC,-59B95
-41F26,-41FB2,-42074
-59B2F,-59B81,-59BAE
-42154,-420AA,-4220E
-59C33,-59D1F,-59CDD
-422D7,-4233D,-421BD
-59BF8,-59A44,-59CC5
-4207D,-421D2,-42267
-59DFF,-59BA3,-59C73
-420B6,-41F22,-421D1
-59B6E,-59B02,-59EBB
-420FF,-420C3,-4210D
-599B4,-59AF8,-599FD
-42212,-420E7,-422DD
-59C18,-59C35,-59D79
-4225A,-421B1,-42342
-59C60,-59AF9,-59B98
-423A2,-422DC,-42373
-59F40,-59CF9,-59C64
-422D7,-42330,-42423
-59CCB,-59D12,-59CC1
-42358,-4248B,-42417
-59EA8,-59D62,-59F39
-42294,-421DF,-421D7
-59C9D,-59B14,-59BB7
-420B1,-42057,-42213
-59BD8,-59B3C,-59D2C
-4211E,-4225C,-42090
-59C71,-59D87,-59C8E
-42159,-42102,-42189
-59AE7,-59CC2,-59A7E
-41F5C,-41FFC,-4208C
-59BC4,-59BD9,-59AB0
-42025,-4206D,-41F3D
-59CBC,-59D20,-59D81
-4207B,-421E4,-41EDF
-59B2D,-59A92,-59BDA
-420A8,-4214C,-421A3
-59A2C,-59998,-59AE3
-41F64,-42110,-42220
-59ADB,-59B4D,-59B53
-4200B,-42254,-41FA3
-59C7B,-59DC2,-59D6D
-42325,-42069,-420F4
-59CED,-59BAD,-59BA0
-4207A,-42090,-42212
-59C2D,-59C36,-59B7B
-41EBF,-42239,-422AF
-59BDD,-59AD4,-59B53
-421B3,-422F9,-42191
-59865,-597BA,-596D8
-41FEB,-41EF8,-41F4F
-596AB,-59787,-598E8
-41EF1,-41D64,-41D53
-596FE,-598B7,-599D1
-41E45,-41F0A,-41D8A
-5982C,-5994C,-59889
-41E6D,-41DE6,-41DEF
-59962,-5989E,-5980B
-41E88,-41F3C,-41C7F
-595AB,-5960D,-5982F
-41A5D,-41933,-41B45
-5977F,-595D9,-59634
-41C2E,-41B98,-41CBC
-59726,-59698,-59764
-41AE9,-41A3E,-41C18
-598CF,-5969D,-597A0
-41D93,-41BBE,-41F72
-597F1,-594E8,-5989A
-41C02,-41CAB,-41D7D
-59836,-59971,-596E6
-41D75,-41F15,-41CCC
-59792,-59959,-59861
-41BD1,-41B84,-41C5F
-5965B,-59641,-597C7
-41C40,-41C80,-41B07
-596BD,-59617,-595ED
-41B23,-41DA2,-41D69
-596C5,-596A3,-59812
-41BB3,-41C80,-41B87
-595CF,-597B4,-59806
-41EDF,-41DA5,-41E9D
-59AB8,-59980,-59989
-42090,-41CE1,-41DC5
-5983F,-597CA,-59927
-41CEB,-41CF3,-41C56
-596C2,-59852,-59722
-41D0B,-41C15,-41CF9
-59674,-59681,-596D8
-41E67,-41B9A,-41C5C
-597F6,-596EC,-59839
-41E4A,-41B28,-41C86
-596D2,-596FF,-59730
-41D0A,-41B9D,-41AC5
-59573,-5961C,-5978C
-41ADA,-41C83,-41CDD
-59745,-59787,-598BB
-41B48,-41B09,-41CDE
-597BB,-59886,-59669
-41ED9,-41E51,-41D6D
-59818,-5958B,-5986D
-41B58,-41C35,-41CAA
-5947F,-596FA,-59769
-41D81,-41DF4,-41DFA
-596D8,-596CB,-59675
-41BAF,-41C27,-419E9
-597D0,-59451,-597F1
-41CAB,-41C7F,-41B4D
-59850,-597F1,-596EA
-41C70,-41E27,-41C38
-596CC,-5969B,-597F8
-41CA2,-41D6B,-41A74
-595A2,-5942C,-592D2
-4194E,-419E6,-41AD9
-592F6,-594C1,-593E3
-41A8C,-41932,-41AB1
-59614,-59581,-594C1
-41AE1,-41917,-41A3C
-592A2,-5941E,-5935D
