{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1E84FD,-1E8313,-1E8428
-1FFC58,-1FFED3,-1FFE61
-1E828B,-1E837D,-1E8269
-1FFA86,-1FFDD1,-1FFCE1
-1E8279,-1E81FF,-1E842B
-1FFCDF,-1FFD82,-1FFDE8
-1E8364,-1E834C,-1E80FA
-1FFD2F,-1FFC13,-1FFCFB
-1E82A5,-1E8236,-1E8198
-1FFCCD,-1FFD00,-1FFCCD
-1E827A,-1E841C,-1E825D
-1FFBB3,-1FFBAB,-1FFC12
-1E8355,-1E8227,-1E82D2
-1FFC34,-1FFCAF,-1FFE10
-1E854E,-1E845E,-1E84C1
-1FFC81,-1FFC81,-1FFEAA
-1E8254,-1E83F7,-1E85FF
-1FFD2B,-1FFCF7,-1FFD00
-1E831D,-1E82A6,-1E8228
-1FFC61,-1FFD49,-1FFDEF
-1E8413,-1E8503,-1E832B
-1FFDF0,-1FFE8F,-1FFE85
-1E82E4,-1E8334,-1E843E
-1FFEE9,-1FFE84,-1FFCC4
-1E83BB,-1E8322,-1E84D8
-1FFD89,-1FFE76,-1FFE27
-1E825E,-1E824E,-1E83D1
-1FFD93,-1FFDC6,-1FFE4E
-1E837A,-1E830B,-1E8201
-1FFD48,-1FFE58,-1FFEAC
-1E83D0,-1E82C8,-1E8310
-1FFEA4,-1FFEFB,-1FFDC5
-1E8330,-1E8493,-1E843D
-1FFED3,-1FFDED,-1FFED0
-1E83D1,-1E8426,-1E83D7
-1FFDE3,-1FFF0F,-1FFFAE
-1E8357,-1E84CD,-1E8462
-1FFBFF,-1FFDB1,-1FFE53
-1E8350,-1E820D,-1E8415
-1FFCE6,-1FFD54,-1FFD88
-1E83AE,-1E8416,-1E81BF
-1FFF83,-1FFC6E,-1FFE10
-1E848F,-1E835E,-1E821D
-1FFE09,-1FFE87,-1FFF9B
-1E8579,-1E82D8,-1E8516
-1FFD91,-1FFE84,-1FFF51
-1E944B,-1E96F5,-1E9528
-1FF52E,-1FF6F9,-1FF4C9
-1E79B7,-1E7AA2,-1E7BB5
-1FF565,-1FF5F5,-1FF58D
-1E7B0C,-1E7A64,-1E7AE7
-1FF478,-1FF551,-1FF55E
-1E7B64,-1E79C5,-1E7A1A
-1FF4D0,-1FF53D,-1FF473
-1E7B9E,-1E79F0,-1E7988
-1FF2FC,-1FF425,-1FF527
-1E7AD5,-1E7B48,-1E796F
-1FF304,-1FF2AF,-1FF5D0
-1E7A2F,-1E7ACB,-1E79D0
-1FF71F,-1FF4AA,-1FF4FA
-1E7879,-1E7941,-1E795E
-1FF579,-1FF491,-1FF491
-1E78F1,-1E7900,-1E7AA6
-1FF575,-1FF47B,-1FF62E
-1E7A4F,-1E7BF4,-1E7A00
-1FF54D,-1FF4EB,-1FF578
-1E7957,-1E7A39,-1E792A
-1FF467,-1FF7F1,-1FF6A9
-1E7B7E,-1E79AE,-1E7A8B
-1FF6C7,-1FF665,-1FF464
-1E7AE2,-1E79B8,-1E7ACB
-1FF62F,-1FF33A,-1FF5E6
-1E7B68,-1E79C5,-1E7A55
-1FF429,-1FF2C4,-1FF34A
-1E7923,-1E77C7,-1E7A2D
-1FF6B7,-1FF59E,-1FF6F7
-1E7AF2,-1E79D9,-1E79B0
-1FF472,-1FF3F2,-1FF586
-1E7B1C,-1E7A1B,-1E7C88
-1FF599,-1FF684,-1FF667
-1E7C79,-1E7A10,-1E7A8D
-1FF620,-1FF55A,-1FF607
-1E7CC6,-1E7AD1,-1E7B2F
-1FF58F,-1FF553,-1FF612
-1E7B1B,-1E7C17,-1E7B5A
-1FF525,-1FF664,-1FF65A
-1E7C60,-1E7B95,-1E7BF1
-1FF62B,-1FF4E9,-1FF241
-1E7A93,-1E79EB,-1E7A96
-1FF783,-1FF4B3,-1FF63A
-1E7B28,-1E7D19,-1E7AAC
-1FF517,-1FF6FD,-1FF740
-1E7B70,-1E7C22,-1E7CB2
-1FF479,-1FF78D,-1FF4B9
-1E7D11,-1E7B29,-1E7B9C
-1FF6B9,-1FF748,-1FF6C3
-1E7CD9,-1E7CB4,-1E7B07
-1FF4E0,-1FF737,-1FF69D
-1E7C9F,-1E7BA5,-1E7AED
-1FF5CE,-1FF6F7,-1FF7CE
-1E7EF2,-1E7AFC,-1E7D13
-1FF5C9,-1FF639,-1FF6F2
-1E7BC8,-1E7ADE,-1E7AB1
-1FF66C,-1FF789,-1FF7FD
-1E7AE2,-1E7C85,-1E7B00
-1FF584,-1FF88D,-1FF56E
-1E7EC1,-1E7B65,-1E79EC
-1FF641,-1FF5CB,-1FF744
-1E7D16,-1E7DD1,-1E7BCA
-1FF60E,-1FF4B0,-1FF559
-1E7D1E,-1E795C,-1E7B24
-1FF611,-1FF721,-1FFA16
