{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
92AE9,929C9,929D0
7AC48,7ADEB,7AF5A
92B37,92A25,929E8
7ADF1,7ACD0,7AD4E
928F4,92801,9297C
7ACD9,7AD92,7AFE7
92978,928F2,92A78
7AFB2,7AE97,7B0D9
92802,927FC,928A9
7AD7D,7AF88,7AEDB
928F8,929E4,928A7
7AEE6,7AE87,7AE71
92811,92B24,928A3
7AF4F,7AEE4,7ADA4
929D9,92A2F,92A72
7AF0A,7AF1F,7ADC8
92B5A,928D6,92902
7B01F,7AFA4,7AEE8
92A3C,92B51,92AD5
7B038,7AF44,7B09C
92925,929BA,928F8
7ADF9,7AF0F,7AEF4
928BC,9299B,928BA
7AE0C,7AF41,7B002
928AE,92939,928A6
7B019,7AFA4,7AE26
92A23,926FD,92815
7AFD5,7AE75,7AD7B
92988,92A4E,928FD
7AD95,7AD9D,7AED1
928DE,92A84,92A0B
7AEED,7B027,7AECB
92A3E,928B2,9298C
7AE97,7ADFB,7AE7A
92AED,92A6F,929EC
7AE87,7AEC2,7B090
928C7,929FD,927A6
7AE7E,7AF14,7B070
928E2,928FC,929B9
7AE4E,7AEA0,7ADC1
92999,9289C,929E7
7AFF2,7ADF8,7ADAA
92B2C,929FD,92B64
7AF93,7AF73,7ADAB
92B8D,92983,9299B
7AFA4,7AED0,7B062
929B3,92A0C,92A35
7B087,7B05E,7AEEC
92C0E,92A8A,92BB7
7B1D6,7B0BE,7B11A
92865,9288E,92996
7AB57,7AB57,7AB4A
92579,92505,92614
7AB61,7AC17,7AB2F
92580,924F7,9248F
7A8EA,7AC7D,7ABCF
925FC,9239C,92507
7AAF4,7AA51,7AC29
9256C,92438,92699
7AB89,7ACCF,7AA80
92698,92635,9254D
7AC3D,7AA96,7AD5F
9280E,926C6,92700
7AC33,7AC25,7ADAC
926A4,92785,928A1
7AB42,7AC21,7AC56
9285F,92876,92906
7AD75,7AB7C,7AC6A
92609,926BF,92763
7AA29,7A987,7A9CD
92602,92516,926F7
7AB05,7ABEA,7AD04
92669,92828,9259C
7ABF1,7AB31,7ABBE
92663,926D5,9245C
7A9E0,7A929,7AB3B
92695,92390,92502
7AABD,7AC7B,7AA42
9264C,92691,92698
7AB6E,7AA73,7AB5A
92681,92693,92692
7AB87,7ABF9,7AAC9
92770,926C0,9258A
7ABBD,7AA5A,7AC79
926CE,924C4,925DA
7AAB4,7AD1E,7ABC8
9260D,92783,92614
7AD28,7AD8C,7AD59
927A8,92706,92690
7AD2A,7AB21,7AC98
926A0,92640,927B8
7AC93,7AC5B,7ABFF
924E6,92726,92759
7ABD0,7ACAA,7AD63
92810,92852,928E6
7AD8E,7ADC3,7ADB9
92793,927DF,926DC
7AE9A,7AC96,7AE28
92918,927FE,92951
7AC1B,7ADC1,7ACFA
92684,926FD,926B0
7AD1C,7ACFD,7ACF6
925FC,92657,9273D
7AC3A,7ACB7,7AC5C
92728,9268E,925B3
7ACE6,7AC62,7AD3B
92630,9279A,9282C
7ADCC,7AC39,7ACC5
92698,92634,92726
7AC35,7AC97,7AB65
92833,926F2,92621
7AD99,7AD43,7AD1B
925D8,926B3,92578
7AAF5,7ABBA,7AD32
927A2,9275E,927FA
7AD80,7AC6C,7AEE8
9257B,927B4,925B9
7ABC5,7AD0A,7AECC
9285D,92656,9264C
7ACCB,7AB78,7AC1F
923DA,9264F,925CB
7AD1D,7ACED,7ABCC
925C5,9273A,926C0
7ABB5,7AD8B,7AA7F
92905,925BD,92631
7AD3D,7ABA3,7AA1B
92942,9284E,9267A
7AC68,7AC51,7AE70
92662,92691,92880
7ACD4,7AD6C,7ABF9
92A1D,9286F,92929
7AD93,7AC10,7AC90
92915,9277C,92694
7ACAF,7AC91,7ADBF
927B9,9268E,926EA
7ACF8,7AC45,7AC4F
92702,9283B,927DC
7AE63,7AFC4,7ACDD
92965,928FD,929D7
7AE01,7AE28,7AE28
9268A,92871,927F0
7AC3E,7ABC7,7AE7F
9289B,92731,925BE
7AD48,7AD29,7AD6D
92427,927DA,92726
7AD8B,7AD50,7AEE1
9284A,92806,92A0A
7AE55,7ACF1,7AEA7
927FC,92931,9280B
7AE8D,7AF30,7AE71
92865,92AC4,92816
7ACE1,7AD88,7AB1C
925E6,927D0,92859
7AE47,7AF2E,7ACA5
92861,92946,927F1
7AEEC,7ADB4,7ADCC
9285E,92721,92839
7B052,7AEA3,7ACF8
9293B,9296C,928E6
7AF0F,7AFF6,7AD06
92812,92817,927DE
7ACE4,7ADDC,7AFDA
928CE,92934,927CA
7ADE4,7AEA2,7ADB4
9271C,927F2,929AC
7AEE7,7AE7A,7AD3F
92837,929DD,926E0
7ADE7,7ADFD,7AED9
92844,92979,92921
7AC65,7AEC2,7AE49
92732,92820,92972
7AC40,7ADE3,7AD81
9288D,9287A,929C4
7AFF2,7AEFC,7AD34
928FC,92847,927CD
7ACB9,7AEB0,7ADE6
9276A,92B69,9298E
7AEAF,7AE47,7AD1E
91B84,91E86,91C3E
7B51C,7B45F,7B613
92E32,930D2,92FEA
7B389,7B3AA,7B406
92F9B,92FC4,92F1F
7B800,7B6C7,7B6D6
93090,92EFF,92FE4
7B499,7B3C3,7B46E
92EEA,93067,93167
7B56D,7B342,7B57F
92F99,92E4A,9300E
7B714,7B5A9,7B43F
92FB1,92F1D,92F16
7B64B,7B463,7B4C4
92FF7,9301A,93061
7B532,7B60E,7B366
93251,92F89,93154
7B5CE,7B5F3,7B5BA
92F67,92F9C,92E0D
7B558,7B2F2,7B47F
93098,92F38,931B0
7B544,7B595,7B6E8
92F8D,930A9,9307F
7B568,7B4EF,7B65D
931E8,9308A,93196
7B7E2,7B786,7B6DB
930E4,930C2,932AB
7B6A2,7B8C2,7B5A1
932BC,93033,93173
7B774,7B649,7B593
931FE,93194,930F1
7B662,7B586,7B69F
9311D,9314A,93185
7B61C,7B5FA,7B69F
92F23,93134,92FD9
7B8CB,7B472,7B743
93173,93439,92FD7
7B572,7B682,7B626
9333C,92F82,9315C
7B68C,7B780,7B6E6
931DE,93298,93259
7B6CF,7B83F,7B848
9314D,9320C,931A9
7B8C5,7B5DD,7B63B
93320,9341C,933A6
7B9E4,7B8D0,7BA28
93243,93289,931A5
7B921,7BAE7,7B8CD
933F4,9335C,934FB
7B8AD,7B65F,7B98C
9321D,9315E,932C9
7B735,7BA6B,7B7C2
93268,93228,932A3
7B865,7B6E3,7B78C
930D1,931C1,93141
7B7CC,7B767,7B749
930B5,93223,93233
7B8E0,7B4DE,7B563
93098,931C9,932A3
7B79D,7B829,7B87C
931E0,933D5,93243
7B6E8,7B74A,7B4D7
93207,93139,931A6
7B5EF,7B807,7B7EE
932B5,93162,9304C
7B7D7,7B688,7B76A
