{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1C59E2,1C5AB1,1C5A9B
1ADF32,1ADF28,1ADDE6
1C58BE,1C59A8,1C58C1
1AE12A,1AE085,1AE095
1C5C81,1C5B0A,1C5B1B
1AE2D9,1ADF7A,1AE1C6
1C5B0C,1C5B34,1C5AE6
1AE0A7,1AE256,1AE068
1C5AB5,1C595E,1C5C08
1ADFA6,1ADF12,1ADE89
1C5A92,1C5BE6,1C5A0D
1AE0CF,1ADF06,1ADF65
1C5841,1C5A1F,1C5862
1ADE63,1ADF19,1ADF16
1C59F4,1C5A6A,1C5A58
1AE007,1ADF7B,1AE021
1C5AB6,1C59B2,1C5A81
1ADF70,1AE00E,1ADF75
1C5B3A,1C5A0C,1C5A50
1ADE4B,1ADE28,1ADFB0
1C5AC3,1C5A36,1C59C2
1ADEB8,1ADE2C,1ADEDE
1C5A6F,1C5AA9,1C5A98
1ADFC9,1ADF44,1ADF47
1C5852,1C5925,1C591A
1AE13B,1ADEE1,1ADEB3
1C5961,1C59E3,1C5ADD
1ADC75,1ADDAF,1ADD4E
1C5857,1C584E,1C576D
1ADDCF,1ADF30,1ADFB5
1C5983,1C5A73,1C5A64
1ADF32,1ADDD6,1ADEC7
1C5A77,1C5902,1C59D5
1ADD43,1ADF28,1ADEF6
1C591E,1C58EF,1C589F
1ADF23,1ADFA6,1AE0B1
1C5949,1C5A23,1C5BAF
1ADE28,1AE002,1ADFB5
1C5A9B,1C59D4,1C5A3B
1AE0B7,1AE015,1ADFA3
1C59AB,1C5871,1C5791
1AE031,1ADE73,1ADF98
1C5A88,1C5A1E,1C598A
1ADE91,1AE030,1ADE28
1C5C08,1C58AD,1C583D
1AE03C,1ADE40,1ADD37
1C59B5,1C5977,1C58CB
1ADC8A,1ADF00,1ADFD8
1C58A7,1C582D,1C5B1A
1ADDB5,1ADD1F,1ADDB7
1C5AF2,1C5914,1C5A14
1ADF5C,1ADF07,1ADE02
1C5A03,1C5834,1C58A3
1ADE8F,1ADEB2,1ADEE1
1C5B15,1C5949,1C592C
1ADED9,1ADF5C,1ADE9C
1C5953,1C58D0,1C59AC
1ADE8F,1ADD32,1ADFA7
1C5998,1C5816,1C5926
1ADD5A,1ADDBC,1ADE20
1C57A7,1C5874,1C5926
1ADDA1,1ADE2C,1ADEAB
1C57F7,1C573B,1C570E
1ADE29,1ADC4A,1ADD17
1C582D,1C57D4,1C5688
1ADC43,1ADBCC,1ADC46
1C57F3,1C57FF,1C56C4
1ADBF8,1ADDA8,1ADE62
1C57ED,1C5882,1C5853
1ADDBC,1ADD1F,1ADC90
1C5731,1C584A,1C58D8
1ADF95,1ADE9B,1ADDB2
1C5830,1C57F7,1C5829
1ADF0C,1ADD80,1ADD79
1C59F6,1C5967,1C5A47
1ADE6F,1ADD5A,1ADCF7
1C5773,1C54FF,1C57DE
1ADBCF,1ADE10,1ADB13
1C57A2,1C583E,1C589F
1ADC0A,1ADBB5,1ADD0C
1C563F,1C580C,1C5876
1ADCB6,1ADDA2,1ADBB6
1C5723,1C56CE,1C5785
1ADB82,1ADC64,1ADC18
1C56F7,1C57FF,1C53A1
1ADC94,1ADB39,1ADD28
1C5806,1C5798,1C5778
1ADC09,1ADC91,1ADBE1
1C56F3,1C581F,1C56A4
1ADBDA,1ADC06,1ADC90
1C4D51,1C4D0E,1C4D00
1AE1CB,1AE209,1AE03D
1C59A4,1C5B92,1C5AAF
1AE201,1AE086,1ADEC9
1C5B0A,1C5B12,1C5A38
1AE058,1AE0F3,1AE197
1C5B49,1C5B7B,1C59C7
1ADFD9,1AE0AC,1AE15E
1C59F7,1C5C38,1C59C8
1AE131,1AE045,1AE1B1
1C5B09,1C5E77,1C5BB3
1AE1AB,1AE13F,1AE2E3
1C5C3D,1C5C2B,1C5DAC
1AE253,1AE088,1AE1D0
1C5BE9,1C5B88,1C5B46
1AE0EF,1AE21D,1AE067
1C5A85,1C5AF3,1C5C2D
1AE0FD,1AE122,1AE1F1
1C5B02,1C5A33,1C58DE
1AE038,1ADF85,1AE0C0
1C5AFA,1C59A6,1C5B9D
1AE12B,1ADE42,1AE01D
1C59DD,1C5A04,1C598E
1AE053,1AE29F,1AE0B1
1C5A96,1C5C9A,1C5B35
1AE22A,1AE0BD,1AE027
1C5B5B,1C5C19,1C5C4B
1ADFC9,1ADF67,1AE0B0
1C59A2,1C58FC,1C5A49
1AE172,1ADFA1,1AE13E
1C5B72,1C5ADB,1C5B72
1AE286,1AE142,1AE0D0
1C5973,1C5907,1C5A6F
1ADEC8,1ADEFA,1ADFBD
1C594A,1C5940,1C5A7E
1AE0B4,1ADFAE,1AE137
1C5ACC,1C5856,1C5AC9
1AE1BE,1ADF7D,1AE04C
1C5A48,1C5B70,1C5983
1ADF67,1ADFA8,1ADE5E
1C5A47,1C59C2,1C5AAF
1ADF65,1ADF96,1AE19C
1C5A36,1C5A7C,1C5A03
1AE23C,1AE03C,1AE09C
1C5C30,1C5907,1C5B66
1AE0BB,1AE106,1AE09E
1C5AA4,1C5B42,1C5B50
1AE068,1ADF8C,1AE07E
1C5BB6,1C5A82,1C5C71
1AE154,1ADFB0,1ADF1C
1C5856,1C5BB3,1C5A59
1AE04D,1ADE76,1ADF0A
1C58F9,1C58D7,1C59C9
1ADE3C,1ADEA1,1ADEED
1C5A20,1C5AE7,1C5A2B
1AE193,1ADEB1,1ADF8A
1C5B0B,1C59B1,1C5943
1AE13E,1AE19B,1ADF33
1C5AC8,1C5AB9,1C5BA9
1AE055,1ADF59,1AE021
1C5AA2,1C5C60,1C5ABD
1AE14F,1ADF90,1ADF11
1C5949,1C5917,1C5AE6
1AE027,1ADFCE,1ADF49
1C5A74,1C5B29,1C5AA7
1ADE95,1ADEDE,1ADE1E
1C574D,1C5A73,1C58BF
1ADD47,1ADF08,1ADE29
1C5982,1C5A31,1C591F
1AE026,1ADE05,1ADD4E
1C596C,1C59A9,1C5A5F
1ADEEA,1ADF67,1ADF03
1C5A78,1C590B,1C58E9
1ADF8E,1ADF73,1ADEF5
1C5810,1C5952,1C5891
1AE0EE,1AE031,1ADED4
1C5902,1C584C,1C5958
1AE06C,1AE175,1ADF94
1C5A29,1C5962,1C58E1
1ADF5C,1ADEFD,1ADE0F
1C5A8D,1C5944,1C5A35
1ADE0A,1ADDD7,1ADE1B
1C59C6,1C5A31,1C5B0F
1ADF3A,1ADE71,1ADFB3
1C58E8,1C59B7,1C5866
1ADF1E,1ADE39,1ADDF0
1C5975,1C57DE,1C5808
1ADEC5,1ADFC4,1ADE88
1C5A57,1C59F2,1C5A12
1ADFFA,1ADF44,1ADEE1
1C5A08,1C5755,1C588D
1ADFC5,1ADE52,1AE08C
1C5AD3,1C59DB,1C5A03
1ADE39,1ADE33,1AE0E5
1C58EA,1C5B37,1C5A9F
1AE040,1ADEF4,1ADEA6
1C5974,1C5908,1C57C4
1ADE2C,1ADEBD,1ADDFA
1C5A20,1C5802,1C58DD
1ADE9F,1ADF60,1ADE3E
1C5730,1C59B7,1C59AB
1ADFA3,1ADCE9,1ADD7D
1C59DE,1C5884,1C5764
1ADDDB,1ADD79,1ADD6F
1C57FE,1C5A46,1C5921
1ADE0A,1ADDA0,1ADF3F
1C57F5,1C5792,1C581C
1ADE27,1ADE71,1ADE2D
1C59D1,1C5A57,1C589F
1ADEB9,1ADD6A,1ADE83
