{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-53685,-53772,-53763
-3BB02,-3BBAA,-3BBF5
-53502,-53752,-5362C
-3BB31,-3BC1A,-3BB69
-535D4,-5333E,-5379D
-3BDA0,-3BCE4,-3BC59
-53788,-53856,-536DA
-3BB37,-3BC44,-3BCF4
-536F9,-5377F,-53624
-3BBAE,-3BC76,-3BC89
-5382D,-53656,-53687
-3BCEB,-3BE11,-3BC27
-537C1,-538B4,-538B4
-3BE36,-3BDB8,-3BBBE
-5370A,-5377E,-5375E
-3BEDB,-3BD79,-3BC41
-5363C,-53778,-53851
-3BF86,-3BE3A,-3BD53
-537FB,-53891,-537E1
-3BF92,-3BFE2,-3C072
-53A52,-53813,-53ADF
-3BC4C,-3BEE0,-3BCD4
-537F7,-53835,-53998
-3BF30,-3C048,-3BD41
-53A80,-5398C,-53871
-3BE8E,-3BE9F,-3BCD2
-535FE,-536FF,-5370A
-3BE28,-3BEE5,-3BC24
-53871,-53852,-537BA
-3BD4E,-3BD92,-3BA84
-5365A,-536A6,-53485
-3BD4F,-3BBB7,-3BC5A
-53639,-537A9,-53645
-3BC3F,-3BCE5,-3BC7F
-5372C,-5375D,-53715
-3BE10,-3BDFA,-3BCCD
-538E2,-5377D,-5379F
-3BD29,-3BDC3,-3BC1C
-53720,-53683,-5399B
-3BD90,-3BEC8,-3BDEA
-53634,-538FE,-538D5
-3BBD5,-3BBF7,-3BC3F
-5354C,-53726,-537CD
-3BD46,-3BDAB,-3BCF9
-537AA,-537CD,-537A3
-3BDF9,-3BD58,-3BD1D
-53719,-53712,-5386D
-3BE9E,-3BDDF,-3BE24
-537E9,-537FC,-537D9
-3BCC8,-3BE65,-3BEA9
-537E7,-5365C,-53712
-3BCC1,-3BBBD,-3BCCB
-53805,-53885,-539D0
-3BC65,-3BB0B,-3BC24
-53AD4,-538D0,-53936
-3BEED,-3BD98,-3BEC0
-5383F,-537AA,-53924
-3BD19,-3BDD3,-3BF23
-53B9A,-53A54,-53C5A
-3C05D,-3C0CD,-3C104
-539F9,-53B36,-53A7B
-3C0D0,-3C1F9,-3C1FB
-53B54,-53BE4,-53BC1
-3C187,-3C408,-3C2A1
-53C13,-53B8E,-53A5D
-3C010,-3C054,-3C1D9
-53B5A,-53B08,-53C1E
-3C27C,-3C20D,-3C2BC
-53C0F,-53C3C,-53B46
-3C22E,-3C237,-3C039
-53C94,-53D0C,-53CBA
-3C2B6,-3C37C,-3C41D
-53D3B,-53E22,-53EA8
-3C2F3,-3C433,-3C1AF
-53D23,-53CEA,-53CD5
-3C2AD,-3C382,-3C324
-53C8A,-53E97,-53CF2
-3C481,-3C253,-3C3FA
-53C74,-53D87,-53E9E
-3C34C,-3C1CC,-3C2EC
-53C20,-53D4B,-53CA9
-3C34C,-3C26B,-3C1F6
-53D80,-53CE9,-53D3E
-3C1D5,-3C2CD,-3C2B4
-53E54,-53DB7,-53F7A
