{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
F5C31,F5BDB,F5BF2
10D6FC,10D6CA,10D756
F5BED,F5C58,F5D0C
10D7A4,10D69A,10D699
F5D51,F5A4C,F5BA4
10D705,10D547,10D5DD
F5ACF,F5B31,F5C24
10D432,10D5D3,10D48A
F5876,F5983,F5A6C
10D38C,10D544,10D3A8
F5E5D,F5C39,F5E69
10D7EE,10D784,10D5BD
F5CB9,F5C81,F5B9A
10D54F,10D66E,10D5A4
F5DCF,F5DE7,F5BA4
10D662,10D697,10D6BE
F5C9B,F5D62,F5C88
10D76F,10D61B,10D80F
F5B9A,F5BD9,F5C41
10D679,10D652,10D6F6
F5AED,F5C31,F5D42
10D57A,10D7F1,10D4DB
F5C44,F5AA2,F5BD6
10D61F,10D76D,10D6A9
F5D0B,F5AC7,F5B2E
10D596,10D6E4,10D8C9
F5D38,F5C2B,F5CB2
10D65F,10D52E,10D62B
F5BCD,F5B5B,F591A
10D5DE,10D62A,10D676
F5C6B,F5C13,F5BE9
10D5D2,10D531,10D564
F5C64,F5BC9,F5ACD
10D45D,10D438,10D4D7
F5C57,F5BF1,F5A86
10D4DB,10D486,10D4F4
F5D0F,F5CB9,F5C38
10D64C,10D809,10D8E3
F5CA4,F5B60,F5CD7
10D561,10D571,10D5BE
F5C7D,F5A0C,F5B77
10D18C,10D1C9,10D19C
F61CB,F62BF,F60B7
10DA3C,10D8DE,10DA5B
F60BD,F6034,F60A7
10DA72,10DAC5,10DA73
F609E,F5FDF,F5F39
10DA60,10DBBC,10DA81
F5F33,F5F38,F5E88
10DA3C,10D937,10DA5C
F5FF1,F5E7C,F5F18
10D9A7,10DA70,10D8C1
F5F12,F608D,F6142
10D9CF,10DC82,10D9E1
F6117,F5E12,F5F91
10DA80,10DA02,10DA7D
F5E33,F5F58,F6008
10D9B2,10DB3E,10DA14
F5F8C,F5D34,F5F49
10DA90,10D9D1,10DAAF
F607E,F6194,F5E7D
10D79C,10DA4B,10DA60
F613A,F5FB3,F5DE3
10D716,10D893,10D9F8
F6075,F5FD0,F5F98
10DBAD,10DAA9,10DA28
F5E1B,F60EF,F5D30
10D8D3,10D844,10DB62
F5F26,F5E46,F5E8B
10D931,10D99A,10DBF4
F5EFB,F5E93,F5E06
10D69C,10D999,10D84F
F5F57,F60DB,F5E24
10DACC,10D86A,10DAB9
F5F8C,F5FA8,F6056
10DBD4,10D9EC,10DB54
F60EB,F5F88,F5FC0
10DBCB,10D9EF,10DA45
F5EB6,F5D5C,F5E63
10DA44,10D7F4,10D825
F5CAC,F5D5B,F5D4C
10D830,10D749,10D969
F5E36,F605A,F5D7A
10D89A,10D8AB,10D80C
F5E52,F5F10,F5DD7
10D8A5,10D89D,10DAA7
F6051,F5F55,F608C
10D8F0,10D9EC,10D6DE
F5EDF,F5E50,F5F61
10DA50,10D9AF,10DB17
F5ECA,F5E34,F5FA4
10D9A6,10DA33,10D921
F5ED5,F603B,F5FE3
10D804,10D7CB,10D8AC
F606A,F6004,F5F04
10D950,10D617,10D90E
F5E96,F5C20,F5DD0
10D9C9,10D9B1,10D77D
F5BA9,F5D9A,F5E1E
10D7BB,10D96A,10D8F9
F5DA4,F5C25,F5B6B
10D76A,10D7FB,10D745
F5DC8,F5E08,F5D80
10D82A,10D76E,10D877
F5EB6,F5E28,F5C6F
10D824,10D7DB,10D8BA
F5C4A,F5B90,F5A1C
10D4AF,10D32C,10D2D6
F59C5,F5BD8,F5BFC
10D479,10D629,10D6E5
F5B21,F5B88,F5A1A
10D29E,10D3EF,10D43C
F5A3C,F59FF,F5A3F
10D41B,10D43F,10D3A6
F5B9B,F5B08,F5B26
10D415,10D37C,10D565
F5A9C,F5BB1,F5A6C
10D46D,10D680,10D5EE
F5B9C,F5949,F5A78
10D409,10D3C7,10D57D
F5987,F5A20,F5B95
10D5C8,10D4DC,10D61B
F5A2B,F5D21,F5B6E
10D4A5,10D50C,10D569
F5BFF,F5A8B,F5A17
10D4C5,10D379,10D361
F5B2D,F5A19,F5A6C
10D452,10D2CD,10D24D
F5954,F592D,F5854
10D4CC,10D5B6,10D48E
F5A95,F5A0E,F5A94
10D269,10D197,10D0D9
F5896,F58E2,F5771
10D55A,10D43C,10D273
F59A6,F5968,F58CC
10D18F,10D27A,10D366
F5A2D,F57A8,F58C3
10D3AF,10D369,10D506
F5A04,F5D9D,F586F
10D5F3,10D694,10D5BB
F5AF3,F5AB0,F5B26
10D633,10D45C,10D69F
F5BBC,F5ABC,F5983
10D35B,10D3D2,10D3CA
F5A0E,F58E4,F58D1
10D6E4,10D310,10D422
F59E2,F5B82,F5B55
10D361,10D391,10D514
F5A80,F5A5F,F58F8
10D5F5,10D578,10D4FE
F5AB5,F5BC3,F5AF7
10D451,10D46A,10D3E0
F5B88,F5957,F59DA
10D28F,10D669,10D73B
F5A94,F58C4,F5B87
10D2FF,10D54E,10D58F
F5A56,F5AA7,F5A90
10D4BC,10D50B,10D48E
F5A00,F5B99,F5BC6
10D43A,10D29D,10D414
F5B7F,F5B6F,F5A9B
10D5A8,10D36F,10D3C0
F5B2C,F5A33,F581B
10D2F5,10D4AB,10D595
F596D,F58FB,F5964
10D4AF,10D355,10D33E
F59C7,F57F1,F580A
10D50C,10D40C,10D277
F5869,F5709,F57D4
10E008,10E0E3,10DFE1
F6A41,F6A33,F6C19
10E4BD,10E3BB,10E420
F6C80,F6AAF,F6D27
10E563,10E6C7,10E6EC
F6C38,F6A15,F69A4
10E5CE,10E530,10E70A
F6A09,F6BF3,F69C4
10E6C7,10E5A8,10E650
F69A5,F6C0E,F6BE0
10E576,10E5AA,10E3D0
F6B14,F6A11,F6A21
10E4B3,10E538,10E563
F69E9,F69C0,F6A73
10E444,10E5FF,10E336
F6B06,F6C43,F6A08
10E471,10E569,10E405
F6785,F6A38,F6A5E
10E3D8,10E522,10E28F
F6914,F682D,F6B24
10E3B9,10E385,10E4BB
F6874,F68C3,F6AA7
10E452,10E2E6,10E3ED
F6868,F66F9,F6932
10E254,10E212,10E233
F68B7,F68B8,F68D8
10E1B5,10E4B4,10E3C3
F69A7,F6689,F69A6
10E2E8,10E38E,10E48A
F6872,F6A0C,F67C0
10E2D9,10E28E,10E422
F695A,F6714,F6893
10E3D3,10E3D5,10E450
F6C65,F6C4D,F6CBB
10E4DE,10E4AB,10E477
F6A4A,F6ABD,F6ABF
10E59A,10E508,10E4F7
F6A97,F6B41,F6909
10E519,10E5A3,10E3A6
F691D,F6B4B,F69B3
10E39B,10E5BE,10E3A2
F6982,F6837,F6956
10E4D6,10E38B,10E53C
F6ABE,F69F9,F6AC3
10E4C6,10E494,10E365
F6B6C,F6A17,F6991
10E248,10E37F,10E435
F6968,F6B5A,F69C7
10E5CB,10E4E1,10E6ED
F6BD5,F6787,F69DC
10E3A6,10E47E,10E3D3
F695E,F6B5A,F6A5E
10E4D3,10E4C4,10E678
F6AA9,F6A10,F6973
10E4C8,10E3DB,10E461
F6A02,F690B,F68D8
10E3EB,10E39F,10E429
F68CE,F6995,F6870
10E64A,10E53F,10E6F7
F69A8,F67FD,F6ABD
10E53B,10E593,10E4F0
F694E,F67A5,F696B
10E29C,10E343,10E1DC
F6854,F6966,F69D3
10E2A4,10E2AE,10E403
