{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-8A8B3,-8AA4F,-8A84A
-72F91,-72F2D,-72DA8
-8AA12,-8A9E0,-8A9AA
-72E26,-72E82,-72C6A
-8A838,-8A880,-8A7E7
-72FF4,-72D2B,-72C6D
-8A9A5,-8A82F,-8A824
-72C1D,-72BD1,-72BF4
-8A7EF,-8A86D,-8A9AB
-72DF0,-72F9F,-72CBB
-8A724,-8A66D,-8A819
-72B56,-72E31,-72D72
-8A77A,-8A7F5,-8A82F
-72E5A,-72D95,-72FC8
-8A90D,-8A81B,-8A775
-72E83,-72DD9,-72C27
-8A6FE,-8A6F7,-8A7FE
-72E7B,-7305C,-72E23
-8A828,-8A9BB,-8A9D1
-72DAA,-72D49,-72D7C
-8A822,-8A879,-8A7C7
-72D7F,-72F7D,-72E50
-8AA02,-8A804,-8A871
-72EB9,-72E46,-72DF0
-8A852,-8A5E4,-8A88C
-72E81,-72C79,-72C46
-8A622,-8A675,-8A898
-730BB,-72E87,-73059
-8A953,-8AC2B,-8A9B1
-72EB6,-72D3C,-72EB7
-8A889,-8A819,-8A9D0
-72ECF,-73042,-72E36
-8A8EC,-8A923,-8A9C5
-73059,-72DBD,-7304E
-8A7E9,-8AA4D,-8AA79
-72EB6,-72E30,-72E3B
-8A994,-8A92E,-8A903
-72EF3,-72E81,-72E2A
-8A791,-8A7ED,-8A98C
-72E41,-72D12,-72B90
-8A931,-8A721,-8A7F1
-72CD6,-72E1F,-72E92
-8A8BE,-8A8BD,-8A8FB
-72DA2,-72B20,-72C29
-8A8AB,-8AA49,-8A843
-72F2A,-72E1A,-72E3D
-8A8E4,-8A921,-8A7A2
-72DCB,-72D27,-72F57
-8A879,-8A6A7,-8A86A
-72DBB,-72DE4,-72D16
-8A694,-8A5F4,-8A759
-72D6E,-72CFB,-72CFC
-8A87D,-8A789,-8A793
-72B8A,-72E37,-72DD7
-8A7E4,-8A6E1,-8A8C0
-72CBC,-72DA5,-72C82
-8A842,-8A8AF,-8A8DD
-72EB5,-72EC4,-72D5D
-8A87A,-8A861,-8A8BA
-72EA7,-72ED1,-72F69
-8A34F,-8A1FA,-8A4FF
-7296B,-729B7,-72B09
-8A482,-8A4A1,-8A64C
-72A46,-72A15,-72AB6
-8A5C7,-8A567,-8A54A
-72ABF,-72B13,-72AD0
-8A552,-8A46D,-8A2F0
-728AE,-729C7,-72960
-8A40B,-8A392,-8A3DB
-72908,-72775,-7281A
-8A337,-8A249,-8A372
-72938,-727CB,-728E6
-8A4C3,-8A3A3,-8A37D
-729AB,-72B74,-72A5F
-8A280,-8A420,-8A4CE
-72ACC,-7294F,-72957
-8A40D,-8A367,-8A296
-72C16,-7293A,-7298C
-8A43B,-8A4FE,-8A688
-72978,-72922,-7295B
-8A42B,-8A290,-8A397
-7292A,-72A3C,-729C8
-8A35C,-8A54C,-8A420
-72A4E,-72931,-72841
-8A281,-8A33B,-8A1B4
-729A9,-729AA,-726E6
-8A374,-8A37A,-8A427
-728BF,-727E6,-728E0
-8A231,-8A270,-8A3A8
-72840,-72941,-728DF
-8A312,-8A4FF,-8A241
-729B5,-7294C,-72BAD
-8A55D,-8A563,-8A46A
-729F0,-72AC5,-72B94
-8A4CA,-8A5F0,-8A540
-72894,-72805,-72929
-8A59D,-8A42D,-8A340
-72835,-72AA5,-72904
-8A3EB,-8A278,-8A34D
-72821,-72901,-72922
-8A3F9,-8A4E8,-8A235
-72905,-728D8,-729BA
-8A33C,-8A2AD,-8A43B
-727EF,-7279D,-72847
-8A2F6,-8A0FD,-8A147
-72785,-728C5,-727A6
-8A24A,-8A3B3,-8A16B
-72739,-72726,-7266A
-8A1E2,-8A32C,-8A367
-729E0,-72849,-72967
-8A43C,-8A4A2,-8A3CE
-728CC,-72A84,-728FE
-8A6E8,-8A346,-8A40B
-728C5,-728D0,-72A6F
-8A16E,-8A3F1,-8A3C4
-72A04,-728B9,-72953
-8A36E,-8A495,-8A276
-72BF2,-7292A,-7294F
-8A50D,-8A41A,-8A4F8
-7288B,-72933,-72952
-8A2C0,-8A2AE,-8A2F9
-726CB,-72901,-727CC
-8A100,-8A202,-8A2C7
-726D5,-7251B,-726DC
-8A18B,-8A2D2,-8A147
-727A7,-7281A,-728BE
-8A24C,-8A105,-8A23C
-72794,-728DD,-7269D
-8A0CA,-8A130,-8A1D3
-726ED,-7271F,-7264C
-8A059,-89F34,-8A044
-7246A,-72915,-72559
-8A327,-8A1BA,-8A143
-725C0,-7267B,-7266B
-89FA6,-8A0DD,-89FB7
-72489,-7255D,-7261B
-8A093,-89FD4,-8A006
-7251C,-7256A,-72827
-89FE1,-89F8C,-8A071
-724CB,-7253C,-72357
-8A02E,-8A0AF,-8A1AC
-7267C,-7270B,-72562
-89E6D,-8A15D,-8A0AC
-7254A,-724EE,-7272E
-8A11E,-89EFD,-8A094
-725B2,-725F1,-725EC
-89F84,-8A073,-8A001
-72639,-72637,-72739
-89F1C,-89D86,-8A046
-726F7,-72796,-7278F
-8A217,-89FC5,-89FEA
-72682,-72775,-72522
-8A133,-8A0C0,-8A1BC
-72658,-72578,-725AE
-89FAE,-89FAB,-89E1F
-726F4,-727D6,-72524
-89F40,-89FAC,-89F77
-72649,-72589,-7256D
-8A0C5,-8A017,-89FC3
-72659,-725F2,-724C3
-89FD3,-8A0D4,-8A0DE
-72842,-727A7,-727AF
-8A335,-89FB0,-89F92
-726D4,-725D4,-72694
-8A095,-8A195,-8A13C
-7270A,-726AB,-7283A
-8A103,-8A039,-8A123
-726D6,-7251E,-724B4
-8A039,-89FC3,-8A119
-72712,-72423,-7258F
-89FBC,-89FB5,-8A019
-7246E,-72569,-72420
-8A005,-89EAF,-8A15F
-72524,-72600,-72511
-89FDC,-89F5D,-8A085
-724B4,-72334,-72432
-89FE9,-89EB8,-89F7A
-7258E,-7255B,-7242E
-89E56,-8A03B,-8A1BD
-7269F,-724BA,-72464
-89FF0,-8A0FD,-8A18C
-726BE,-72666,-726E0
-89FE7,-8A142,-89EEA
-725E3,-72637,-7255B
-89FAF,-8A008,-8A0C6
-726A7,-726C1,-725C1
-89E59,-89F91,-89F9D
-72FAC,-73020,-72EA8
-89BD3,-89C5C,-89AA8
-722F4,-72156,-7207A
-89A52,-89CF9,-89AE6
-72157,-720F9,-72145
-89B4C,-89CA1,-89C00
-723AD,-72310,-72275
-89C77,-89B26,-89B80
-72333,-721FC,-72192
-89D40,-89BA7,-89A8C
-72322,-72251,-722CA
-89907,-89A5B,-89BEE
-72275,-7230D,-72372
-89B64,-89DBB,-89C55
-7204B,-71FA0,-72210
-89C82,-89BAA,-89AFB
-72131,-7220C,-71F28
-89C13,-89C79,-89C48
-72280,-7237F,-721A7
-89CCE,-89B76,-89C55
-72278,-721EB,-720B4
-89B93,-89D35,-89EF5
-722C3,-72243,-720DD
-89C13,-89BFD,-89C1F
-7208D,-72038,-7214D
-89B9A,-89B47,-89B0B
-72194,-71F55,-7215A
-89C46,-898F3,-89BA5
-7219A,-722B0,-7204D
