{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1A3640,-1A395F,-1A36AD
-18BD62,-18BC0D,-18BBE0
-1A38CC,-1A3752,-1A37A0
-18BE31,-18BE72,-18BC4A
-1A38D9,-1A35A3,-1A35A8
-18BC6C,-18BE2B,-18BCAD
-1A35EC,-1A38FF,-1A37DA
-18BD7C,-18BD96,-18BD3E
-1A3640,-1A3791,-1A390F
-18BF9B,-18BCF9,-18BDB9
-1A36ED,-1A37CF,-1A3930
-18BE04,-18BE02,-18BDC2
-1A3782,-1A38C7,-1A38C2
-18BDB7,-18BDE6,-18BBF9
-1A36E3,-1A3865,-1A3768
-18BD74,-18BC4E,-18BD7C
-1A3818,-1A370A,-1A37F6
-18BB8A,-18BC18,-18BD15
-1A3986,-1A396B,-1A387B
-18BDB1,-18BDAC,-18BE98
-1A3878,-1A379E,-1A3841
-18BCA2,-18BDB0,-18BE03
-1A3680,-1A3850,-1A368D
-18BD89,-18BE30,-18BCDB
-1A3702,-1A37E7,-1A389D
-18BDA6,-18BD79,-18BE45
-1A3913,-1A3911,-1A3798
-18BCA4,-18BD3C,-18BD73
-1A3804,-1A3820,-1A3816
-18BCE3,-18BD1E,-18BE5D
-1A3808,-1A385F,-1A382A
-18BE64,-18BC83,-18BEB6
-1A3666,-1A37A0,-1A38A5
-18BCA3,-18BF42,-18BD96
-1A36F3,-1A3863,-1A39BB
-18BCCB,-18BDDA,-18BD03
-1A36D2,-1A3757,-1A37D0
-18C6FC,-18C787,-18C6CF
-1A3372,-1A32DD,-1A32EE
-18BA15,-18BBA9,-18BAC8
-1A33B4,-1A32FD,-1A360C
-18BAC7,-18B9B3,-18BCDC
-1A3609,-1A34A2,-1A360A
-18BA7F,-18B9C0,-18BAD7
-1A33E4,-1A32CF,-1A3596
-18BA49,-18BB25,-18B9D2
-1A3542,-1A34BC,-1A33C6
-18BABB,-18BA38,-18B8F6
-1A34F2,-1A33F7,-1A3683
-18BAF1,-18BA69,-18B8A3
-1A32C4,-1A3447,-1A356C
-18B91E,-18B81A,-18BA1F
-1A33B6,-1A333E,-1A364E
-18BA22,-18B8EC,-18BABD
-1A33A0,-1A3516,-1A348E
-18BBA7,-18BBD4,-18BAB2
-1A3526,-1A34BC,-1A3537
-18BAFD,-18BAAD,-18BAAD
-1A347B,-1A371C,-1A33EE
-18BC25,-18BBE5,-18BA04
-1A3706,-1A3559,-1A366A
-18BA26,-18BBBD,-18BC9D
-1A3421,-1A3477,-1A348C
-18BA8C,-18BB16,-18B966
-1A3438,-1A337C,-1A351D
-18B951,-18B93B,-18B8B2
-1A369D,-1A34E4,-1A3557
-18B9F4,-18BA98,-18BAB5
-1A3545,-1A343F,-1A34DB
-18BC85,-18BA4E,-18BA2A
-1A3597,-1A34FA,-1A3647
-18B9E3,-18BB30,-18BA2E
-1A34B1,-1A3599,-1A36C3
-18BAAE,-18BA1A,-18B8B8
-1A3578,-1A351A,-1A33E5
-18B990,-18BA1D,-18BC08
-1A3560,-1A34AB,-1A32F5
-18B991,-18BB24,-18BA8B
-1A35F8,-1A371F,-1A3502
-18BA6D,-18BA07,-18B9FD
-1A338E,-1A33F8,-1A33DA
-18BBA5,-18BA69,-18B943
-1A3588,-1A3550,-1A34DD
-18BB12,-18BB29,-18BA3F
-1A348A,-1A332A,-1A3505
-18B98B,-18B941,-18BA96
-1A3337,-1A3457,-1A34B1
-18BBAA,-18BC44,-18BC34
-1A3524,-1A3517,-1A350A
-18BD47,-18B9FB,-18BB38
-1A365E,-1A3514,-1A33EA
-18BB46,-18B9DE,-18BBCB
-1A34F8,-1A3540,-1A3788
-18BA92,-18BB14,-18B9FC
-1A33C3,-1A372D,-1A34B7
