{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1340E,-1324D,-1333D
-2AE37,-2ACF2,-2ADBB
-1488A,-1496C,-14925
-2B057,-2AF62,-2B01D
-13688,-1362F,-1360E
-2B0B1,-2AFD4,-2B03A
-13604,-13428,-1364B
-2AFB4,-2B156,-2B2CC
-13653,-1348D,-13429
-2ADFE,-2B0C2,-2AFD0
-133E6,-133F1,-13403
-2B0C1,-2AF64,-2B00B
-1359D,-135CA,-13701
-2B0D3,-2AF77,-2B12C
-13726,-13785,-13752
-2AFB0,-2B0B7,-2AF85
-13316,-13599,-1350E
-2AE6D,-2B03C,-2AE8B
-13532,-13301,-13239
-2AD9E,-2AE8F,-2B008
-1360C,-136AA,-134EC
-2AFCF,-2B0CF,-2B12C
-1358C,-1340B,-13555
-2AF96,-2B08E,-2AF67
-136D4,-13728,-1376C
-2B0EB,-2B1D3,-2B1EF
-13704,-1359E,-13659
-2B178,-2AFC4,-2AEEA
-1368E,-13522,-135A1
-2AE43,-2AFAF,-2AF33
-13577,-13514,-132EB
-2AFFD,-2B05E,-2B04B
-135B3,-13455,-133BC
-2ADF6,-2B201,-2B0EF
-136D7,-13645,-134E7
-2AE86,-2AFEF,-2B199
-134E0,-13579,-137BA
-2B10C,-2B1CA,-2B165
-134D9,-13758,-135AE
-2B104,-2B0BC,-2B0D8
-13584,-13306,-13691
-2B021,-2AF0F,-2AF0A
-133AB,-13372,-133DD
-2B073,-2B198,-2ADC9
-13701,-13530,-13481
-2B0FE,-2AF93,-2B0D0
-136F3,-1356D,-13681
-2B11E,-2B01E,-2B17D
-1349E,-134CE,-1357C
-2AD50,-2B053,-2AF2B
-13449,-133E1,-13459
-2AFAD,-2AE7D,-2B196
-13699,-13672,-1362B
-2B070,-2B155,-2B073
-135D1,-136C3,-13607
-2AE9A,-2AEF7,-2AFF6
-1339F,-1361A,-1351D
-2B07B,-2B078,-2AF47
-13316,-13644,-1349F
-2AE11,-2AF87,-2ADDC
-1337F,-13541,-135E9
-2B0E7,-2AE4F,-2AC8F
-132B4,-1315A,-13149
-2ADED,-2AE3F,-2AE4D
-13476,-133B3,-1326B
-2AEB9,-2AFF9,-2AF47
-131B5,-132BA,-1333D
-2AB6B,-2ACC4,-2ADDC
-13359,-131CA,-132E2
-2AC3D,-2ABE4,-2AC9B
-1322F,-13200,-13313
-2AC62,-2ACE5,-2AD08
-1322B,-132D4,-1318E
-2ABD3,-2ACEF,-2AC01
-1335D,-130FF,-132A6
-2ADAC,-2AD9C,-2ADBC
-132E0,-130BA,-13184
-2ACD3,-2AD4B,-2ACDE
-13426,-1315C,-13287
-2ABB0,-2AABD,-2A8FF
-130E8,-12EEB,-132E4
-2ADAE,-2AB86,-2AE2D
-1311F,-13309,-130BA
-2ABEE,-2AE07,-2AD2B
-13194,-131BF,-13074
-2AC54,-2AC3B,-2AC3B
-133AD,-132AB,-13142
-2AEFB,-2ADBF,-2AF00
-133DF,-1342D,-134F0
-2AD4E,-2AE14,-2ADB2
-131F7,-1322B,-13273
-2AE99,-2ACF1,-2AC53
-133CF,-13215,-1333D
-2AE85,-2AD25,-2AD36
-13247,-1324F,-13184
-2ABB1,-2AE42,-2ABBF
-13055,-131E7,-13111
-2ACA6,-2ABFB,-2AC41
-134DE,-132F8,-132BD
-2AD6F,-2AD1E,-2AE0E
-1334B,-1333F,-13220
-2AD10,-2AC85,-2ABD2
-13186,-131DF,-131A4
-2AE7B,-2AC49,-2ACFD
-1342D,-13241,-13166
-2ABC7,-2AC13,-2AC2B
-13277,-13183,-131C1
-2AD5E,-2AD57,-2ACCF
-133DC,-132CC,-1334C
-2AC02,-2ABD7,-2AD71
-131C9,-130E1,-1316F
-2AE26,-2AE8A,-2AD13
-1312C,-13003,-13205
-2AC58,-2AE04,-2AAEC
-130DC,-12F6B,-13024
-2ABF0,-2ADFC,-2AE0D
-132EB,-133DA,-1323B
-2ABE9,-2ABE9,-2ACB1
-13295,-131AC,-132FB
-2AE5E,-2ADB4,-2AC65
-1333D,-1337F,-13326
-2ACA7,-2AD54,-2ACA9
-13155,-130CD,-130A8
-2AD40,-2AD4D,-2AC60
-13333,-1321D,-133BA
-2ABC4,-2AA21,-2AAA5
-13199,-12F83,-1306C
-2AE28,-2AC29,-2AD84
-13282,-13223,-1318E
-2AAC9,-2AD91,-2AB2E
-13BF5,-13A96,-13B2D
-2A6F2,-2A7F3,-2A8AD
-12DA8,-12F87,-12F76
-2A9A9,-2A71E,-2A7E0
-12E7F,-12D4D,-12E39
-2A947,-2A834,-2A895
-12E70,-12E98,-12E87
-2A817,-2A893,-2A7C9
-12D56,-12DAF,-12DDC
-2A90B,-2A9AE,-2A8AE
-12D3A,-12F93,-12CC3
-2A826,-2AAC6,-2AA73
-12D82,-12DA6,-12E7A
-2A83A,-2A919,-2AA17
-12D83,-12D82,-12E40
-2A546,-2A7CB,-2A883
-12C1F,-12F1B,-12D1C
-2A97F,-2A7F8,-2A6EF
-12E4D,-12D6B,-12E24
-2A809,-2A658,-2A895
-12DE3,-12C90,-12DAF
-2A689,-2A8D0,-2A92F
-12F1C,-12D5F,-12E59
-2A864,-2A9AE,-2A81D
-12FA3,-12FC0,-12B11
-2AA04,-2A934,-2A7DC
-12E4E,-12CFE,-12D6C
-2A751,-2A771,-2A5C5
-12DEC,-12E11,-12C98
-2A7CA,-2A6FF,-2A77E
-12EE7,-12C03,-12D33
-2A54F,-2A8A7,-2A5D6
-12CE7,-12C3A,-12E02
-2A8DF,-2A88C,-2A7D7
-12EAC,-12F74,-12EB9
-2A82F,-2A8FE,-2A94E
-12E48,-12E0D,-12DF4
-2A928,-2A7BE,-2A9A9
-12D3D,-12CFF,-12CF7
-2A7B3,-2A7A5,-2A7EA
-12D0A,-12E74,-12B85
-2A71A,-2A76D,-2A8AE
-12EEA,-12E79,-12D64
-2A78C,-2A8C8,-2A62A
-129F4,-12BCC,-12BFB
-2A539,-2A77D,-2A59E
-12DCC,-12BED,-12D76
-2A616,-2A8AB,-2A78B
-12BEC,-12DC9,-12B9B
-2A6F1,-2A5E4,-2A5E8
-12CBA,-12D7F,-12B57
-2A77C,-2A91C,-2A8B2
-12DF4,-12EA2,-12C1D
-2A707,-2A6E9,-2A7C3
-12E24,-12E8E,-12FA1
-2A90D,-2A6B3,-2A8FE
-12E85,-12CC8,-12D9E
-2A778,-2A7EB,-2A6E5
-12DC0,-12E52,-12DBE
-2A6C5,-2A7A0,-2A791
-12CDE,-12C19,-12C22
-2A7AC,-2A7B3,-2A7F8
-12D3D,-12D04,-12C79
-2A828,-2A7B6,-2A690
-128E8,-1292A,-12987
-2A69B,-2A503,-2A5E7
-12C31,-12CEE,-12BCB
-2A451,-2A350,-2A540
-12968,-12BB9,-12C9B
-2A769,-2A703,-2A629
-12BFE,-12A68,-12CCC
-2A47E,-2A675,-2A543
-12A8B,-128E7,-12A0F
-2A4B1,-2A658,-2A563
-12B39,-1297B,-12CA1
-2A557,-2A614,-2A69B
-12C6F,-129A6,-129AB
-2A63D,-2A6A3,-2A5D0
-12B0C,-1297D,-12B0C
-2A41E,-2A51C,-2A4E9
-12A88,-12A12,-12B52
-2A563,-2A524,-2A5F4
-12B2D,-12BDC,-12CE1
-2A4BD,-2A32D,-2A4CB
-12B17,-12A01,-12A80
-2A341,-2A476,-2A5A0
-1294C,-12A75,-12A24
-2A4D5,-2A3DB,-2A3B9
-127BF,-12863,-12919
-2A4A6,-2A426,-2A478
-12AD5,-12AF3,-12A8E
-2A3C5,-2A2F8,-2A471
-128B1,-12958,-128FC
-2A32E,-2A4A4,-2A23D
-12A4C,-12962,-12838
-2A43E,-2A2FF,-2A40D
-12BD8,-128E7,-12B75
-2A73C,-2A5A7,-2A874
-12B7B,-12B32,-12C1C
-2A454,-2A3E4,-2A480
-12B29,-12A29,-12AD8
-2A420,-2A5B3,-2A5C1
-129CC,-1282B,-129DD
-2A571,-2A40A,-2A33D
-1285B,-12908,-12A1A
-2A6B8,-2A48F,-2A47D
-129F4,-12894,-12986
-2A3DE,-2A48F,-2A4E6
-128EF,-1299B,-12907
-2A3F8,-2A425,-2A161
-127E4,-12A26,-12A06
-2A3EB,-2A374,-2A1A1
-128CC,-12865,-127FC
-2A4A3,-2A4E9,-2A3D1
-12974,-12876,-1292B
-2A34C,-2A37A,-2A3EA
-12A65,-12839,-12796
-2A44A,-2A40E,-2A3CF
-127EC,-12811,-1287A
-2A326,-2A296,-2A322
-1271F,-127CC,-127E6
-2A34A,-2A423,-2A353
-12888,-12880,-1287D
-2A307,-2A45D,-2A3B2
-127DC,-12857,-1281B
-29F94,-2A317,-2A35F
-127BD,-12A2C,-128F6
-2A31E,-2A320,-2A31D
-12A25,-128E0,-12BDD
-29FE4,-29F93,-29E5A
