{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
FEE85,FEDB0,FEF0D
116864,1168CE,1166F7
FEDB3,FED66,FED42
116706,11660B,1166A3
FED8C,FEC7F,FED29
11670C,116709,116679
FEB84,FEC05,FECBF
1166D3,1166C1,116579
FEB15,FECBD,FEB7F
116860,116787,1165D2
FEC05,FEDAC,FEC96
11682A,11683E,116606
FEE88,FEC76,FEC7E
116671,1165C6,116787
FED97,FED8A,FED63
116787,11677E,1166F6
FEBD8,FEE3F,FEE4D
1168E6,1168AF,1168C5
FEE31,FED50,FEC51
116815,1168B5,116532
FEDCC,FED49,FEC8C
1166AD,116731,1166F0
FECC1,FED5A,FEC45
1167F9,116824,1168C0
FED55,FEDBB,FED24
116667,11670B,116974
FEDDD,FEC90,FEE43
116796,1167DF,1167CD
FEC83,FEC21,FED80
11682D,116688,116877
FEDAC,FEF50,FED45
11670E,116A0C,116702
FED07,FEC88,FEBF6
116874,11673A,11683E
FEE1C,FEC8B,FED17
1167AD,1165CD,116756
FEBCA,FEC4E,FEB83
116480,11654A,1165FA
FECAE,FED78,FECA8
11676F,116759,1167DF
FEC43,FEE0A,FED69
116747,1167F1,11657D
FEE53,FEEE9,FF045
1166B5,116703,116863
FEDB7,FED32,FECC6
116942,11681D,116826
FED76,FEE08,FED87
1168A0,1167C5,116849
FEDE7,FEDEA,FEDB4
116966,1168DC,116A0F
FEF52,FEEBC,FED0A
11679D,11684A,1167FA
FEDFB,FEE54,FEDE1
1168C8,116886,1168DB
FEC95,FECF1,FEF4A
116929,116807,11674A
FEE8E,FED75,FEEED
1169C5,1167B0,116803
FEE25,FEBE9,FEC12
1167A6,1168F9,11688E
FEDA8,FEDE6,FEDEB
1168EA,116994,116830
FEF0E,FED46,FEE1D
11694D,1167C5,11691D
FEE94,FEE35,FED5E
115D01,115C11,115D2F
FF690,FF5AA,FF453
116EA8,116ED4,116FD8
FF59C,FF541,FF526
116EEC,116F4C,116E9E
FF53D,FF64E,FF503
116EF4,116D72,116F3B
FF498,FF407,FF522
116FEE,116D86,117034
FF6A5,FF572,FF634
116FA0,116F39,117009
FF670,FF502,FF5B3
116DDF,116F0F,116F4B
FF66B,FF72B,FF5F1
117144,117075,116FD6
FF5BA,FF4F4,FF7D5
11700B,11730A,1171E6
FF5E0,FF78C,FF5CD
11700D,1171C9,1170E3
FF5F4,FF5BB,FF7BC
116FD6,1170A7,11707A
FF4F7,FF4D4,FF4D3
1170D3,11701F,117005
FF551,FF54B,FF670
117007,116F4F,11713E
FF7A2,FF63B,FF6E5
1171D3,11716E,116F68
FF7C7,FF8CD,FF54B
117026,117123,1170F3
FF5E1,FF74A,FF7C3
1170A1,117105,11725B
FF779,FF6E6,FF67B
117230,1171BB,117001
FF5E8,FF75C,FF728
11730C,117083,117057
FF737,FF7E8,FF724
116F49,117248,11710F
FF642,FF76E,FF61C
11713C,1170C4,117113
FF789,FF5C4,FF5D2
11708A,117163,1171AF
FF743,FF6BD,FF613
117252,1171FA,1171FA
FF74E,FF985,FF52D
11714C,117010,117099
FF6BF,FF725,FF563
116F3A,117163,1172E1
FF77E,FF7C3,FF44B
1171BF,11737A,1171AF
FF473,FF4D2,FF599
1171C3,116F8E,117032
FF7ED,FF7D7,FF780
116FF4,1173CF,11744C
FF78E,FF63C,FF5EA
1170EC,1170BB,11731C
FF6EF,FF64E,FF591
117145,117295,117183
FF602,FF5EF,FF626
117108,116EB7,11712A
FF7F8,FF4F3,FF6C2
117068,1170B2,117059
FF8CC,FF774,FF649
1170BC,1170CF,1171B5
FF74E,FF786,FF74A
11749F,11730A,1173A2
FF707,FF7C2,FF7F4
1171B9,117293,116DB4
FF710,FF61D,FF664
11729C,1170DE,1170BA
FF79B,FF620,FF648
