{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
5B224,5B17E,5AEB9
436FE,435D6,43678
5B0FE,5B285,5AEDB
435D6,43572,434AC
5B02A,5ADF1,5B1DD
4352C,435AB,4353B
5B0FD,5AFC5,5AFBD
4364E,4374B,435F3
5B02D,5B0EC,5B03D
435D9,4352E,43642
5B0F0,5AF08,5B124
434EF,435C7,434F6
5AF51,5B0E9,5B05A
436D7,43601,436FF
5B0DF,5B039,5B280
435AB,4346B,43522
5AECF,5B166,5AF55
4343B,4339C,4356F
5B0CD,5B12E,5B1E1
43577,436C4,4357F
5AF08,5AF16,5B0E4
436A5,434EA,433EA
5B154,5B290,5B2E2
4372C,43649,4374E
5B124,5B24D,5B195
43764,435C4,437B2
5B0AB,5B038,5AE8E
43641,43659,4360E
5B1EC,5AF59,5B14D
438B2,4369A,43771
5B1AA,5B26A,5B00D
436CE,436A2,4357D
5B0B3,5B046,5AEF8
435F5,4356A,4354E
5AFFC,5B0B6,5B034
435A8,435D8,43589
5AEEC,5B14B,5AF71
433E4,4356B,43567
5B157,5B220,5B040
436D9,434CC,4350F
5AFA1,5B0A4,5AE34
43544,43667,43847
5B2B3,5B24C,5B03D
43706,43626,4360B
5B0FF,5AEE5,5AFB2
435C8,43606,434EE
5B133,5AF96,5B0B6
43549,434C3,435EA
5B032,5B1BB,5AFDE
4363F,4348C,436AF
5AE6C,5AF18,5B15A
43632,43555,435A8
5B062,5AEE6,5AFFA
434D5,436BE,43666
5B051,5AFB7,5B088
4335F,436E0,434E5
5B038,5AF48,5B1C3
43761,43738,4353B
5B0E1,5B14A,5B0DA
435E0,4351D,43701
5B352,5B0A0,5AF18
43699,4360F,4360D
5AEF2,5B09C,5B075
43516,43348,433F4
5AEC7,5AE9C,5ADF9
433CD,434B6,43451
5AD6E,5AEFF,5AEB6
435BE,434E6,434A8
5ACB9,5AD4B,5AE7B
435B4,43463,433AF
5AD4F,5AD50,5ADA6
43465,43360,4342B
5AF87,5AF8E,5AF56
434A0,433C0,433C7
5ADD4,5AE9D,5AFB6
43477,4364B,43612
5AEE5,5AED5,5AEC1
43346,432D5,43341
5B0E2,5B01C,5B0DD
4334C,433B5,4335D
5AE49,5AD2E,5AE29
4337B,43453,433A7
5AF60,5AEE6,5ADF4
43318,43388,432D3
5AC16,5AD7E,5AD96
43370,43303,4327E
5ADC8,5AB5D,5AEFF
43332,43584,43401
5AE29,5AD44,5ADDC
43450,4346F,431F0
5AD49,5AD64,5AE8B
4349B,4340F,432B7
5ADC7,5ACF9,5AC81
43310,4328F,433FF
5AC79,5AFF7,5AE62
43205,431DD,43218
5AD54,5AD31,5AD21
43311,4315A,43133
5AC5B,5AE83,5ADF4
4331B,43498,43491
5AF57,5B013,5ADB0
43367,4342A,43439
5AEBF,5AEB4,5AD66
435E9,431DB,43408
5AC24,5AD19,5AD3C
434A7,43175,43379
5ADB8,5AC89,5B011
43205,432F6,4316F
5ACA7,5AE1C,5ABDB
43149,43118,43255
5AD75,5AE6D,5ADE4
43121,43158,43179
5AC4A,5AE77,5ABF9
431A2,4320B,4318E
5AD69,5AE0D,5AE0B
43294,430B1,431E3
5AD9D,5AE3F,5AC9E
43246,4323B,431F5
5AD5D,5ACA5,5AC15
43218,431DE,43127
5AA9C,5AB88,5AC6F
4316C,42F9A,4321C
5AD23,5ACA3,5AD6B
432AE,432A2,4338A
5AC4B,5AB78,5ACDC
43265,432FD,43286
5A214,5A330,5A304
436CF,43622,4353F
5B0B1,5B0BD,5B11F
435DC,4342A,4347F
5AFB3,5AFF3,5B105
4366B,434D9,4337B
5AF80,5AFA0,5B080
4356C,434C8,4349E
5AF6B,5B0CE,5AFD3
435F8,43706,43576
5B156,5B0DE,5AFE6
43629,434E5,436D5
5B123,5AFE0,5B176
4364F,435D9,436AA
5AE8B,5AFE4,5AFE0
43755,43498,435C5
5B017,5B092,5B21C
435A4,4337D,43427
5AEB0,5AE22,5ADF1
4351C,434B6,435E6
5AE49,5B14C,5B0B6
4378F,43634,4361D
5AEF4,5B046,5B14B
436DE,4350F,4357B
5AEED,5AFFC,5B167
43575,4353C,435DD
5B122,5AF0F,5AD6C
43717,4355B,43601
5AF52,5B170,5B117
4355F,43547,43770
5B239,5B136,5AE2F
43593,43633,438C7
5AEBC,5ADD0,5AF77
43527,433EE,43465
5AF07,5AFC2,5AEE4
433AA,4352D,4358E
5B0F2,5B0BF,5AEA4
43617,4361E,433D1
5ADE3,5AF2D,5AE23
434A6,43554,433E2
5B1A3,5AFD7,5AE94
433EB,435DF,4346B
5AFF9,5AF8B,5B0D4
43681,4358C,43594
5AE61,5B054,5AFBC
4351D,435F5,4335C
5AE7A,5B0DE,5B097
435F6,43545,433C1
5B1DC,5B033,5AFC2
4356B,434A6,43424
5AE8D,5B0B1,5AF8C
43478,434EF,433D6
5ADFF,5B05A,5AEEA
432BA,43437,43418
5AD04,5AECF,5ADF7
43422,4343F,4332E
5AF80,5AFE3,5B07C
43588,43575,4359D
5AEDA,5AECE,5AF4B
4337E,4353A,43653
5AE94,5B082,5B059
4357F,4377F,435D4
5AF25,5AFA0,5AE15
4352B,4336C,4367E
5AF68,5B06F,5B0A2
433C5,434D6,434A5
5ACA2,5AE7D,5AE2A
431C1,43074,432D6
5AC9B,5AD35,5AE18
4336F,431EE,4322E
5AD40,5AD7E,5AD9A
432C4,43171,431D1
5AD11,5AC74,5AC4E
4347B,434CC,43542
