{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
F4E19,F4F02,F4E2A
DD5B9,DD6AA,DD495
F4D85,F5086,F4E8F
DD4E7,DD53E,DD42E
F4F6C,F4F71,F4FF8
DD57A,DD4B3,DD399
F4DF3,F4D9E,F4F2A
DD5CD,DD438,DD4DF
F4F05,F4E6C,F4EE5
DD4B0,DD4E3,DD4A7
F4F22,F5198,F4FA5
DD700,DD55D,DD696
F50D5,F4FB0,F4F86
DD734,DD726,DD553
F4F9F,F4FB1,F4F49
DD4FC,DD561,DD59B
F4D44,F5087,F5046
DD5EC,DD4F2,DD3E1
F5022,F5101,F506F
DD6AC,DD5F8,DD361
F5000,F51AB,F4F05
DD6B6,DD62E,DD449
F4F96,F5054,F50DB
DD4E1,DD5EA,DD6F5
F506D,F5011,F50DE
DD51D,DD625,DD4FE
F4F5E,F4FAB,F4FED
DD67E,DD502,DD38A
F4F2B,F4F75,F4F77
DD25F,DD284,DD2EF
F4C72,F4CB5,F4DC7
DD453,DD2C6,DD2C6
F4E69,F4CD0,F4D2C
DD42B,DD377,DD1A9
F4C64,F4D40,F4E69
DD1E6,DD3BC,DD31E
F4D99,F4ED3,F4F51
DD4BF,DD270,DD425
F4E3E,F4EE7,F4E26
DD369,DD4B3,DD23B
F4DB6,F4D1D,F4D78
DD1D8,DD506,DD2F9
F4C40,F4CAE,F4CBA
DD473,DD416,DD41F
F4D86,F4F58,F4F9F
DD54F,DD3B4,DD236
F4C0B,F4D77,F4EA9
DD36B,DD3C1,DD474
F4E19,F4E3E,F4F1C
DD45D,DD295,DD267
F4DAD,F4D93,F4E30
DD4F4,DD4E8,DD3A4
F4EC8,F50A6,F4ECB
DD4AB,DD518,DD4F1
F4D2E,F5012,F4F2E
DD2F9,DD30C,DD49A
F4F71,F50C3,F4E59
DD1E8,DD3BE,DD2F8
F4E64,F4E1A,F4FB1
DD326,DD34E,DD413
F4F3E,F4DF4,F4F6A
DD585,DD455,DD3E8
F50CD,F5112,F5007
DD65E,DD5A1,DD51F
F4F97,F5192,F4F4A
DD5A5,DD5E4,DD4F5
F5191,F5103,F5231
DD587,DD5B3,DD7B2
F52C6,F51F6,F5206
DD8B9,DD87E,DD862
F5055,F5147,F521A
DD8EA,DD76E,DD730
F5136,F4FC8,F51FD
DD6C8,DD7B3,DD875
F52F1,F5108,F537B
DD90C,DD824,DD781
F5239,F51C7,F52B5
DD9DE,DD6EE,DD604
F5280,F5271,F5267
DD7CD,DD8E6,DD83E
F51E8,F5158,F51C5
DD759,DD722,DDA02
F52C9,F50A2,F520B
DD83E,DD72B,DD944
F5339,F532C,F54FB
DD969,DD85E,DD8D1
F545C,F51D5,F525A
DD86D,DD85B,DD7AE
F5507,F5387,F53C2
DD8EC,DD8BD,DD89E
F544A,F51C2,F507B
DD787,DD7FD,DD771
F42D1,F457B,F429F
