{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
E2D40,E2C7D,E2BFF
CB13F,CB226,CAFFE
E2C94,E2B76,E2BCE
CB27F,CB254,CB27F
E2C49,E2BCF,E2B8A
CB3EB,CB2FC,CB350
E2E03,E2D4F,E2D90
CB357,CB211,CB1E5
E2D25,E2DC2,E2EF8
CB3C3,CB40F,CB2D4
E2EF6,E2F44,E2DD3
CB3F6,CB2CD,CB419
E30B1,E30B4,E2FE4
CB41E,CB3DC,CB57D
E2FA2,E2E65,E2CE7
CB38F,CB2D7,CB5FD
E2F34,E3084,E3085
CB1F1,CB3A9,CB44A
E2FEC,E2E9C,E2E44
CB54D,CB313,CB2D5
E2EE1,E2FD6,E2E9F
CB5A0,CB4A5,CB560
E2F7F,E2EF8,E3060
CB2BA,CB248,CB2E2
E3036,E2F9E,E2F6F
CB49C,CB577,CB4A7
E2FDC,E2E27,E2DD7
CB546,CB56D,CB4E0
E2EF3,E30FF,E3259
CB5DC,CB485,CB508
E2CA1,E2F0D,E3127
CB4F1,CB4A0,CB6DB
E2FBB,E2F1E,E3076
CB400,CB3E6,CB618
E2F77,E2F80,E2D6A
CB61C,CB44D,CB660
E1AD5,E1C11,E1B95
CAA52,CA9EB,CAA1C
E23C3,E2246,E226C
CA8D7,CA8AF,CA854
E23E7,E24CB,E2499
CA934,CA907,CA8AA
E2499,E23A4,E230F
CA8E8,CA8F4,CA9F8
E2490,E23FE,E23C8
CA87B,CA82F,CA9ED
E2395,E22BE,E2398
CA8E4,CA9D4,CA987
E23BF,E2407,E2521
CA916,CAA33,CAA4C
E23A6,E249C,E25DE
CAB1F,CA9E6,CAA2F
E2577,E2502,E259C
CAB5F,CAB8C,CAA8E
E232A,E2495,E2251
CA848,CAB63,CABCD
E2419,E2412,E259F
CA976,CAB1F,CAB93
E24A5,E2593,E2402
CAB15,CA9D7,CAB1A
E26F8,E2633,E25C7
CAA43,CAC11,CAAD0
E2358,E2507,E23C2
CAA56,CABCB,CAA2C
E2681,E2609,E2563
CAB33,CAB5D,CACEF
E24D8,E2411,E2584
CAACC,CAC66,CAAD1
E26F0,E2831,E2549
CACFB,CAE4D,CACBE
E26FB,E2606,E2757
CAC22,CAD14,CABE7
E270A,E27C4,E287F
CAD6E,CAABB,CAC4B
E27C2,E2738,E25B4
CACEB,CAD7F,CAD56
E26C1,E27E8,E284F
CACBB,CAC01,CABCF
E26EC,E289C,E2708
