{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
EFBFD,EFBCA,EFC9C
FA8DB,FA67F,FA80F
E2EB8,E2E3E,E2D78
FA84A,FA702,FA756
E308F,E2EED,E2E65
FA8AF,FA7C5,FA78A
E2DC7,E2D86,E2CC4
FA8AD,FA857,FA736
E2F66,E2C27,E2EBB
FA892,FA65B,FA6FA
E2A4E,E2A19,E2A25
FA3C0,FA4CB,FA608
E29BD,E2B36,E29CD
FA4E9,FA571,FA4F6
E2B0F,E2A20,E2959
FA631,FA4FE,FA656
E2A96,E2B67,E2CF7
FA64C,FA75A,FA591
E2ABF,E2BB2,E2C0B
FA74E,FA6F6,FA684
E2A97,E2B8A,E2996
FA482,FA76A,FA615
E2B3F,E2BDE,E2CB5
FA718,FA722,FA7ED
E2E35,E2B81,E2CCC
FA8E3,FA71A,FA8DC
E2C7E,E2B71,E2D15
FA650,FA594,FA6F6
E2C0F,E2C2E,E2B91
FA742,FA85C,FA6ED
E2B00,E2BF7,E2C52
FA760,FA764,FA5C6
E2B14,E2BD6,E2A46
FA75E,FA750,FA77E
E2CF1,E2CC7,E2AD4
FA65B,FA5B6,FA7F9
E2DFC,E2C96,E2D13
FA8E4,FA86A,FA804
E2CA6,E2C08,E2CB8
FA8E5,FA8ED,FA817
E2F35,E2DEA,E2CC7
FA6D7,FA80A,FA758
E2DDF,E2D6F,E2E3C
FA865,FA935,FA87D
E2ED1,E2E18,E2F87
FAA3E,FAA27,FA9C8
E2E77,E2E07,E2E9E
FA911,FA991,FA6AA
E2EF4,E2FB7,E2E3E
FA9B1,FA8CA,FA934
E2D1C,E2E8F,E2DB8
FA9FF,FAAB7,FA9DB
E2F96,E2E9B,E2D13
FAA18,FAB18,FA9D3
E2EF2,E2EF1,E2E45
FA800,FAAAC,FA8BA
E2EC0,E3010,E2F5C
FABBD,FAB44,FA9C5
E317D,E2F5A,E2F0C
FA9FB,FAA72,FAAE6
E30F2,E2FDB,E3064
FA9C3,FAB55,FAB28
E31C0,E3066,E3094
FAB25,FAAD8,FABCB
E2F2B,E3114,E318E
FAC61,FAC16,FAAF0
E314B,E31C9,E328E
FAB2F,FAC23,FABCE
E3287,E3178,E330F
FABD3,FAD3A,FAB58
E306A,E328E,E316A
FAE06,FABFE,FACDF
E3294,E3241,E3248
F9BE5,F9C86,F9BB6
E30D5,E32F8,E3211
FAB37,FAC9E,FACA5
E3182,E3445,E315A
FAD2D,FAD50,FAB4C
E310A,E3010,E3276
FAC32,FAB6A,FABA1
E3217,E318A,E3116
FAB1B,FAD07,FAA45
E2F80,E3306,E33DA
FAAB2,FACF2,FACDD
E3184,E3299,E3318
FAC74,FAB64,FAD6B
E3450,E3424,E3282
FAB87,FAE0C,FABEE
E3494,E324A,E3151
FAC90,FAD04,FAD58
E32C9,E338D,E3389
FAC2D,FAD31,FAB5A
E336B,E32AB,E3227
FAC8E,FABAC,FACB2
E3214,E328A,E33C6
FAE2B,FAE1F,FAD64
E33ED,E31E1,E33BD
FADF8,FAEE5,FADA2
E327A,E3470,E3306
FADDC,FAC02,FAD9F
E319D,E31FA,E3343
FAD3E,FABBE,FACDA
E3286,E326A,E322D
FACA6,FAC30,FAED1
E332F,E339F,E32A7
FADCC,FAE04,FAB52
E32E8,E3486,E359B
FAFD5,FB0E1,FADF4
E338F,E331F,E33B4
FAF15,FAF2F,FB115
E35AF,E350F,E33C5
FB15F,FAE3F,FAE62
E3404,E33BF,E34BD
FAE00,FAECB,FAEF5
E368A,E35B9,E355E
FAF50,FAF26,FAF0E
E34C7,E34B2,E35DE
FAEF0,FAFEE,FAFE8
E3535,E3453,E33F2
FACEB,FB03A,FAF1B
E358D,E3525,E3531
FB0EB,FB182,FB081
E35ED,E3519,E3446
FB065,FAED3,FAF91
E34BB,E35CA,E364F
FB007,FB06F,FB0A2
E369F,E3752,E33A5
FAF0B,FAF65,FB064
E3798,E3576,E379B
FB125,FB270,FB0A0
E3718,E344F,E35AE
FB0EB,FB086,FB11B
E35C2,E3648,E349E
FB232,FB05F,FB15D
E3603,E36C5,E3598
FAEC4,FB062,FB0FD
E3767,E35E2,E36BA
FB094,FB089,FB0E4
E3320,E34FE,E3258
FAD41,FAE55,FACA9
E3302,E3380,E3252
FACF8,FAD9C,FAD8A
E327E,E333F,E32D8
FAD4C,FADB2,FAF1C
E31E0,E3173,E3311
FACAF,FAC96,FAB8E
E34F2,E3509,E33CA
FACAB,FAD4F,FAE71
E3332,E33A3,E3407
FAE31,FAD18,FAFBD
E3511,E3396,E35C2
FAEA5,FAD4D,FAFE4
E3529,E33E9,E33F4
FB046,FB0A1,FB0AC
E3456,E3593,E34CE
FAFC4,FAEC7,FB065
E374D,E3583,E34D8
FB0E1,FAE06,FB058
E354A,E3371,E3401
FAEF7,FAEE2,FAF38
E3559,E33E3,E36C2
FAF94,FB089,FB0A0
E33AC,E35D9,E362B
FAF11,FB1DA,FB18C
E3654,E358D,E36E4
FB09B,FB001,FAFE8
E3590,E366D,E358C
FB020,FB00E,FAF1A
E345B,E35D6,E3588
FB01E,FB02B,FAF93
E35EF,E3810,E37C8
FB299,FB1DB,FB01B
E393D,E36C5,E37D8
FB2A9,FB40A,FB04B
E38D6,E36C7,E3695
FB1F8,FB256,FB1BE
E378A,E36DC,E39B8
FB3DD,FB272,FB319
E38D6,E38F4,E3895
FB18F,FB3A5,FB37B
E37EB,E3851,E3804
FB3AC,FB4B5,FB466
E3855,E383B,E37FC
FB2AA,FB2A2,FB27C
E3834,E3942,E38EA
FB40F,FB1B6,FB37D
E381F,E3703,E3A56
FB320,FB150,FB27B
E388D,E380B,E3857
FB157,FB40B,FB3CA
E359A,E3982,E3ABA
FB0F2,FB062,FB26E
E3969,E3819,E3962
FB39D,FB37B,FB348
E387B,E383F,E36EF
FB25B,FB41A,FB338
E3928,E38DB,E39BE
FB479,FB59A,FB4FA
E3917,E3869,E36CA
FB68C,FB076,FB273
E37EB,E3925,E38FB
F9510,F947B,F9402
E389E,E382D,E3A5F
FB354,FB313,FB39D
E3A16,E39D8,E3AD4
FB4A9,FB3A8,FB405
E3955,E38C8,E387D
FB502,FB337,FB448
E3C4F,E39CA,E383D
FB32F,FB5B7,FB390
E3B79,E39D7,E39AD
FB293,FB40E,FB2C9
E3D21,E3AA9,E39AD
FB586,FB425,FB4C5
E3B22,E394A,E3A02
FB2ED,FB3DF,FB407
E3804,E3976,E3C21
FB5C2,FB607,FB723
E3B3D,E3D32,E3B56
FB744,FB4DA,FB643
E3A34,E3C36,E3B15
FB5A4,FB64B,FB5E5
E3C63,E3B91,E3AEF
FB584,FB5ED,FB4E1
E3BC8,E39E6,E3B1C
FB674,FB54D,FB503
E3B2A,E3B86,E3A40
FB547,FB512,FB497
E3A88,E3B35,E3A61
FB51A,FB664,FB6F7
E3ABC,E3B5A,E3BFC
FB5FA,FB6F3,FB59F
E3ADE,E3DD3,E3C84
FB5B4,FB594,FB4E6
E3B7A,E3B6B,E3BA3
FB6D7,FB55A,FB6AA
E3B89,E3E2D,E3D74
FB855,FB750,FB834
E3C6F,E3CA0,E3D6B
FB711,FB77D,FB9C8
E3EAC,E3DAE,E3C4D
FB81D,FB696,FB7D2
E3C81,E3C63,E3BCF
FB7A9,FB734,FB75C
E3BA4,E3C85,E3D41
FB854,FB728,FB7F7
E3C61,E3DE7,E3EDA
FB913,FB8ED,FB9E7
E3CEF,E3DF1,E3E0B
FBAB5,FB9A8,FBBAA
E3EA8,E3E56,E3F82
FB99B,FBA28,FB916
E3FC9,E3E04,E3DB8
FB8E2,FB7CF,FB826
E3DA1,E3EAA,E3D0D
FBB83,FB849,FB9C1
E3E59,E3F10,E3F50
FBA00,FBAB6,FB908
E3ECE,E3FE2,E3F01
FBB08,FB90B,FB86E
E3E1F,E4068,E3E96
FB969,FB7EC,FB962
E3F46,E3FA9,E3D7B
FB8C3,FB784,FB955
E3E5F,E3FFB,E401C
FB9DD,FB95E,FBA02
E3BF8,E3A9B,E3BF0
FB61A,FB6B1,FB690
E3C2D,E3B81,E3C41
FB74B,FB573,FB856
E3C9C,E3ADD,E3C47
FB6D2,FB583,FB60C
E3BFE,E3C23,E3A75
FB6A5,FB669,FB695
E3B93,E39FA,E3C2A
FB687,FB6A0,FB6C4
E3CF7,E3D6C,E3DFB
FB7D7,FB62A,FB785
E3C59,E3E95,E3DAA
FB9A3,FB883,FB71D
E3EF1,E3D97,E3E4B
FB88C,FB7AC,FB79A
E3C93,E3D25,E3DBB
FB733,FB807,FB8AB
E3D2D,E3BFC,E3C78
FB78B,FB7A5,FB8FB
E3D4F,E3D74,E3D4C
FB913,FB7F8,FB601
E3C6A,E3F14,E3CD2
FB7B3,FB99B,FB72C
E3E38,E4044,E3DE2
FB84D,FB75A,FB8AE
E3E42,E4004,E3E8F
FB8FE,FB899,FB861
E3CCC,E4057,E3DCD
FB894,FB88B,FB818
E3EDF,E3E12,E3E46
FB68B,FB670,FB808
E3D10,E3CAC,E3F34
FB9D0,FB8DD,FB8E6
E404A,E3EA8,E3FA8
FBAF3,FBB02,FB8CE
E409F,E40C8,E4061
FB9FF,FBA46,FB956
E410B,E3E85,E3EE0
FB985,FB95D,FBB66
E3F66,E4057,E40A7
FBAB7,FB900,FB94A
E3F8D,E3F2E,E3E9C
FB919,FBAB4,FBA5C
E4115,E403E,E4220
FBABA,FB9CE,FBAF5
E40C0,E4166,E4147
FBD38,FBB0A,FBBD5
E41A5,E40F1,E40DB
FB9BD,FB9E1,FBA89
E3FE4,E4300,E4140
FB9AB,FB907,FBAE7
E429E,E417D,E429E
FBB25,FBCDF,FBC72
E440E,E41A5,E41E0
FBDC8,FBC17,FBD13
E3FAB,E4033,E4191
FBCEC,FBCF5,FBBEB
E426E,E4157,E42F2
FBC25,FBDA5,FBC7A
E41C7,E4153,E4187
FBB3F,FBC1F,FBAA6
E408D,E3FDE,E40F9
FAA08,FA93C,FAA39
E405C,E4261,E4012
FBB11,FBB89,FB9C7
E40A9,E401B,E413B
FBA1D,FBBFD,FBD20
E4104,E401E,E4299
FBC78,FBBEA,FBC94
E427B,E4254,E429F
FBD90,FBD24,FBC4D
E40FC,E41D3,E406E
FBD4F,FBCA7,FBD6F
E437B,E439C,E4408
FBE22,FBCC2,FC040
E4263,E4419,E425C
FBC91,FBE0A,FBD98
E4150,E4194,E4378
FBE33,FBD35,FBE76
E433A,E43F7,E448B
FBD9B,FBDF7,FBE16
E44F4,E435D,E441B
FBD25,FBEB7,FBD79
E432B,E4459,E4373
FBD2D,FBF8A,FBD2B
E4360,E4297,E437B
FBD31,FBF57,FBF3F
E452E,E43CF,E4492
FBE61,FBDF7,FBCBD
E4355,E430A,E453B
FBF4C,FBE0C,FBF04
E4513,E428B,E42F4
FBFBE,FBD90,FBF95
E4366,E43EF,E433A
FBC83,FBDBB,FBF6C
E436F,E434D,E44F5
FBF56,FBF7D,FBE2B
E4414,E4461,E444C
FBF8F,FBEE5,FC071
E4543,E44C7,E4443
FC059,FC0C3,FC039
E4697,E45DF,E4504
FBF7E,FC116,FBEF0
E44CF,E4558,E454A
FBF40,FC097,FC063
E4786,E461A,E457E
FC0CA,FC000,FC127
E4573,E45C6,E47A5
FC154,FBFE5,FBF9D
E4562,E45B2,E455B
FC224,FBFDC,FBFFA
E4580,E453F,E468C
FC0CE,FC200,FC101
E45AC,E45B2,E472D
FC081,FBF69,FC039
E44E0,E456A,E4614
FC14F,FC07B,FBE66
E46FA,E4690,E44B6
FC0F6,FC091,FC0B8
E44C5,E44D1,E4727
FBFCE,FC19B,FC0FD
E4838,E4771,E45BC
FC1AA,FC070,FC214
E45FE,E454C,E44C4
FC07C,FC0F6,FBFC4
E468C,E462E,E44BB
FBF7B,FC1E8,FC1E6
E43CE,E4025,E41D1
FBDD7,FBCA4,FBD5E
E42CF,E42B0,E437B
FBC13,FBDF1,FBE16
E41C8,E42E4,E42EE
FBD05,FBB81,FBD95
E439F,E4488,E43C1
FBC64,FBFFD,FBDF7
E43F5,E4091,E43DD
FBC95,FBCD6,FBC41
E42D7,E42B5,E4443
FBDE1,FBD7D,FBFA7
E43A4,E431A,E435C
FBF63,FBDFC,FBF78
E4568,E4475,E436E
FBF73,FC054,FBF70
E43C5,E449F,E4387
FBEB7,FBE27,FC093
E4654,E4462,E452E
FBEFD,FBF73,FC162
E4477,E439B,E44C2
FBF83,FBE8A,FBFC7
E45C0,E43A7,E43F2
FBDF6,FBF70,FC144
E44D5,E44E0,E4350
FBEA4,FBEF5,FBF41
E45CA,E44C6,E46F7
FC02C,FC25F,FBFCA
E466E,E45C1,E4487
FC0DE,FBFE3,FC125
E451F,E4588,E4652
FC04B,FBF9A,FC147
E481A,E45D8,E45EA
FC1AB,FC16B,FC247
E46D9,E46F6,E45FC
FC1B5,FC27D,FC244
E4572,E46E4,E46E4
FC0F2,FC0C5,FC077
E470F,E47EB,E4612
FC35F,FC0FD,FC02D
E4574,E4725,E45BA
FC1A7,FC096,FC2E0
E444E,E4637,E4705
FBF5F,FC298,FC179
E44F7,E46E8,E47F9
FC1B1,FC13D,FC1B6
E4843,E45E1,E45CF
FC276,FC2C9,FC2DC
E46EE,E4891,E4778
FC3D1,FC29B,FC072
E4943,E48B5,E4748
FC177,FC141,FC353
E4730,E4749,E4507
FC387,FC326,FC28D
E4889,E46F5,E4792
FC1E5,FC3EA,FC2E2
E481C,E47D1,E49A4
FC1AE,FC1F7,FC37E
E4A51,E48D6,E49F1
FC2D1,FC614,FC393
E46FB,E4835,E487C
FC3D5,FC221,FC349
E47C0,E48C1,E48E4
FB001,FAF7D,FB1FB
E3C81,E3D80,E3CFA
FB75C,FB6C4,FB7A6
E3AF5,E3C96,E3D11
FB6A0,FB673,FB887
E3D9B,E3E35,E3C2A
FB752,FB8C2,FB858
E3E0E,E3FB4,E3FC3
FB880,FB8DF,FBA05
E3E2E,E3E89,E3CA2
FB783,FB924,FB90A
E3F74,E3E53,E3D45
FB90C,FBAFE,FB6CE
E3DD5,E3D80,E3E6B
FB864,FB872,FB917
E4087,E3D6E,E3F6C
FBA9D,FB9DF,FB977
E3D94,E3FB3,E3FAC
FBA4B,FB842,FB8A2
E3F1C,E3F7A,E402A
FBA23,FB937,FB90A
E3ED9,E3EE8,E3EEC
FB98C,FB900,FB99E
E4110,E3F63,E3F49
FB978,FB919,FB9E7
E3E9F,E3EF7,E3D08
FB978,FB8B7,FB710
E40C5,E3EE6,E409A
FBB72,FBB11,FBC21
E405A,E3F76,E3EEB
FB8AE,FB8DC,FB8DB
E3F59,E4010,E3F00
FBAAB,FB8C9,FB89D
E4027,E3FCB,E3EE4
FBA7F,FB9B8,FB982
E412D,E3F91,E4214
FB9D7,FBA9B,FBACB
E3E64,E3EF0,E40FE
FBBF6,FBB31,FBB51
E3FA3,E40D9,E411A
FBBA1,FBC20,FBD71
E4124,E4022,E3FD6
FB9B7,FBB67,FBA8E
E4093,E416F,E4192
FB99D,FBBBA,FBCF7
E41EB,E4156,E4075
FBCDD,FBACC,FBB2E
E41BE,E4178,E40C4
FBD2B,FBD6A,FBE6D
E4030,E3FE3,E41AC
FBC3E,FBC4B,FBD3F
E4289,E4299,E42BF
FBCB3,FBDAA,FBB90
E4094,E419D,E41E4
FBCFC,FBBB4,FBD7E
E437E,E43BE,E4253
FBE63,FBE00,FBDAB
E41F9,E438F,E42F5
FBC76,FBB13,FBB73
E4201,E412C,E41DB
FBD9E,FBD4B,FBE05
E42C3,E42B1,E41B5
FBBFA,FBE11,FBE92
E421C,E42D7,E42AD
FBD5F,FBD78,FBB3B
E4193,E3FD5,E3FC9
FBA23,FBC29,FBB4A
E4218,E4129,E4109
FB97D,FBAF1,FBB02
E402A,E4087,E3F44
FBB71,FBB0D,FBC54
E4123,E4177,E3DDF
FBACB,FBAD8,FBBB8
E3FBB,E40A7,E3F3A
FBA6B,FBB07,FBCBC
E41B5,E42D5,E4361
FBC2C,FBAC1,FBC21
E411A,E3F5A,E3FCE
FBBFE,FBB3C,FBB0C
E41A8,E3FCA,E3FF1
FBAF2,FBD1B,FBBE9
E41BA,E4300,E417A
FBAD9,FB97C,FB877
E4021,E408A,E41C3
FBCC6,FBD8D,FBBBC
E4114,E41DA,E409B
FBA1C,FBAE8,FBCFD
E4259,E40F2,E419A
FBBE5,FBD66,FBBC6
E40EF,E417E,E4169
FBC66,FBBDF,FBBAD
E412E,E427C,E4263
FBBA3,FBBA9,FBB53
E4172,E40B7,E4007
FBB7C,FBB67,FBAAD
E40D8,E402B,E4104
FBA6E,FBBA8,FBCB5
E432D,E428D,E4279
FBA24,FBC52,FBD4E
E4226,E435C,E4378
FBD84,FBF83,FBCBE
E4390,E4299,E4383
FBCF8,FBDE1,FBEBA
E42AC,E43F2,E42D3
FBDCB,FBE16,FBE65
E43B1,E421F,E4378
FBE0E,FBE60,FBE15
E4412,E4225,E43B5
FBDE9,FBE20,FBF35
E4278,E43CA,E4471
FBE48,FBEDC,FBF3F
E4490,E4392,E435C
FBE46,FBE86,FBF8D
E44EA,E42E2,E4335
FBEC7,FC01C,FBED6
E43D0,E446E,E44CE
FBF3F,FBED4,FBFC7
E441F,E450C,E44F3
FBEB5,FBEC9,FBDC3
E4595,E4498,E4599
FBE7E,FBE76,FBF25
E441C,E46E9,E4593
FC069,FBECD,FBEE3
E46F7,E4598,E467A
FC04E,FC007,FBE35
E454C,E469D,E459C
FC04A,FBFB5,FBE56
E467F,E4601,E47CF
FB0E7,FB047,FB1BC
E427C,E469C,E44BB
FBFC8,FC150,FC06F
E4694,E4674,E47BE
FC07B,FC03A,FBFFA
E46DD,E45E9,E4705
FBF32,FC093,FC070
E47E9,E456C,E459B
FBFFC,FC18C,FC10E
E469D,E45F4,E4557
FC071,FC177,FC13E
E4586,E4761,E460B
FC047,FC0E8,FC158
E465F,E454B,E467D
FC099,FC0CE,FC097
E4729,E4435,E4611
FC0C4,FC129,FC15F
E47BA,E4549,E464A
FC002,FC062,FC07D
E47FB,E44DB,E4793
FC107,FBF50,FC1CD
E464A,E4726,E4603
FC11F,FC1D0,FC331
E47B7,E47CB,E4882
FC160,FC0DB,FC147
E4791,E45EF,E4685
FC008,FC0BD,FC183
E47A8,E4617,E4659
FC2C0,FC1F2,FC2E4
E47D7,E45CE,E476D
FC1D5,FC337,FC1B1
E47BE,E47E3,E46A3
FC1BC,FC10C,FC191
E4794,E4709,E4800
FBF83,FC1A7,FC264
E49D0,E481F,E47E8
FC359,FC243,FC2D0
E486B,E4970,E4824
FC185,FC0AF,FC14E
E47FD,E48AC,E4862
FC173,FC2FE,FC2EB
E46D1,E47FF,E47BE
FC1A1,FC302,FC379
E48E9,E48B8,E488D
FC1F9,FC311,FC230
E49F6,E48C6,E4826
FC321,FC262,FC34A
E499A,E4850,E4942
FC59F,FC498,FC40A
E4B16,E48F6,E4952
FC37B,FC4C6,FC3F0
E4B15,E4915,E4B32
FC3D7,FC46B,FC49E
E4AA2,E491A,E48F3
FC424,FC436,FC33D
E4A05,E48F1,E4A31
FC2CA,FC509,FC414
E4A06,E4967,E496B
FC421,FC26D,FC4BE
E48A1,E49EE,E4916
FC509,FC373,FC5D9
E4BB8,E4AD9,E4AE7
FC39C,FC4EF,FC3EF
E4A93,E4AF3,E4B42
FC46E,FC574,FC4CA
E44B7,E46AB,E4788
FBFFF,FC048,FBF8B
E465F,E45D9,E46ED
FC26E,FC22D,FC2EB
E4981,E47A1,E4776
FC20C,FC346,FC34F
E46AE,E46C5,E479F
FC203,FC470,FC2CC
E4802,E4701,E4653
FC01D,FC0FE,FC427
E474F,E4793,E483E
FC273,FC1F5,FC25E
E465A,E471D,E47C9
FC24C,FC297,FC428
E45EF,E4666,E478A
FC49F,FC512,FC4A1
E48CD,E4888,E4917
FC3C7,FC289,FC49A
E49CE,E481A,E4B13
FC36B,FC371,FC397
E496D,E49CA,E4891
FC3D2,FC3AA,FC36B
E490F,E488D,E47DC
FC313,FC4FE,FC41B
E49E6,E485C,E48A5
FC397,FC546,FC51D
E4A66,E4A41,E470B
FC35B,FC5FA,FC5F9
E4A6D,E4975,E4921
FC4D1,FC431,FC5C8
E4B08,E4B49,E4993
FC481,FC4D5,FC320
E49E3,E4B32,E4AB7
FC505,FC4D5,FC333
E4C8A,E4AF2,E4AA7
FC5DF,FC55F,FC5A7
E4C4E,E4ABE,E4AB2
FC51C,FC661,FC674
E4B62,E4A65,E4BF5
FC5DD,FC801,FC74E
E4C19,E4B0C,E4BAD
FC4DB,FC66A,FC678
E4C93,E4C4B,E4CD6
FC8F0,FC805,FC717
E4EF9,E4D65,E4C0F
FC67F,FC6BA,FC773
E4D34,E4BB3,E4E7F
FC7F0,FC87F,FC733
E4CF0,E4DDC,E4DEA
FC82F,FC501,FC6D0
E4DED,E4D7A,E4D54
FC79D,FC7EA,FC94C
E4DDD,E4DC1,E4D24
FC66A,FC721,FC7DF
E4B83,E4CBE,E4D85
FC680,FC80C,FC782
E4C22,E4D4D,E4BA8
FC77D,FC730,FC7E7
E4CE2,E4D9F,E4CDA
FC819,FC865,FC712
E4F1F,E4BE1,E4DBE
FC4D7,FC68F,FC7D1
E4C59,E4C7C,E4D1E
FAB71,FAB9C,FAB8D
E4E3A,E4DC8,E4E9C
FC6D4,FC7E8,FC867
E4D7A,E4DF1,E4ECC
FCA2D,FC8FE,FC858
E4E4B,E4EFD,E4FD6
FC7BB,FCA5D,FC7D3
E4D1D,E4E1D,E4D48
FC6E2,FC7C8,FC871
E4D18,E4EF1,E4D03
FC8BB,FC8AE,FC87D
E4ED0,E4E09,E4E4F
FC8AA,FCA1B,FC94A
E5099,E4F49,E4DFB
FC95C,FC953,FC899
E4E9A,E4DF2,E4F5C
FCAE5,FC840,FCA63
E4D94,E4E8A,E4D8F
FCA32,FCA82,FC9A5
E4E2F,E4E3D,E4FF4
FC9FA,FC94D,FC933
E4F43,E5042,E4D28
FC9D7,FC9E5,FC98F
E4EBD,E4E7F,E4EA8
FCAA5,FCAD2,FCD68
E4F72,E4F0A,E50A3
FCBE7,FCC24,FCA46
E4F05,E5071,E50DF
FCA61,FCA5B,FCD36
E50E8,E5023,E50F1
FC991,FCBC9,FCA89
E51D4,E514D,E5144
FCA5D,FCB41,FCBA7
E511E,E5287,E532D
FCC10,FCA31,FCA06
E5126,E51DB,E5101
FCB79,FCB51,FCBF3
E523D,E5297,E5204
FCC2B,FCAF6,FCDB1
E5159,E535C,E518B
FCE38,FCC8B,FCCDC
E5276,E5156,E5085
FCCD8,FCDA3,FCE7E
E5221,E52D4,E5226
FCCE2,FCB6D,FCB1C
E51B7,E52B4,E52FC
FCDCC,FCC78,FCC7D
E53DF,E514A,E5272
FCC5B,FCD51,FCD9B
E5210,E53C9,E55FB
FCD82,FCE08,FCB9A
E5322,E536E,E51F9
FCC9B,FCD04,FCCC1
E54F6,E53EE,E535D
FCE61,FCD21,FCD51
E525C,E5275,E53FA
FCEE8,FCDEB,FD069
E532E,E5309,E5374
FCE48,FCE5C,FCD0B
E5292,E52CA,E523C
FCF32,FCD45,FCF2C
E53A3,E538A,E5378
FCEAD,FCDC4,FCF08
E546C,E5419,E5270
FCE32,FCE19,FCEA2
E5120,E5007,E5043
FCB6C,FCAF3,FCA67
E5137,E51DC,E515F
FCB76,FCB3B,FCC01
E4FF5,E5165,E4F95
FCC47,FCD6F,FCACB
E5095,E516E,E500E
FCB88,FCBBB,FCB82
E4F7C,E506B,E5113
FCAF1,FCB36,FC954
E516F,E52EA,E505A
FCA0E,FCB56,FCCC1
E52F2,E51DD,E50B8
FCB56,FCB77,FCC7B
E5252,E52CC,E4FDD
FCCA6,FCBB4,FCCA6
E4FBB,E4FC9,E4F3F
FCA7A,FCBB4,FCBD0
E509C,E51AF,E5264
FCBE1,FCB9B,FCD16
E5127,E508A,E526D
FCC5C,FCD1D,FC9C8
E52CB,E51E2,E5089
FCBB8,FCD23,FCBF1
E51EC,E53F5,E5263
FCD18,FCCAE,FCC60
E527B,E50FA,E5264
FCB7F,FCC61,FCD11
E521C,E5372,E527E
FCC44,FCF43,FCD69
E520C,E52D8,E5331
FCCCA,FCC85,FCDAA
E538E,E54A8,E5431
FCDC6,FCE04,FCDF3
E5568,E5344,E55FA
FCFD4,FCFBB,FD107
E5413,E5389,E54C4
FD0BE,FCE9C,FCE73
E54D1,E5472,E5532
FD0AF,FCFA7,FD059
E56DD,E5525,E55FE
FD029,FCE93,FCF0B
E53E9,E5485,E53EF
FCF3C,FD024,FCE86
E51B5,E5413,E55D2
FCDFF,FCED0,FCD35
E54D8,E53E3,E53F7
FCE6F,FCDAC,FD127
E51FD,E5584,E53B0
FD146,FCF5B,FCFC0
E563F,E551F,E563A
FCDF6,FCEC3,FCEA5
E551F,E5593,E565E
FCF49,FCF74,FCF49
E558A,E5527,E5671
FCFB6,FD051,FD142
E563E,E5656,E5690
FD11C,FD062,FD016
E55E2,E5653,E551E
FD028,FCFEF,FD04A
E5633,E55D5,E553A
FCFBC,FCFF4,FCF3A
E577B,E55C9,E5688
FC0A0,FBF82,FBF91
E55AF,E5663,E5402
FCEBB,FCF32,FCFCC
E53A6,E5468,E5262
FD027,FCEF7,FCEE1
E5437,E552C,E5387
FCE3A,FD119,FD016
E54C6,E5504,E551E
FCF16,FD098,FD03B
E55E8,E54E4,E5612
FD00E,FD00A,FCF8F
E54FC,E54D2,E54B5
FD18E,FD17A,FCFB2
E5656,E54ED,E545E
FD205,FD12C,FD239
E562A,E57C7,E567D
FD12D,FD218,FD246
E5800,E5741,E5713
FD0C5,FD34C,FD335
E55C4,E55EF,E5692
FD275,FD052,FD0B4
E5571,E5708,E57A1
FCFA3,FCF0A,FCF72
E571D,E574F,E5707
FD276,FD202,FD12C
E5868,E5902,E57E8
FD073,FD102,FD176
E57BE,E56FA,E574A
FD28C,FD176,FD0EC
E58BD,E5650,E564D
FD124,FD2F4,FD0B7
E5590,E5822,E5779
FD14B,FD066,FD28C
E58EF,E59C3,E58FA
FD329,FD2B8,FD2B3
E58BA,E5996,E584F
FD3CF,FD3F1,FD449
E5904,E58C6,E5879
FD41D,FD3B2,FD44D
E598F,E588F,E5924
FD421,FD44F,FD43A
E5AA4,E5975,E5921
FD48F,FD3C3,FD469
E58D6,E582D,E5A61
FD29D,FD22C,FD5CD
E5AD0,E5B03,E588C
FD30D,FD519,FD660
E59A8,E5B73,E5AD6
FD52C,FD71B,FD51A
E5991,E5AD7,E5A22
FD529,FD5F4,FD5F2
E5BAE,E5B17,E5B92
FD45E,FD44E,FD602
E5CDF,E5A6E,E5A82
FD754,FD5F1,FD5D5
E5B40,E5AAC,E5B19
FD51E,FD349,FD510
E5AB3,E5A07,E581E
FD3CB,FD3DD,FD5DC
E5B05,E5A93,E59F6
FD545,FD58D,FD5D5
E5A4E,E5AB2,E5AD7
FD588,FD551,FD6BC
E5B90,E5C3C,E5BD4
FD50C,FD682,FD894
E59CB,E58C6,E5849
FD1C1,FD288,FD31C
E5815,E580B,E578A
FD04F,FD19F,FD2DE
E5733,E59F1,E5795
FD307,FD2D8,FD48C
E5935,E5807,E586B
FD3FC,FD32A,FD3B6
E5AAA,E5919,E5A90
FD3F2,FD639,FD3E6
E59CD,E5C5C,E5AEA
FD3CF,FD35D,FD236
E5A7F,E5B14,E5972
FD454,FD465,FD4F6
E5B10,E59A3,E598E
FD6BD,FD5A5,FD436
E5AD8,E5998,E59BE
FD245,FD37B,FD3A6
E571E,E5AE8,E5951
FD34D,FD602,FD470
E5A16,E59F5,E59AA
FD3A0,FD2CB,FD4DD
E5C36,E5AD2,E5B38
FD6D2,FD661,FD4FD
