{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
EFBFD,EFBCA,EFC9C
10917C,109185,108FD4
F15CE,F15A0,F1485
108F05,109031,108FA3
F17A3,F1759,F17A3
109042,1091CE,108F98
F1605,F15FD,F1734
10914A,1090AF,108FC6
F1681,F15E1,F17AE
109326,1090FC,10937F
F1956,F189C,F1811
109296,1091B6,1091FA
F17B7,F1685,F1790
109145,1091EF,109184
F170B,F175F,F171E
109116,109288,10910F
F160F,F150F,F15B3
10918C,10918C,1090B8
F1962,F16A6,F1903
1091F8,1090BF,1092E8
F1665,F16B6,F16EB
1091A7,109194,1091B8
F1847,F16C8,F17C3
1092C3,109291,10924F
F1839,F18A0,F188B
1092F6,10943A,1092DF
F17B2,F1A50,F17F9
10933B,109441,109374
F18A0,F18FB,F184A
109252,1093C3,10955B
F1AB1,F19D7,F1AC2
109448,1094DB,1092B3
F1AC8,F1A67,F195A
1093A4,1094A8,1093C4
F1941,F17D7,F18AD
108534,108478,1084BA
F1C64,F1A1A,F1972
109445,109434,109503
F19CE,F1A1E,F1B10
1094B3,109306,109381
F18E1,F1AF3,F1A6C
109410,1095AF,109353
F197A,F1893,F1A56
1092D7,109440,109307
F17A0,F19BC,F198F
10952A,1093C0,1094A2
F1B24,F1A86,F1BB2
1093A0,109351,109386
F1979,F1BBC,F17B1
10940C,109467,10947C
F1A65,F1B94,F1967
1096EA,10972C,109660
F1956,F19F4,F1AA6
1094CF,1094E4,1095F6
F1B46,F1B13,F1A66
10953A,1094FB,10951F
F1C13,F1B09,F1BBA
109454,109540,109407
F1C90,F1A5C,F1B94
10957B,1095AD,1095E4
F1B3D,F1980,F19B9
1094B5,10943B,10957B
F19FA,F1B92,F1A11
10946B,1095C7,10968B
F19A6,F1B30,F19F9
109627,109669,10955E
F1ADB,F1B68,F1B54
10954E,10939A,10920A
F1AD5,F1933,F1B5E
109764,1096CA,109589
F1BFE,F1ADC,F1B61
109654,1097D0,1095DA
F1D3D,F1B86,F1BC9
10971A,109433,10971B
F1C0D,F1D08,F1C13
1096DE,109886,1097E0
F1D1C,F1A7A,F1CD5
109949,10987C,10979E
F1D0C,F1D28,F1CDE
109894,109780,109970
F1D07,F1D35,F1CDF
109804,109822,1097DA
F1CB4,F1E26,F1D1C
109958,1098A5,1097BD
F1E1A,F1D42,F1CB6
10982B,10980B,1098FD
F1C34,F1CB6,F1D4B
109861,1096CD,109891
F1BCD,F1E19,F1DA0
10971A,10984D,10990C
F1E58,F1D8B,F1E38
109888,109ABE,109820
F1F32,F1D97,F1CE9
109783,10984B,1098CA
F1DAD,F1D95,F1D4E
109791,1098AA,10993E
F1EC4,F1E16,F1D94
109824,10979B,1099AF
F1F3C,F1EBD,F1C58
109847,109964,10979A
F1C36,F1BD4,F19E1
1095D4,10955B,109645
F1AA2,F1B2B,F1A46
1095D7,10940E,10970B
F1C6F,F1C93,F1B16
1097A9,1096A5,1097C5
F1CFF,F1AB2,F1BA0
10978D,1097AA,1097A3
F1CCF,F1C37,F1E11
109703,109710,1095C6
F1BBE,F19B2,F1ABE
10947C,1096C6,10984E
F1D20,F1D47,F1AF8
10949C,109574,10970E
F1C05,F1D38,F1AC5
1097DB,1097BE,109666
F1B3C,F1A10,F1AFE
109533,1095DC,109663
F1DEA,F1D5F,F1CB4
1096C8,1095F7,10950D
F1C78,F1CA1,F1B23
109771,109655,109711
F1B3E,F1E2D,F1A62
1097B6,10968A,109655
F1DB8,F1C7E,F1CAD
109642,10972D,109846
F1EBD,F1962,F1ED3
10978A,1098E2,109A20
F1EF6,F1C7D,F1ED7
109780,1097B4,109903
F1B53,F1E3B,F1C4E
10989B,10984F,10970C
F1FE0,F1F93,F1EEE
10976B,109899,109B70
F1FE9,F1C88,F1DB5
1097CA,109B7C,109926
F1FC3,F1E3F,F20FA
1099DD,109A13,1098AF
F1E04,F1C7D,F1F36
109B0E,109B93,109854
F2021,F1CE9,F1FEA
10999A,109941,10995D
F1FEC,F20A1,F1F75
1098D3,109A9D,109A67
F2016,F200F,F2068
109B29,109B2C,10972E
F2027,F1FC4,F2127
109B04,109B10,109BA3
F2169,F1FD6,F1FAF
109A96,109B14,109AC0
F21BF,F2106,F2099
1099DC,10996C,109AB9
F2266,F2023,F2154
109D3F,109A2B,109BD6
F209A,F2234,F201D
109C94,109B74,109B0B
F1FB1,F1F85,F207F
109B9D,109B28,109B44
F209F,F2328,F216E
109BAB,109D37,109A58
F21A7,F2192,F21E9
109B11,109BD7,109D2D
F20FA,F2001,F2082
10804A,10819D,107FFE
F2343,F20B7,F2319
109AFB,109A83,109A52
F20B4,F229D,F20DB
109A76,109B4F,109A4D
F2050,F22D1,F214A
109AEC,109B8F,109DE5
F21C8,F2122,F221E
109C0C,109C80,109D01
F21C8,F2102,F2241
109B83,109BAE,109BF9
F221D,F20F2,F2364
109D7F,109D42,109C39
F22D2,F21EC,F22CB
109B62,109DD0,109E83
F2222,F241C,F2420
109D3B,109ECD,109D0C
F231C,F229B,F245F
109DC7,109D30,10A076
F22B6,F2308,F2448
109E00,109EBA,109E1A
F2413,F236A,F2201
109CC7,109D73,109EC4
F23CA,F2253,F235B
109E3E,109F74,109DA5
F2729,F26B9,F2350
109F0F,109D00,109C6F
F241F,F235A,F22E6
109DDD,109EE7,109F4B
F2314,F226A,F23EE
109D7E,109D12,109DC0
F2353,F242D,F22EF
109CFF,109DDF,109DAE
F2585,F241A,F2464
109DDE,109F96,109F96
F27B6,F251A,F258E
109F6C,109EDB,109ED3
F2497,F242E,F2499
109FDC,10A231,10A0F9
F2605,F25AD,F2577
10A122,10A0F3,10A001
F2650,F25C5,F254B
109F5F,10A055,10A106
F2627,F24B1,F2621
109F99,109FC3,109EFB
F248D,F251F,F2540
109F68,109F18,109FCC
F266B,F267F,F2651
10A0F0,109FCA,10A04D
F2576,F240E,F282A
109DCA,109EF2,10A08C
F2507,F2589,F2641
10A0B1,10A10D,10A1ED
F277F,F25ED,F2543
10A027,10A1BE,10A0C2
F255D,F256F,F2686
10A065,10A094,10A02A
F2797,F286B,F270B
10A046,10A053,109E61
F2640,F25AA,F257F
10A24E,10A0E8,10A19C
F254B,F26FA,F25E1
10A10C,109FE2,10A116
F25B7,F26BD,F251B
10A1AC,10A2C7,10A175
F2287,F227C,F23E5
109DE3,109E05,109F3A
F2435,F2358,F239B
109E5A,109D9E,109BAC
F2507,F22B5,F230B
109D2A,109D68,109EAC
F23D9,F21F1,F24C0
109ECB,109E19,109DFE
F236E,F226E,F2339
109CB4,109EC3,109D2E
F21E0,F2375,F2434
109ED8,109E37,109EBB
F229B,F24A9,F21CB
109C61,109D03,109DE7
F247E,F238D,F2230
109E97,10A057,109F73
F2408,F24E1,F24D4
109ED7,109F27,109E25
F2454,F262F,F2557
109DB2,109EB0,109E0B
F2835,F260F,F236F
109F20,109F7F,109F38
F264D,F25D8,F263B
109FF1,109E3E,109FAA
F255F,F24BE,F24B9
10A220,109E4E,10A050
F2666,F25E6,F2791
10A07C,10A032,10A023
F2600,F27AA,F28A8
10A04E,10A2A4,10A18D
F24BC,F277F,F2774
109ECE,10A33A,10A1CC
F269C,F25DA,F269A
10A21B,10A026,10A116
F27EB,F27F0,F26D3
10A1DC,10A170,10A13A
F28F5,F2682,F2642
10A2A0,10A220,10A20E
F2788,F25AD,F274B
10A310,10A1F1,10A17F
F270B,F2709,F2832
109FF0,10A0CC,10A3C0
F26F4,F2746,F28AF
10A2DF,10A2FC,10A2CC
F28B7,F294C,F28C4
10A145,10A26F,10A3FA
F2783,F2866,F2860
10A23A,10A32E,10A35F
F28BB,F2781,F2854
10A1E9,10A2A0,10A230
F2837,F2667,F28D2
10A303,10A490,10A4D8
F29A0,F2962,F2790
10A060,10A2E3,10A2DB
F2949,F27DD,F2864
10A41B,10A185,10A30F
F26F7,F266A,F2620
10A303,10A3DD,10A36A
F29B2,F27F0,F29AA
10A4A9,10A3C1,10A3DA
F2A4D,F28EA,F28DB
10A4AD,10A31C,10A20F
F2913,F2A7E,F27EA
1095AF,109695,109681
F2909,F2A2B,F29A8
10A49E,10A3E3,10A3E8
F29DD,F2A0F,F297E
10A3DF,10A3D5,10A2E0
F2872,F27EA,F2721
10A53E,10A459,10A31C
F29A2,F29AA,F2A10
10A433,10A58C,10A506
F2A22,F29C5,F2989
10A476,10A369,10A5CA
F2C88,F2AE8,F2A3D
10A5F0,10A5ED,10A79A
F2A58,F29C9,F2AA9
10A6D5,10A601,10A607
F297C,F29F9,F298A
10A59E,10A775,10A7B5
F29B6,F2B0B,F2B66
10A3E0,10A56D,10A622
F2BD6,F2B35,F2D2B
10A579,10A5D4,10A547
F2AAF,F2BBB,F2A79
10A47F,10A5B3,10A525
F2CAC,F29B9,F2BC1
10A719,10A611,10A63A
F2B43,F2B97,F2AB8
10A537,10A533,10A5D3
F2DCF,F2C5E,F2C33
10A651,10A6B1,10A60D
F2BA0,F2C58,F2D82
10A67C,10A5FF,10A722
F2DC7,F2D2E,F2BD1
10A5F6,10A5A4,10A5C0
F2ED2,F2EAA,F2CE4
10A860,10A622,10A713
F2C0F,F2DB4,F2D0F
10A930,10A6F8,10A7D6
F2F01,F2DC4,F2DEB
10A8FE,10AA6C,10A76A
F2EC0,F2FD0,F3065
10A9AF,10A83B,10A8B4
F2E79,F2EC4,F2E98
10A9C6,10A8DE,10A96E
F2CFF,F308E,F2EB2
10A9A5,10AB52,10AAD4
F2D0C,F2E52,F2E70
10A9F5,10A9EA,10A790
F2F28,F2CD7,F2E16
10ABA4,10A8FC,10AB35
F2E0C,F2E6E,F2ECB
10A921,10A768,10A980
F2DAC,F2DB5,F2FF3
10A96D,10AA03,10A9A0
F2FDD,F3070,F2F69
10A84B,10AA4A,10A8A6
F2FBE,F305E,F30A4
10AA1F,10A96E,10ABC1
F2E82,F2E8D,F30A4
10A858,10A849,10A8E9
F2EFB,F2EB1,F2DD1
10AA51,10A9DD,10A9E3
F2EE6,F300A,F2F4F
10A9D7,10A9EB,10A8F7
F308E,F2ECE,F2ECA
10A890,10AA86,10A95A
F2A8D,F2C56,F2A2E
10A4E2,10A5FB,10A68F
F2C0B,F2B79,F2AE5
10A58E,10A72A,10A5A5
F2C73,F2C47,F2CBA
10A759,10A543,10A5D5
F2CE5,F2BED,F2BFC
10A635,10A956,10A60E
F2B7F,F2C53,F2D3A
10A771,10A7F1,10A7F7
F2FBE,F2C38,F2E61
10A4C9,10A4FE,10A92B
F2DC9,F2DB5,F2CFF
10A533,10A8B8,10A789
F2EB1,F2DEC,F2C98
10A7E9,10A852,10A8CD
F2DF5,F2D93,F2B4F
10A8CF,10A70F,10A73B
F2D39,F2DB1,F2C0D
10A856,10A7EB,10A82D
F2EC3,F2ECF,F2C77
10A8BA,10A843,10A84C
