{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-672A8,-67263,-67397
-4F9A1,-4F6BA,-4F71C
-67194,-6711E,-6730F
-4F9CC,-4F74C,-4F99D
-67318,-6741D,-67381
-4F7FB,-4F7DD,-4F870
-67158,-670FE,-672D8
-4F7CD,-4F68D,-4F690
-67015,-66FD8,-67062
-4F737,-4F521,-4F61B
-66F8D,-670DF,-671E6
-4F970,-4F881,-4F7EA
-6715D,-672E9,-670B5
-4F735,-4F6CC,-4F5A4
-67294,-67257,-67133
-4F65F,-4F643,-4F6C8
-671E6,-6734B,-672EE
-4F770,-4F711,-4F805
-67389,-67215,-67153
-4F7AB,-4F77A,-4F798
-672C4,-672BD,-67226
-4F710,-4F655,-4F7D8
-670E3,-67223,-672D8
-4F89F,-4F5BC,-4F706
-671A1,-67285,-67226
-4F73D,-4F5E7,-4F626
-670B1,-67056,-67116
-4F7BF,-4F606,-4F6EE
-67394,-672DA,-672B1
-4F651,-4F915,-4F8EE
-671A7,-6728B,-672C1
-4F92D,-4F787,-4F6D7
-67231,-671E5,-67167
-4F534,-4F6B9,-4F544
-671B3,-67114,-66F4D
-4F56A,-4F4CF,-4F50F
-66FAF,-670BC,-671E4
-4F6B4,-4F64D,-4F7FD
-6709F,-67050,-671DE
-4F613,-4F5F2,-4F59E
-66F8B,-67009,-670DD
-4F751,-4F6F4,-4F635
-67177,-66FE0,-66FE8
-4F4A8,-4F5B0,-4F3D8
-66E01,-67104,-671C3
-4F4C6,-4F4E6,-4F621
-66F19,-66EFC,-66EFD
-4F436,-4F518,-4F340
-66E98,-66EA0,-67031
-4F73E,-4F6CF,-4F3E4
-67128,-67074,-66F5F
-4F638,-4F440,-4F5E3
-67148,-66EF2,-670DF
-4F6A5,-4F3E7,-4F40A
-66FB5,-66EAE,-6701F
-4F3E8,-4F4A7,-4F531
-66F01,-66FC3,-67139
-4F445,-4F45F,-4F4C8
-66E97,-66DF0,-67012
-4F418,-4F2C1,-4F21B
-6700B,-66DE2,-66BDB
-4F360,-4F3BF,-4F35D
-66E96,-66F9B,-670B0
-4F41E,-4F392,-4F2AD
-66E2C,-66D2B,-66DEE
-4F476,-4F213,-4F3FB
-66DF8,-66D96,-66D98
-4F2FB,-4F381,-4F327
-66CA7,-66ED3,-66E9A
-4F0F0,-4F60F,-4F3DB
-66CB6,-66E50,-66D42
-4F307,-4F2D0,-4F33D
-66CA8,-66D62,-66D74
-4F3BF,-4F46E,-4F030
-66DF1,-66E41,-66C70
-4F4E0,-4F311,-4F4D1
-66EBD,-66F21,-66F1F
-4F5FC,-4F60C,-4F5A2
-66E6B,-67065,-67086
-4F637,-4F5C2,-4F4DB
-66F8F,-66EEC,-6704B
-4F61D,-4F3B1,-4F5B6
-66ED1,-66E5A,-6706F
-4F426,-4F39C,-4F5E8
-66D01,-66E2E,-66EBA
-4F50F,-4F388,-4F5E5
-66F8F,-66F3F,-66EC2
-4F498,-4F4B4,-4F4AE
-66BA0,-66D72,-66E5E
-4F382,-4F3D9,-4F341
-66CB6,-66FB5,-66EF0
-4F506,-4F3FE,-4F414
-66E2D,-66F15,-66E23
-4F56C,-4F402,-4F472
-67033,-6727F,-6705B
-4F68E,-4F501,-4F4A3
-66F63,-66F6F,-66EAC
-4F46F,-4F3EC,-4F361
-66F03,-6700A,-66EE2
-4F306,-4F233,-4F35A
-66C1C,-66F9C,-66ECC
-4F2A9,-4F32A,-4F2D7
-66FD9,-66F05,-66EC0
-4F436,-4F1D7,-4F323
-66E2E,-66ED4,-66B42
-4F43A,-4F46F,-4F41A
-66F89,-66E35,-66EAD
-50598,-50491,-50597
-67130,-67101,-670CA
-4F4DD,-4F571,-4F6C5
-66ECB,-67139,-672D3
-4F550,-4F7A6,-4F4A0
-66E6D,-67038,-66DF4
-4F500,-4F650,-4F3FB
-66F4E,-67128,-66F61
-4F2BE,-4F4B2,-4F38E
-66E69,-66E64,-66FEE
-4F43C,-4F56E,-4F3F4
-66E59,-66E56,-66F3E
-4F4DF,-4F3E4,-4F48C
-66E02,-6708C,-67017
-4F6AF,-4F491,-4F498
-67103,-67090,-66F7D
-4F385,-4F521,-4F409
-66FB6,-66FCE,-66FDF
-4F55A,-4F579,-4F4EB
-66E60,-66F24,-67026
-4F49E,-4F5EB,-4F546
-66E95,-66DA3,-67075
-4F71B,-4F62F,-4F550
-66F91,-66F6B,-66EFF
-4F598,-4F2AF,-4F481
-66E14,-66E24,-66F41
-4F575,-4F3E0,-4F4BB
-66E4D,-66E9C,-66F3C
-4F4D8,-4F396,-4F4A2
-66FA7,-66FAC,-670E4
-4F5FB,-4F434,-4F343
-66F49,-66F4B,-66EE1
-4F636,-4F479,-4F7AD
-67077,-67250,-670A1
-4F6AC,-4F6EC,-4F718
-67110,-671B7,-67234
-4F7D2,-4F70B,-4F4C3
-671CB,-66F36,-66FAB
-4F621,-4F62D,-4F695
-66F51,-6709F,-6704E
-4F634,-4F3F3,-4F704
-66EF7,-67051,-66F7D
-4F352,-4F504,-4F484
-66E22,-66EC7,-67148
-4F397,-4F3EB,-4F3E2
-66F16,-67065,-67017
-4F402,-4F4BD,-4F4B1
-66F83,-671D8,-66FBB
-4F460,-4F3F2,-4F53D
-66F92,-6719B,-66EC9
-4F47E,-4F500,-4F5DE
-66EB8,-67032,-66FA0
-4F5FC,-4F619,-4F51D
-67020,-66FF4,-66E93
-4F458,-4F66B,-4F429
-6711D,-67064,-66F62
-4F61B,-4F445,-4F60A
-66ECB,-67062,-670EE
-4F687,-4F401,-4F55F
-66F35,-6716E,-66F5D
-4F4F7,-4F4D0,-4F5F0
-66E7E,-67040,-66FD6
-4F4E5,-4F2B5,-4F500
-66F66,-66E62,-66F14
-4F29D,-4F1EE,-4F2C1
-66D36,-66C89,-66E61
-4F308,-4F303,-4F3E2
-66EC5,-66D83,-66F5E
-4F365,-4F1B1,-4F464
-66BDA,-66BC3,-66CAA
-4F376,-4F37F,-4F30D
-66B4F,-66C9A,-66E7D
-4F16E,-4F189,-4F34D
-66DEA,-66E86,-66D7D
-4F44B,-4F302,-4F137
-66CEF,-66D1B,-66D1E
-4F2DE,-4F478,-4F3EE
-66DDA,-66C62,-66B85
-4F260,-4F325,-4F39A
-66D27,-66E73,-66FE3
-4F2AB,-4EF89,-4F319
-66B8A,-66CAE,-66C73
-4F3F9,-4F472,-4F326
-66DDF,-66FA9,-66EB2
-4F4AD,-4F2CF,-4F3A3
-66D5E,-66EDA,-66ED2
-4F435,-4F3F9,-4F39D
-66D64,-66FA0,-66CF3
-4F476,-4F2CA,-4F15C
-66ECA,-66F55,-66DFC
-4F3E1,-4F2E8,-4F33F
-66D62,-66C3E,-66C62
-4F0B0,-4F1DD,-4F25F
-66C4F,-66BEF,-66D57
-4F16A,-4F2BA,-4F1D6
-66D53,-66E7D,-66D73
-4F5E0,-4F3FB,-4F463
-66E7B,-66EDA,-66FED
-4F436,-4F45A,-4F547
-66FCC,-66E3B,-66E34
-4F5AF,-4F6E5,-4F4FF
-66FE5,-66FC7,-66E86
-4F482,-4F53D,-4F43B
-66D7B,-67025,-67016
