{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-58BCC,-58C41,-58C49
-41223,-41378,-413C0
-58B4D,-58CCB,-58BF5
-411B5,-4127C,-41388
-58DEF,-58C67,-58D7F
-41251,-411EC,-4123C
-58C9C,-58E2F,-58D23
-41399,-41373,-412B6
-58C89,-58C4C,-58D3B
-411F8,-414FA,-41444
-58DC8,-58EC0,-58D00
-4126B,-414A2,-4133C
-58C47,-58CCA,-58B65
-40F6F,-41129,-41292
-58BBA,-58E84,-58B7B
-4120B,-41373,-412DC
-58D8C,-58E17,-58DD9
-4124F,-4132A,-413E5
-58DCB,-58BE9,-58B85
-412A0,-4129F,-413B8
-58E0A,-58BDA,-58C89
-41293,-413CC,-411F6
-58DD8,-58CED,-58E8B
-412B6,-412B3,-41198
-58AFF,-58DB5,-58EB2
-412CB,-4102D,-41220
-58CE4,-58D21,-58B61
-410DF,-4121D,-41170
-58BA4,-58DBB,-58C0B
-41283,-4120E,-4105F
-58D9B,-58BD0,-58A11
-4135B,-41382,-4111B
-58CD6,-58D2B,-58BC1
-41173,-41340,-41354
-58D1B,-58C20,-58DA3
-41229,-412E0,-41116
-58BC2,-58C78,-58C00
-4125A,-41158,-411BC
-58D09,-58BA7,-58C35
-4130D,-41210,-41164
-58A4D,-58B6D,-58A75
-411CE,-4122B,-41149
-58E06,-58D53,-58CDB
-41482,-412E7,-4122A
-58C9E,-58EC3,-58BF7
-410B6,-41106,-4117E
-58D30,-58B65,-58D4B
-412FC,-413E7,-41263
-58B2C,-58B1E,-58D86
-41184,-4111C,-4114C
-58BCA,-58BD6,-58A98
-4130F,-4131C,-411B3
-58D18,-58C6B,-58B2A
-4119F,-411BE,-40FCD
-58C3B,-58A6B,-58C10
-412E6,-412D1,-4139E
-58B34,-58D3A,-58AEE
-41197,-40FE4,-40F87
-58CC4,-58BEF,-58CB9
-4128E,-41257,-41106
-58AEF,-58EA7,-58AF5
-4109B,-4108C,-40F97
-58BD3,-58CD9,-58B12
-41058,-4115B,-41148
-58D21,-58B84,-58CD7
-41148,-411EE,-41254
-58BB4,-58BE3,-58C70
-4133C,-410FF,-41031
-58A07,-58C9B,-58A13
-411BB,-41231,-410A2
-58A14,-58A70,-58A70
-4107A,-4111B,-40FE4
-58BE5,-58CC6,-58CA2
-4118A,-410AB,-4117C
-58B0C,-58CD8,-58B96
-4111A,-41187,-40F7C
-58B35,-58C0A,-58D60
-4113A,-40E6D,-41002
-588F2,-58AC3,-58CB0
-4108A,-411EC,-41020
-58B09,-58DC7,-58D6A
-41180,-41229,-41046
-58AF2,-58C5A,-58B92
-41186,-4132F,-41146
-58B89,-58A34,-589A8
-41080,-4111D,-4109E
-58B5A,-58990,-58BE1
-40FF8,-410C3,-41025
-58B8A,-58AC1,-589FF
-41175,-40F1D,-4102F
-588BB,-5891E,-58B4D
-410BE,-4104B,-4110E
-58B62,-58AD5,-58A00
-41AEC,-41BD3,-41D8F
-58371,-585B7,-5858A
-40C17,-409C3,-40A44
-5841D,-586F9,-58562
-40B12,-40A75,-40C8E
-58473,-5856F,-5863F
-40B3B,-40A45,-40BC0
-584C6,-5856D,-58589
-4088B,-40AC3,-40A2F
-58503,-58471,-584C5
-40B5F,-40910,-40969
-584EE,-585AB,-584B5
-4088E,-40AF6,-40971
-584BA,-584FC,-58295
-40C36,-40A1B,-40C16
-58584,-58480,-583F6
-40AD2,-40A2B,-408E0
-58542,-58481,-58541
-40AF1,-40B0B,-40A89
-58581,-584D6,-5840D
-40BF2,-40A4A,-40AB5
-58523,-5857C,-5856B
-40A79,-40C1E,-40988
-5845B,-58688,-585B0
-40A5A,-40952,-40AA6
-5838D,-5840C,-5843E
-409E6,-4089F,-40900
-584C8,-582E0,-583C4
-40AAF,-40975,-40C34
-581F1,-58439,-58344
-40B55,-40902,-40A0A
-58321,-58529,-584CE
-40933,-40A52,-4098F
-5841D,-583A3,-5850F
-40A00,-40AE1,-409D7
-58415,-58469,-58500
-40973,-4090C,-40AE5
-58537,-583BD,-58543
-40998,-40A54,-40A66
-5829A,-584BB,-5820C
-40B28,-40C24,-40989
-582B9,-583E6,-585A9
-40ACB,-409B5,-40828
-58470,-584F0,-583B4
-4075F,-40A0C,-409B0
-58390,-582D8,-58433
-40A5E,-40774,-40A07
-5832B,-58250,-58637
-40750,-4070E,-4058F
-58361,-5828C,-581D7
-40864,-4095D,-40702
-58361,-581DC,-582EA
-40995,-40AAF,-409C4
-58326,-583B4,-584A5
-40921,-408F5,-40B6E
-583A9,-583CB,-58400
-40950,-4083D,-4090B
-5826C,-582EE,-582A2
-4080E,-408DD,-4086F
-5828F,-58307,-58526
-409DD,-40928,-40946
-5842E,-5827A,-58390
-4089E,-40996,-407F9
-5821E,-582FE,-58388
-4081C,-4086E,-407DF
-58316,-583B2,-583C9
-408A8,-408C9,-4088A
-58357,-58375,-582C3
-40826,-40767,-4069F
-58193,-5815A,-581CF
-4096C,-409CD,-408DA
-5830A,-5806E,-5808C
-4098C,-40862,-406D2
-58100,-58087,-58030
-40660,-4070F,-4093F
-58331,-5832C,-58278
