{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-51A8A,-51AD2,-51AA0
-695C6,-696D4,-69666
-51C6D,-51ACE,-51CB4
-694CD,-69770,-6966C
-51C68,-51D2E,-51DF9
-6952B,-69612,-69625
-51C7B,-51C66,-51CED
-697BB,-6972C,-69751
-51B2D,-51C27,-51B05
-696E0,-69686,-697CB
-51B0A,-51AED,-51CE6
-69426,-695E8,-69588
-51B5B,-51AB2,-51C32
-69639,-6959B,-69432
-51CB6,-51BEC,-51A55
-695B7,-69567,-693E9
-51A17,-51A6A,-51B66
-69532,-69535,-695F0
-51B32,-51A1A,-51B39
-69533,-694B7,-6961C
-51BC1,-51878,-51BCB
-693C9,-694F1,-695D2
-51B72,-51942,-51C44
-69588,-694AC,-6939E
-51B84,-51A95,-51B45
-694C2,-693F3,-6952C
-51AF2,-51A2C,-519A7
-69522,-6966F,-695E9
-51BE4,-51D22,-51AC1
-693F3,-6968C,-695B7
-51BA2,-51A0C,-51AA4
-69576,-69496,-693BC
-519FF,-518EA,-51B3D
-69449,-6951F,-693D8
-519C6,-518E2,-51875
-692DB,-694AE,-694A4
-5198E,-5194C,-518B0
-69511,-6953A,-69557
-51990,-51A3D,-51A19
-693CB,-69532,-6947C
-5190D,-5174D,-51831
-693EA,-692EA,-691DA
-51AC0,-51A23,-51A18
-69610,-6945F,-694DF
-5199B,-519F8,-51991
-69462,-693CD,-694C0
-51A0C,-51876,-51912
-694FA,-69566,-694AA
-51919,-51977,-51B0E
-693A0,-693CB,-69344
-519A1,-5188E,-519AC
-6941B,-69499,-6955F
-51B2E,-5190C,-51BD8
-691D1,-69309,-69555
-51A1F,-51AD0,-51A33
-692A9,-692C1,-69371
-5242C,-5242C,-526C4
-68C99,-68D1A,-68BFA
-512FB,-51369,-511B1
-68CEE,-68C7C,-68E28
-51337,-51422,-51362
-68D2B,-68C86,-68E4D
-5139B,-514B0,-5153D
-68E70,-68D7A,-68D3D
-513D8,-51383,-5123F
-68D4B,-68D06,-68EFD
-51453,-513D6,-51537
-68E0F,-68E3B,-68EB2
-5140C,-5137B,-51276
-68F76,-68F5D,-68D75
-5132A,-51508,-513BB
-68CCA,-68D6C,-68CC5
-51274,-5130E,-512E1
-68DD7,-68CD9,-68D2F
-5115A,-512A8,-51310
-68D55,-68DC5,-68B94
-511E8,-51113,-512B8
-68CC1,-68B97,-68D19
-512D3,-51356,-5125C
-68CB1,-68D0F,-68F47
-513A0,-51378,-5138B
-68D6A,-68E6B,-68F10
-5133E,-512F3,-512D9
-68F4F,-68D77,-68FB5
-5127B,-512C5,-512D3
