{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-20BB23,-20BC22,-20BA7B
-1F4005,-1F3FCE,-1F416E
-20B896,-20B6B3,-20B853
-1F3EB5,-1F3CD6,-1F3CF7
-20B822,-20BA55,-20B88D
-1F3E6E,-1F3CF6,-1F3F66
-20B9B0,-20B7E8,-20B88F
-1F3F35,-1F3EA8,-1F3DB8
-20BA6C,-20B894,-20B7FE
-1F4047,-1F3E41,-1F3EB8
-20B56F,-20B946,-20B9BB
-1F3EF4,-1F3DC5,-1F3E37
-20B9EB,-20B957,-20B80F
-1F3D23,-1F3EF7,-1F3F0F
-20BA9D,-20B9F6,-20B82B
-1F3D90,-1F3E9D,-1F3F55
-20B7FB,-20B9B8,-20BA27
-1F3DEC,-1F3EEF,-1F404B
-20B81C,-20BACC,-20BA89
-1F3F18,-1F3E15,-1F4028
-20B965,-20B9ED,-20B9F6
-1F404D,-1F3F14,-1F410F
-20B921,-20BA84,-20BA1B
-1F40C1,-1F3FCA,-1F407D
-20BB02,-20BAA6,-20B9E8
-1F4016,-1F3EDD,-1F3EA8
-20B960,-20BA27,-20B97C
-1F3F6E,-1F3FFB,-1F3F7B
-20B889,-20BAB5,-20BB20
-1F4110,-1F41A4,-1F40D4
-20B8C7,-20BBB6,-20BB66
-1F40DC,-1F3DDA,-1F404B
-20BBBA,-20BCB6,-20BB13
-1F4127,-1F41DE,-1F3FB6
-20BCED,-20BD62,-20BB8C
-1F4292,-1F424F,-1F41CC
-20BC86,-20BE10,-20BD29
-1F413A,-1F4505,-1F43D6
-20BDA3,-20BC0F,-20BE79
-1F43F6,-1F4451,-1F4563
-20BC3A,-20BDE9,-20BFBD
-1F44AD,-1F436C,-1F4357
-20BDBA,-20BF53,-20BD68
-1F44AD,-1F43A5,-1F4532
-20BECF,-20BF72,-20BEBE
-1F451A,-1F43B7,-1F44B9
-20BD01,-20BEC0,-20BE9E
-1F42AF,-1F4523,-1F4566
-20BF57,-20BF71,-20BD26
-1F4407,-1F437D,-1F4396
-20BC95,-20BCB1,-20BBFF
-1F44DC,-1F42E9,-1F4526
-20BCBD,-20BD63,-20BC40
-1F420F,-1F4509,-1F4384
-20BE06,-20BEFC,-20BF06
-1F43FA,-1F43CA,-1F4488
-20C14B,-20BF49,-20BD55
-1F4518,-1F43A5,-1F43AF
-20BFB7,-20C17D,-20BF0C
-1F446D,-1F46B6,-1F4380
-20BECA,-20BF4E,-20BF82
-1F43EF,-1F4409,-1F43BE
-20BFD9,-20BF71,-20C12C
-1F43CF,-1F459C,-1F43E6
-20C126,-20C034,-20C031
-1F43E6,-1F449F,-1F440D
-20BCFE,-20BE6B,-20BCD5
-1F433A,-1F430C,-1F443D
-20BDC6,-20BE87,-20BE33
-1F424E,-1F42D1,-1F4179
-20BED2,-20BD48,-20BD51
-1F42F7,-1F4336,-1F43DE
-20BDC5,-20BE6A,-20BD9A
-1F433E,-1F44B3,-1F429F
-20BD65,-20BD9C,-20BF15
-1F43F8,-1F43AC,-1F4377
-20BEC3,-20BDFC,-20BF58
-1F43C4,-1F427C,-1F4471
-20BDD3,-20BE26,-20BE38
-1F430F,-1F4507,-1F4451
-20BEC1,-20BF8D,-20BDA1
-1F42BF,-1F427D,-1F4391
-20BEBB,-20BF11,-20BE6C
-1F4653,-1F449C,-1F44CD
-20BDEE,-20BDED,-20BD85
-1F45CC,-1F42C7,-1F4560
-20BE44,-20BF20,-20BF0A
-1F4464,-1F4587,-1F42E6
-20BD73,-20BDAF,-20BF6F
-1F432E,-1F461B,-1F4595
-20BE4B,-20BE5A,-20BEAC
-1F439C,-1F4591,-1F452B
-20C02B,-20BE7E,-20C05A
-1F4532,-1F45BE,-1F45CA
-20C01B,-20BEF3,-20C038
-1F452B,-1F43E2,-1F453D
-20C041,-20C034,-20C19C
-1F4B20,-1F49FC,-1F48BE
-20BB63,-20BA4A,-20BB34
-1F417E,-1F413F,-1F3FC0
-20BAD9,-20B9E5,-20BC60
-1F4101,-1F4087,-1F40DB
-20BB48,-20BC2B,-20BAD6
-1F410C,-1F4010,-1F4267
-20BC30,-20BC1C,-20BC8A
-1F40D1,-1F3FE8,-1F3FF0
-20BA62,-20BA6F,-20BD0E
-1F3FEC,-1F4280,-1F4336
-20BB3D,-20BC6C,-20BB43
-1F40A2,-1F411E,-1F40B9
-20BC66,-20BC4E,-20BC98
-1F427F,-1F42C5,-1F3FBB
-20BBE5,-20BB88,-20BBD6
-1F3F7F,-1F40E4,-1F40FD
-20BA65,-20BAD7,-20BD0D
-1F413B,-1F42E8,-1F3F58
-20BA78,-20BAB9,-20BD02
-1F40F7,-1F4201,-1F4126
-20BB5D,-20BB8A,-20BD78
-1F42E0,-1F4259,-1F4222
-20BC83,-20BD32,-20BCA9
-1F41FD,-1F415D,-1F4208
-20BC02,-20BB77,-20BDDF
-1F42C4,-1F43E2,-1F42A0
-20BC35,-20BDBD,-20BE1F
