{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
D24F,D3F9,D15D
-A7A9,-A831,-A759
D28C,D2C5,D276
-A9CA,-A918,-A7B8
D229,D2B2,D54D
-A805,-A8AD,-A7BB
D274,CFFC,D1CD
-A938,-A9AA,-A9FF
D170,D16A,D27E
-A847,-A971,-A9A8
CFD7,D11E,CF9A
-A975,-AA5B,-AA6B
CFB2,CF35,CF63
-AA8C,-AAB6,-AA81
CFC2,CF9B,D102
-AA2C,-AA5A,-ABAC
CF20,CF3F,CDE0
-AB7E,-AAA4,-AA65
D05E,CE60,CF6D
-AAE5,-ABEA,-AB3A
CE32,CF35,CDBB
-AB00,-AA98,-AA96
CF42,D2BE,D0E2
-A869,-A580,-A931
D03A,CEA3,D0F1
-AB0E,-AC5B,-AA65
CE11,CFC5,CFD2
-ABFF,-AB98,-AB3B
D01D,CF39,CF62
-AA49,-AD79,-AB7D
D06D,D034,CF22
-A905,-A87E,-A92F
D00F,D0C2,CFBA
-A866,-A786,-A93C
D1C3,D296,D2AC
-A8CC,-A7AF,-A986
D2F0,D14F,D179
-AA0B,-A8BB,-A948
CEB8,D01A,D18A
-A8C7,-AACF,-AA3A
CFDF,D146,CF99
-A904,-A7D0,-A804
D39D,CEE0,CEFD
-A8B8,-AB12,-A968
CFFE,D0B2,D091
-AB95,-A9BE,-AB0D
D22E,D1AA,D0E9
-A89D,-A830,-AA9A
D209,D059,D161
-AA2C,-A911,-A929
D1B3,D0CC,D11B
-AA7A,-A946,-A9CA
CD7D,CED6,D076
-A883,-AB5D,-A993
CFE9,CEF3,CF35
-AAF1,-A997,-AB20
CF20,D0BC,CFFD
-A985,-A994,-AA6F
D157,CFB1,D019
-AC00,-ABAF,-AA94
CDE0,CF2B,CEC4
-AB92,-AC1F,-AC23
DCAE,DB8E,D94C
-9959,-991D,-9A5C
E0CC,DF88,E037
-997E,-9A70,-9A89
DE08,E036,E09A
-992D,-99B7,-988E
E0E5,E01F,E034
-99D9,-9A33,-9B06
DF7A,E129,E129
-98FE,-98E9,-9A3E
E07E,DF04,E0BB
-98A7,-9998,-9A23
E13C,DE96,DFDC
-99DA,-99E9,-997A
E1B7,DF76,DEA7
-9A0D,-9C8E,-9C7C
DF42,E04B,DF79
-9B0D,-9B17,-9A6D
DFCF,DFFB,DDAE
-9ACE,-9B44,-9C03
DF0C,DEA9,DEF7
-998E,-99AB,-9B51
DD8B,DE56,DFF6
-9A86,-9B74,-9900
DE79,DF0C,DF37
-9B7F,-9813,-983E
DE9C,DF59,DCE5
-9B4C,-9E71,-9B32
E004,E17C,E19E
-9AAF,-9B1E,-99CE
DF7B,DFE6,DF96
-9ABC,-99C2,-9B55
DF8F,DE79,DD6A
-9957,-99C1,-98D8
DFBB,DF3B,E07B
-9B80,-9A5E,-9BCF
E031,DD78,E243
-98F7,-999B,-9A96
E04E,E014,E011
-99A2,-9929,-9A05
E12A,E111,E052
-9B1F,-9AFA,-9A64
DE35,E05D,DFA3
-9878,-9A2C,-9B7E
DEE3,E02E,DFC4
-9A2A,-9C48,-9AF3
DDDF,DD9D,E0E5
-9ABC,-9A19,-9AB7
E01A,E14C,E0FE
-9973,-9AA0,-9B3C
E140,E09F,E0D7
-9AFB,-99E9,-9973
DEB6,E042,DF5E
-99E4,-9B3A,-9AA9
DFAF,DF3A,DF2F
-9BAB,-9B23,-9CF1
DEF0,E07F,E061
-9BE7,-9C64,-9B5B
DFA3,DC7F,DE51
-9BE3,-9AFA,-9CB6
DEB4,DEB5,DF92
-9E91,-9BD4,-9CC4
DD8B,DCF9,DDA5
-9BAC,-9BFD,-9BD7
DD19,DCA9,DE0B
-9E86,-9E3D,-A052
DA37,DBE8,DBAE
-9CFD,-9DDD,-9C2F
DC52,DAAD,DB47
-9EC5,-A23D,-9F30
DABF,D983,DBFA
-9FAD,-A1B5,-9F5B
DA1B,DAA9,DB1C
-9F80,-A2B4,-A104
D802,D95D,DB8F
-9F96,-A071,-9F89
DB10,DAF3,DAB2
-A0DE,-9E81,-9E68
DC0B,D9FD,DC38
-A0D9,-9F7F,-9F98
DB11,DB61,DD73
-9F56,-9EB5,-9E03
D9AA,DB86,DB7B
-9ED9,-9E62,-9EFC
DB7F,DCAF,DC6D
-9FB0,-9E9D,-9F7E
DAB3,DB4A,DAC1
-9FC5,-9FF6,-9F71
DA82,D952,DB09
-9F26,-9FA9,-A078
D9CC,D93B,D956
-A062,-A106,-A0DF
D90F,DA00,DA51
-9F48,-9E9B,-A038
D925,DBBA,D996
-9FF3,-9F60,-9FDE
D9B4,DB4F,DD46
-9E17,-9E8C,-9C45
DBFC,DB9F,DC7F
-9BDB,-9E8F,-9E09
D9F4,DD61,DBF7
-9DDA,-9D21,-9F0F
DB20,DB42,DAF1
-9ED9,-9FA6,-9DEF
DBE0,DCE7,DBC8
-9E1E,-9EC3,-9E49
DC21,DADE,DAEA
-9D8E,-9EE8,-9F50
DAA4,DB85,D8FD
-9E9D,-9E63,-9F29
DA02,DB46,DC56
-9EEF,-9FB7,-9FA3
DAC1,DB66,DA7A
-9F28,-9F89,-A0B8
DAB1,D8DA,DB87
-9F4B,-9E6B,-9DB1
DA2B,D975,DA0C
-A000,-A089,-9F24
DB79,DBC7,DB66
-A0E2,-A166,-9F27
D992,DBB6,DBB6
-A0A7,-A0F9,-A0ED
D7F4,D9B2,DA91
-9E89,-9E77,-A064
D9C2,DA65,D941
-A19D,-A316,-9FE3
D98E,D920,D942
-A1D1,-A22B,-A043
D623,D526,D387
-9C91,-9B7E,-9C92
DE78,DEE5,DE93
-9AF8,-9BC8,-9B04
DD9C,DE6A,E0C2
-9A0F,-9A8B,-9CB5
DDBE,DDB5,DE62
-9C65,-9C59,-9BAF
DD65,DEFF,DFF3
-9D9A,-9BDB,-9C28
DF88,DD61,DE87
-9AB9,-9B26,-9BFE
DE79,DEF7,DDF9
-9C1D,-9D92,-9BAC
DD8C,DE0E,DECF
-9C92,-9D31,-9ACC
DEDF,E057,E191
-9884,-9950,-9C80
DC59,DF3E,DF4B
-9B3C,-9D2B,-9C33
DFD6,DE9E,DDBD
-9B2E,-9C6D,-9C34
DE63,DE74,DE02
-9C32,-9CE7,-9E11
DF3F,DCFC,DEFB
-9D9C,-9CDC,-9E82
DD99,DBAB,DE71
-9BBE,-9C75,-9E37
DC11,DC91,DBB0
-9E95,-9C9C,-9C8B
DBBF,DC7E,DAD1
-9F3F,-A00C,-9ED3
DD55,DD05,DD51
-9CB6,-9D49,-9D88
DC68,DFE9,DD3D
-9AEC,-9BFA,-9CB5
DEE0,DCC5,DF6B
-9CFA,-9E13,-9D50
DDFF,DDB6,DFA7
-9CD0,-9CEF,-9C90
DDA5,DE3A,DDA9
-9B01,-9D4D,-9B55
DC90,DD77,DD97
-9BB0,-9C9E,-9D00
DCF4,DDB3,DB36
-9B01,-9E02,-9C3B
DD27,E09B,DD64
-9BD2,-9AB3,-9CD9
DEFC,DE6D,DF23
-9BBE,-9B7A,-9D3D
DD1A,DD0C,E044
-9CA4,-9CBF,-9C14
DD64,DDB8,DE60
-9C14,-9B9F,-9D4C
DDC5,DE9A,DDF1
-9BC1,-9CB7,-9CC1
DE13,DF33,DC55
-9D43,-9C4F,-9D1E
DBEA,DC7A,DBE4
-9F7A,-9F98,-9E61
DB24,DD79,DB06
-9F76,-9E4B,-9E7A
DBD8,DAC2,DC77
-9ED4,-9DCF,-9CC2
DCE6,DC99,DC9D
-9EB4,-9FF4,-9F69
D951,DB5A,DAE5
-9FFD,-A04F,-A05C
DBAA,DA6F,D9FE
-A0AA,-A1A9,-A1FD
D792,D83E,D9B1
-A24D,-A152,-A1C0
D6EE,DA4C,D837
-A101,-A1C0,-A21C
DA6F,D6A5,D934
-A19C,-A077,-A0EA
D8D6,D9B3,D883
-A2E9,-A281,-A0DB
D758,D82D,D8B4
-A3F4,-A20D,-A1EA
D98B,D822,D965
-A154,-A1A9,-A25B
D959,D985,D991
-A0D3,-A11F,-A180
D811,D7D7,D76E
-A263,-A4D7,-A1D9
D88C,D8B7,D7A7
-A344,-A137,-A30F
D86F,D904,DADD
-A204,-A326,-A352
D721,DA1D,D6D2
-A3BF,-A167,-A3CC
D81A,D4F4,D9E5
-A19B,-A21C,-A20A
D6EA,D6A3,D8A1
-A284,-A2A5,-A162
D782,D76B,D665
-9E80,-A0A1,-A1A8
D921,DA01,DA71
-A1A9,-A0A2,-A114
D9F0,D8D9,D80B
-A0CC,-A2EF,-A25B
D7E4,D9DE,D894
-A2C3,-A300,-A276
D893,DA89,DADF
-9F5D,-A013,-A100
D729,D5F7,D8D6
-A2D4,-A2F9,-A24E
D820,D77F,D86B
-A29D,-A23D,-A097
D88A,D79C,D72E
-A102,-A2D7,-A0F6
D901,D993,D875
-A0C4,-A140,-A2DA
D774,D8E2,D626
-A12E,-A181,-A124
D9A5,DA05,D8D5
-A438,-A23E,-A12F
D7E0,D7A5,D67D
-A247,-A332,-A1B6
D842,D8F5,D85C
-A149,-A156,-A012
D7FC,D75C,D8E2
-A353,-A15E,-A1A0
D86E,D9BF,D8A6
-A2F5,-9FD1,-A1D8
D869,D91D,D7EF
-A1C5,-A1F0,-A27C
CD7F,CD68,CCEE
-9C5C,-9F62,-9E70
DCE4,DC3B,DC57
-9CD4,-9F5D,-9D61
DC5D,DD83,DBAB
-9C35,-9E47,-9E5E
DC64,DBA9,DC99
-9EF3,-9EB5,-A12E
DC81,DB0F,DB8C
-9E38,-A020,-A018
DB68,DC29,DD1D
-9CC9,-9DC8,-9C9F
DABE,DB44,DB2B
-9EC3,-9DCD,-9C21
DB65,DBBA,DA8D
-9F78,-9E3F,-9D1A
DB9F,DAEB,DDA0
-9ECD,-9F10,-9EA4
DACE,DB37,DB09
-9EAA,-9F72,-9EE1
DB95,DB83,DA93
-9EF1,-A055,-9F3D
DA60,DACF,D9AC
-A165,-9FC0,-A08D
D92D,D9A1,D938
-A1DD,-9F72,-A009
D926,D8DB,DA8B
-A0A3,-A00E,-A229
D92B,DB0E,DC73
-A108,-A1E3,-9FBE
D76C,D8FC,D7C4
-A2F3,-A1CF,-A21E
D8D9,D9DD,DA3D
-9E82,-9DA3,-9EBF
DB26,DBB8,DBC9
-A023,-A06A,-9D3B
DDB8,D9DB,DD3E
-9DB9,-9DB1,-9DFF
DA60,DA6D,DA81
-9D9B,-9E24,-A04F
DE02,DD6D,DBD3
-9CD3,-9EA4,-9E7D
DBFA,DC32,DB61
-9FD3,-A012,-9F98
DBDD,D99B,D9DB
-9FBD,-9F21,-9F0C
DB16,DAC7,DBAA
-9EC2,-9F20,-9F2C
DB53,DBA8,DCDC
-9FE4,-9E0D,-9F48
D914,D919,DD06
-A1E2,-A0FB,-A154
D94B,D8E8,D8C6
-A158,-A0BA,-A096
D81F,D813,D861
-A190,-A1BC,-A2D4
D86F,D963,DA05
-A056,-9F52,-A11A
D959,DA4A,D8F1
-A0F4,-A0F3,-A24F
D88E,D91C,D8A9
-9F17,-A106,-A0F2
D6C7,D828,D989
-A084,-A27C,-A10B
D7DE,D750,D738
-A2A5,-A4A4,-A303
D640,D58B,D611
-A4EA,-A419,-A358
D6DB,D6E1,D5E8
-A35A,-A1D2,-A3EF
D785,D546,D7B6
-A3DE,-A498,-A414
D63A,D4F0,D7C3
-A5AB,-A5F8,-A606
D426,D5A1,D4B8
-A6FC,-A563,-A4E4
D541,D3F1,D320
-A560,-A4CF,-A549
D3E7,D39F,D399
-A672,-A562,-A5C1
D43B,D690,D5EC
-A477,-A5E4,-A61C
D514,D447,D2D2
-A667,-A56E,-A652
D3B7,D4B0,D61E
-A719,-A6CB,-A63C
D2B5,D505,D587
-A7E3,-A754,-A77C
D2E3,D29A,D5B8
-A4EB,-A551,-A65A
D25D,D3E5,D457
-A59F,-A488,-A34A
D571,D422,D5F9
-A67A,-A851,-A6BF
D297,D346,D40A
