{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
F2BFB,F2AF1,F2C93
DB1BA,DB206,DB173
F2E8B,F2CC8,F2C3C
DB375,DB27B,DAFFB
F2A75,F2BA6,F2D46
DB1F2,DB156,DB0B8
F2BBF,F2D57,F2ECC
DB196,DB211,DAF03
F2AA7,F2A2D,F2B46
DB1C0,DAF96,DB095
F1C89,F1CBE,F1E07
DBA35,DB9A0,DB9C6
F3289,F3433,F3575
DB98D,DB962,DB946
F333D,F32FC,F3670
DB97E,DBA46,DB6EB
F3447,F339C,F348B
DBA3F,DB8E0,DB9FB
F3532,F3560,F363A
DBCE1,DBC21,DBCFD
F35D4,F36BE,F3674
DBD13,DBA51,DB8B1
F3764,F347C,F336B
DBC50,DBAB6,DBA87
F3554,F3488,F339C
DBB70,DB9E4,DB9C4
F352D,F33EC,F371B
DB93A,DBA31,DBC13
F355D,F3420,F333C
DB986,DBB72,DB97E
F34B5,F3450,F3475
DBA92,DBA11,DB708
F32CB,F337C,F34AB
DB93C,DBA24,DBBA6
F34CE,F3572,F3518
DBC62,DBBDB,DBB80
F3558,F3569,F34ED
DBBD0,DBAB5,DBB77
F35ED,F3673,F36A7
DB9C1,DBA77,DBA47
F3583,F340D,F327A
DBAC1,DBB0F,DB8C4
F32FB,F341D,F32BB
DB833,DB743,DB841
F30E8,F339D,F345D
DB897,DB747,DB906
F3422,F3325,F3380
DB97C,DB9CB,DBA2E
F332D,F3222,F31BA
DB9D0,DB7F5,DB97C
F331E,F33A9,F3478
DB947,DBA72,DBA26
F3409,F34AE,F339B
DB9A6,DBA6B,DB8B4
F3210,F318E,F3266
DB9F2,DB91A,DB90F
F32E6,F3271,F3283
DB978,DB9C0,DB813
F3255,F3500,F3330
DB92E,DB79B,DB72F
F30A3,F32BA,F3389
DB6B3,DB960,DB8FF
F3420,F325C,F32D1
DB8C4,DB7C9,DB8AB
F322A,F3297,F3194
DB708,DB7B9,DB92E
F3468,F3232,F328F
DB73A,DB774,DB89A
F3302,F3308,F3268
DB922,DB791,DB72B
F321B,F3425,F32DE
DB9BD,DB6FC,DB812
F3308,F30EF,F342F
DB86E,DB964,DB94E
F3386,F31C1,F322E
DB8BE,DB822,DB8CD
F3255,F3201,F3098
DB77B,DB6D3,DB823
F32BA,F328D,F31C8
DB780,DB7E7,DB8F8
