{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1E0BA7,-1E0B8C,-1E0B84
-1C8ED9,-1C902E,-1C8F0D
-1E0A78,-1E0C0C,-1E0CA3
-1C9325,-1C9376,-1C9250
-1E0C95,-1E0C61,-1E0B76
-1C92F4,-1C918E,-1C9228
-1E0D98,-1E0A21,-1E0B6A
-1C9147,-1C9184,-1C9199
-1E0A41,-1E0CD6,-1E0A78
-1C90CB,-1C90B8,-1C90B0
-1E0A5B,-1E0CEA,-1E0A63
-1C9196,-1C90FB,-1C90E4
-1E0A3F,-1E0B78,-1E0B84
-1C931B,-1C91D4,-1C92FB
-1E0AB4,-1E0A04,-1E0CC5
-1C91F9,-1C9016,-1C9049
-1E0B50,-1E0C7F,-1E0D96
-1C91FA,-1C9220,-1C9222
-1E0EBE,-1E0BD5,-1E0D04
-1C9207,-1C937B,-1C918E
-1E0E04,-1E0B48,-1E0CDA
-1C92EC,-1C919A,-1C931C
-1E0CED,-1E0A1E,-1E0D38
-1C92B5,-1C8F35,-1C9039
-1E0BA6,-1E0C2E,-1E0C30
-1C9134,-1C918E,-1C9225
-1E0C14,-1E0E72,-1E0D1C
-1C91EA,-1C9167,-1C931F
-1E0CC5,-1E0DD8,-1E0D56
-1C90B3,-1C9159,-1C916B
-1E0D6E,-1E0DC6,-1E0BD3
-1C92C3,-1C932C,-1C9289
-1E0D22,-1E0F17,-1E0BA3
-1C920E,-1C938C,-1C9461
-1E0F28,-1E0C66,-1E0D87
-1C9437,-1C935F,-1C953A
-1E0DEB,-1E0E0C,-1E0F41
-1C94CD,-1C925E,-1C93F8
-1E0DE5,-1E0E05,-1E0CAC
-1C94B2,-1C9257,-1C93D4
-1E1006,-1E0F25,-1E0DEC
-1C93B6,-1C930B,-1C94AC
-1E0F32,-1E0D9F,-1E0E7A
-1C92F1,-1C936D,-1C9311
-1E0C3B,-1E0DCE,-1E0F0E
-1C926F,-1C92B2,-1C921C
-1E0E2C,-1E0DB9,-1E0E09
-1C949C,-1C92F4,-1C9372
-1E10B7,-1E0FA4,-1E0FD4
-1C93CE,-1C94BB,-1C951C
-1E0E83,-1E0F16,-1E0E16
-1C9435,-1C9295,-1C93E8
-1E0C72,-1E0D08,-1E0DBE
-1C9379,-1C934E,-1C93C3
-1E0E89,-1E0DD0,-1E0E1C
-1C950C,-1C94A4,-1C9337
-1E0E89,-1E0D15,-1E1067
-1C9593,-1C936E,-1C941A
-1E0EE8,-1E0E99,-1E0D95
-1C935E,-1C93E8,-1C92E5
-1E0ED5,-1E1029,-1E0E5A
-1C9478,-1C92A3,-1C92AF
-1E0D9A,-1E0E3C,-1E0F4E
-1C940D,-1C947C,-1C9584
-1E110C,-1E0F65,-1E0F2C
-1C9504,-1C9544,-1C95D5
-1E1027,-1E0F41,-1E110D
-1C9660,-1C94C3,-1C93C6
-1E1021,-1E0F68,-1E0F5C
-1C94B7,-1C93F8,-1C9284
-1E0E10,-1E0EC8,-1E0E96
-1C9397,-1C944B,-1C9512
-1E0FB0,-1E0F19,-1E0ED7
-1C9537,-1C951E,-1C9505
-1E0EAE,-1E0EFE,-1E0ED0
-1C938C,-1C9419,-1C938A
-1E0F4C,-1E0F9F,-1E0EA5
-1C938F,-1C9528,-1C94C9
-1E0E88,-1E0F41,-1E102B
-1C933D,-1C9360,-1C942A
-1E0EB6,-1E0FC2,-1E10EC
-1C951A,-1C9443,-1C95B3
-1E0DEF,-1E0FEB,-1E0DD6
-1C93CF,-1C94B3,-1C97DB
-1E0E57,-1E0DFC,-1E0D88
-1C94ED,-1C965F,-1C93D2
-1E0EDB,-1E0FB5,-1E0ECE
-1C9674,-1C9345,-1C9395
-1E0D64,-1E0E2A,-1E0F54
-1C93EA,-1C93C8,-1C93EC
-1E0F95,-1E0F42,-1E0E19
-1C951C,-1C945A,-1C9480
-1E0F5A,-1E0E99,-1E1009
-1C95A7,-1C95C6,-1C934B
-1E0DF8,-1E0E8A,-1E0F5C
-1C954E,-1C9539,-1C9308
-1E10AD,-1E0F7B,-1E0F01
-1C9621,-1C954D,-1C93FE
-1E0EC7,-1E0FF1,-1E0FE0
-1C93F5,-1C95F4,-1C94BB
-1E0EBA,-1E1026,-1E0FE2
-1C9399,-1C9312,-1C9574
-1E0FC7,-1E0F71,-1E0F7B
-1C9501,-1C9504,-1C9663
-1E1096,-1E0EF9,-1E106A
-1C95E5,-1C9733,-1C942B
-1E0F91,-1E0E2F,-1E0D71
-1C9340,-1C9440,-1C9442
-1E0FEF,-1E10DD,-1E0EA7
-1CA0EC,-1C9FC1,-1C9E9E
-1E0AE0,-1E0CE5,-1E0C5E
-1C8FE3,-1C916B,-1C9124
-1E0AB1,-1E0B11,-1E0C3B
-1C907F,-1C914C,-1C8FD7
-1E0BEC,-1E0B05,-1E0BC0
-1C90EE,-1C8FF5,-1C92A3
-1E0B56,-1E0B6C,-1E0B38
-1C9262,-1C8F0F,-1C9003
-1E0A90,-1E0B88,-1E0BE9
-1C902C,-1C92EB,-1C91CD
-1E0970,-1E0BFE,-1E0B3D
-1C91A0,-1C9154,-1C9032
-1E0AC9,-1E0A12,-1E0C6C
-1C8F64,-1C907F,-1C913A
-1E0A95,-1E0A16,-1E08C4
-1C9164,-1C8FA7,-1C8FF6
-1E0BE5,-1E0DE2,-1E0B78
-1C9213,-1C9194,-1C9144
-1E0C28,-1E0CE7,-1E0C61
-1C924C,-1C9092,-1C9328
-1E0B49,-1E0C88,-1E0C28
-1C93E7,-1C91BB,-1C9111
-1E0CFA,-1E0CB1,-1E0D31
-1C926A,-1C923B,-1C91E7
-1E0CB0,-1E0BC7,-1E0CED
-1C9412,-1C9097,-1C9277
-1E0BBD,-1E0E95,-1E0C1A
-1C9217,-1C91AD,-1C90AE
-1E0C1A,-1E0C36,-1E0C5B
-1C93BD,-1C921C,-1C9216
-1E0C7B,-1E0D11,-1E0B36
-1C920A,-1C91BC,-1C9035
-1E0BFC,-1E0DF4,-1E0BDF
-1C9356,-1C9227,-1C90CE
-1E0D7A,-1E0DA0,-1E0C14
-1C9392,-1C9220,-1C914A
-1E0D64,-1E0DAC,-1E0BDA
-1C91A9,-1C938D,-1C91CC
-1E0EA6,-1E0DB4,-1E0D5E
-1C924C,-1C9216,-1C90E6
-1E0BAD,-1E0C9D,-1E0D48
-1C9117,-1C9302,-1C9273
-1E0C84,-1E0CE8,-1E0F8E
-1C9274,-1C9191,-1C9322
-1E0C27,-1E0C3A,-1E0C7B
-1C92F9,-1C93B4,-1C931E
-1E0D71,-1E0D16,-1E0D5F
-1C91DD,-1C9201,-1C90BC
-1E0F1C,-1E0D19,-1E0CFA
-1C92A5,-1C943E,-1C9328
-1E0EB5,-1E0D44,-1E0EAF
-1C9329,-1C90DC,-1C9297
-1E0CDF,-1E0D43,-1E0E43
-1C9266,-1C9181,-1C93B5
-1E0DE4,-1E0D1D,-1E0D6D
-1C947C,-1C93BA,-1C9350
-1E0DBD,-1E0F0A,-1E0D0F
-1C91F8,-1C92CB,-1C9318
-1E0C70,-1E0D7D,-1E0E63
-1C9167,-1C93A4,-1C9413
-1E0F08,-1E0E5E,-1E0C7C
-1C929F,-1C927F,-1C910A
-1E0C30,-1E0D4F,-1E0C91
-1C9107,-1C92C5,-1C91CA
-1E0D70,-1E0D68,-1E0E0F
-1C94D2,-1C9398,-1C95C7
-1E0EE6,-1E0E16,-1E0E48
-1C9408,-1C9297,-1C9382
-1E0EC1,-1E0D4F,-1E0E8E
-1C9541,-1C94A5,-1C9457
-1E0E9F,-1E0E1D,-1E0DDC
-1C93A0,-1C9558,-1C9357
-1E0C7B,-1E0D2B,-1E0ECC
-1C949B,-1C9315,-1C951D
-1E0C9B,-1E0D2C,-1E0DCE
-1C933A,-1C91C5,-1C945C
-1E0D87,-1E0D6F,-1E0EC9
-1C92E0,-1C9347,-1C93C2
-1E0D8F,-1E0CD8,-1E0D93
-1C928F,-1C9095,-1C9277
-1E0EA4,-1E0DCA,-1E0E01
-1C94AA,-1C9439,-1C94E5
-1E0DF6,-1E0EF2,-1E0CEB
-1C9515,-1C92F3,-1C936C
-1E0E56,-1E0ED8,-1E10B0
-1C94D6,-1C9344,-1C95B8
-1E0E65,-1E0EB5,-1E1074
-1C9295,-1C93E7,-1C922E
-1E0D45,-1E0FDA,-1E0FAB
-1C9647,-1C95D1,-1C93E0
-1E0FF8,-1E0E22,-1E0CE7
-1C93FB,-1C9408,-1C93F5
-1E0E6D,-1E0E5B,-1E0DDA
-1C92F7,-1C9416,-1C9516
-1E0E69,-1E0F48,-1E0ED0
-1C9389,-1C9532,-1C953C
-1E0E7B,-1E0DF5,-1E0DDD
-1C947A,-1C94B4,-1C9393
-1E1094,-1E0F90,-1E0F96
-1C959E,-1C94CF,-1C9473
-1E0CFB,-1E0FA5,-1E0F2C
-1C94CD,-1C957B,-1C959D
-1E0EC7,-1E102E,-1E1032
-1C960F,-1C94F6,-1C9451
-1E0F6F,-1E0EEA,-1E0F68
-1C9426,-1C948A,-1C95C2
-1E109B,-1E0F0D,-1E0DCD
-1C955B,-1C9562,-1C93F0
-1E0E69,-1E1060,-1E0F4D
-1C9450,-1C93DB,-1C948C
-1E0F21,-1E0EEC,-1E0F65
-1C9392,-1C9385,-1C93EC
-1E10F4,-1E0F9F,-1E0FAF
-1C9522,-1C9532,-1C9538
-1E0DD0,-1E0E33,-1E0EEF
-1C93B4,-1C96A1,-1C9401
-1E0F7C,-1E1062,-1E109C
-1C960C,-1C9557,-1C95C7
-1E1092,-1E0F65,-1E0EDD
-1C9411,-1C945B,-1C95C8
-1E0F34,-1E1006,-1E0F74
-1C9604,-1C963A,-1C9659
-1E10AC,-1E0E69,-1E100F
-1C93DB,-1C952E,-1C9416
-1E0D41,-1E0F56,-1E1023
-1C9549,-1C950B,-1C95C2
-1E0FB9,-1E0EAD,-1E0F1D
-1C9B3A,-1C991C,-1C991C
-1E134F,-1E15BA,-1E151B
-1C9A03,-1C99A2,-1C9B55
-1E1410,-1E160F,-1E1479
-1C9885,-1C99F5,-1C99EC
-1E14D2,-1E1456,-1E159C
-1C9C3A,-1C9AE7,-1C9A2C
-1E14F8,-1E14DA,-1E15DA
-1C9CBC,-1C9991,-1C994D
-1E132E,-1E1634,-1E16A0
-1C9B54,-1C9AD4,-1C9B25
-1E14ED,-1E1461,-1E140B
-1C99E4,-1C9A4A,-1C9A58
-1E1404,-1E1372,-1E1311
-1C9BA9,-1C9B3A,-1C9B6E
-1E15D9,-1E15B7,-1E16E3
-1C9C2B,-1C9B5D,-1C9BC9
-1E1652,-1E1601,-1E1514
-1C9C17,-1C9B2C,-1C9BF2
-1E1665,-1E156D,-1E1383
-1C9B68,-1C9BA8,-1C9BF0
-1E14E3,-1E15F2,-1E173F
-1C9CAD,-1C9BB8,-1C9B16
-1E1533,-1E1710,-1E156F
-1C9B05,-1C9BB6,-1C9B65
-1E1598,-1E1616,-1E165C
-1C9BDA,-1C9ADC,-1C9A6C
-1E13E7,-1E1300,-1E1533
-1C9C5F,-1C9984,-1C9926
-1E1458,-1E15C3,-1E15D5
-1C9988,-1C9B48,-1C9AD8
-1E1479,-1E14E3,-1E16F9
-1C9D48,-1C9B70,-1C9C00
-1E1598,-1E144F,-1E156C
-1C9ACE,-1C9C50,-1C9B34
-1E15AA,-1E1725,-1E1784
-1C99A0,-1C9BBE,-1C9AE4
-1E164A,-1E16E9,-1E14DA
-1C9A82,-1C9A29,-1C9D37
-1E13F0,-1E165E,-1E15B2
-1C9A90,-1C9BF0,-1C98B5
