{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
19700,19540,1964D
31303,313BB,313B7
197B6,197CC,197B6
3126B,310D8,31299
19901,198E0,198DC
311A5,31331,3125C
197D9,19673,198B6
3142D,314B0,313EA
199F3,198D5,19963
313BB,31461,314DE
1990A,1997C,1993D
31388,312D7,3138E
19971,199AE,1989E
31533,31285,31637
19969,19ACF,1999C
312EA,3139A,31413
19989,19844,198B4
313DB,313EB,3146F
19917,19A9D,19B75
3115F,3132E,3122A
199FB,19A80,1992C
3147D,314CE,314D8
199C2,19B37,19848
31449,313A7,312EF
19A54,19918,19A43
312BB,312D5,313E5
19B6B,19846,19C78
311FB,313D3,314D4
198E3,19942,19A83
31494,314A3,3146B
19988,19985,197E1
314C6,315BC,31481
19A10,199BD,198C6
314A3,3136F,3140E
19948,196DA,197DC
31365,31376,3150A
19803,1987E,197F9
31232,3144F,31269
198EB,19946,1981C
31225,3121B,31365
197E2,1986D,19809
31275,31419,31367
19A1A,198B0,1992C
3142F,31446,31304
19987,1990B,198A8
312C6,3158E,313BD
198EC,19827,198A0
31362,31401,312AA
19807,1991D,198A9
31469,31496,31573
1991C,1985F,197B1
31361,31193,31278
1997A,19944,19760
31282,311DA,3130F
198E9,1966B,198B2
313E5,31460,31400
1983F,19892,1996F
314E8,31341,314AF
19A3C,197CF,1998A
3134A,3130F,31250
199C3,1989E,198E0
312D0,313E0,31394
1987A,1990C,1984F
31387,315DB,31576
19A9B,19A1F,199BB
310B7,3103C,3122A
19CE3,19E92,19D4F
31712,317BD,315B6
19D91,19D8F,19CB9
31718,315A5,31799
19EF2,19D70,19DFA
317D6,317E9,3174C
19D8D,19C84,19C29
318F2,317D3,31819
19E57,19FAC,19E33
317A4,31659,31709
19E7E,19D72,19CC0
31645,31650,3177A
