{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
145671,145577,14541E
12DAF7,12DB02,12DB2B
145722,14557E,14565C
12DC5F,12DBAE,12DCBA
145813,145798,145624
12DBC2,12DB6B,12DB3A
14493D,144A96,144A12
12E2D4,12E2B1,12E1FE
145C0F,145D29,145BF9
12E140,12E2A6,12E05C
145CFE,145D57,145D27
12E40E,12E354,12E327
145B75,145EC5,145C74
12E381,12E14D,12E3F0
146009,145B22,145D0A
12E266,12E094,12E193
145C66,145CD0,145C83
12E2E8,12E1E0,12E1D4
145CA0,145B93,145B57
12E49F,12E2D3,12E435
145D3B,145BB1,145CB6
12E3EA,12E309,12E470
145EF9,145F02,145FA7
12E25C,12E14F,12E29C
145D52,145CC7,145D4E
12E35D,12E2E9,12E422
145CE1,145E4C,145C8A
12E21B,12E2A2,12E346
145BF9,145B13,145B88
12E34C,12E38A,12E0C2
145DAB,145C9A,145B6B
12E346,12E28B,12E32B
145B22,145ADF,145AC7
12DFC2,12E0AB,12E0CF
145BFF,145CEF,145AA0
12E06E,12E34A,12E23F
145AA4,145CED,145C8B
12E34A,12E265,12E20F
145CC4,145B77,145BF3
12E4B1,12E36C,12E20D
145C6B,145C5F,145BE0
12E42F,12E3F8,12E244
145E31,145DE0,145DC3
12E2EC,12E284,12E322
145E49,145C73,145D1C
12E2F2,12DFC8,12E254
145C86,145E00,145E85
12E2CC,12E25D,12E3C3
145D00,14605B,145EAB
12E345,12E551,12E362
145E43,145F4E,145E09
12E42B,12E41E,12E4DC
145EDD,145DE3,145F4E
12E38A,12E512,12E4A0
145E64,145F29,145ED4
12E2EA,12E368,12E2B0
145EB4,145E4D,145E39
12E57B,12E4EB,12E296
145E45,146002,145CC7
12E3ED,12E3AB,12E40A
145D16,145D9E,145F49
12E37D,12E493,12E3C9
145DA5,145F2C,145F26
12E27A,12E2C8,12E3D5
145BC6,145DEE,145EC2
12E2B9,12E403,12E3AD
145D92,145DE4,145E2D
12E419,12E430,12E433
145C0F,145CF9,145E72
12E2A8,12E50C,12E362
145F79,14600C,145F4E
12E4BF,12E403,12E265
145EA0,145FBC,145ADD
12E2FA,12E416,12E563
145EA7,145F29,145E5D
12E489,12E4E2,12E2DB
145E43,145F1B,146057
12E3BF,12E3E6,12E5C0
145DB0,146020,145ECC
12E341,12E532,12E4ED
145C16,145D15,145EAA
12E516,12E328,12E3CC
145EAD,14601C,145ECB
12E51B,12E4AC,12E50B
145D67,145F2D,145E19
12E4C5,12E495,12E40B
145F86,14621E,14610E
12E5DD,12E38C,12E5FC
145F39,146085,145E6B
12E4CA,12E43D,12E4C1
145DA2,145F57,145D8C
12E434,12E49E,12E2F1
145C57,145FAE,145D01
12E463,12E3E3,12E503
145EAA,145E33,145E7E
12E4E6,12E3A5,12E6E0
145E8B,145EB3,145D07
12E676,12E44B,12E4E4
145F00,145F98,145E63
12E3A4,12E370,12E463
145EC8,145E29,145F16
12E230,12E35B,12E2A6
145EE0,146172,145FEE
12E5CC,12E5B6,12E3B0
145FCF,145F3C,145E8C
12E598,12E567,12E5D9
145F54,145EE9,145E10
12E72F,12E64B,12E800
145F4E,146050,145FDE
12E6CE,12E588,12E5BC
145E9A,146254,146081
12E70B,12E789,12E65A
1461B8,14608A,145EC8
12E790,12E8B9,12E67C
145FE1,146132,1460A9
12E5FB,12E645,12E65D
146006,146113,146177
12E6AC,12E477,12E537
14618E,1461DC,1462DE
12E531,12E5C4,12E6CE
146039,146059,14600D
