{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_VERSION': '1.0'}
-4661,-44DB,-46E1
-1C24E,-1C0E3,-1BF8F
-4539,-4621,-47FD
-1BF55,-1C054,-1BF1A
-4672,-444F,-445E
-1BE6C,-1BD08,-1BDEE
-4348,-43AE,-44A4
-1BF41,-1BEE4,-1BF4F
-44F8,-479B,-454A
-1BF31,-1BDC9,-1BBC2
-44CA,-43B4,-43CB
-1BCFB,-1BF09,-1BE7D
-44C1,-4305,-4412
-1C171,-1C003,-1C044
-4711,-4764,-4768
-1C0BB,-1C184,-1C020
-487B,-44E7,-45D7
-1C035,-1C17A,-1BEEC
-45A0,-4587,-46D7
-1BEF8,-1C0D5,-1BF84
-4568,-4467,-43FD
-1C02A,-1BFD6,-1C11E
-4613,-452A,-44E4
-1BEE2,-1BFE8,-1BE13
-46F8,-450C,-45C5
-1C154,-1C0D2,-1C126
-4680,-4629,-4591
-1C127,-1C097,-1BED2
-45C5,-45D4,-454C
-1BF27,-1C0EA,-1BFD7
-4510,-45AC,-451C
-1BE62,-1BF99,-1BF5C
-46E8,-431F,-4346
-1BE1D,-1C06E,-1BEE4
-429D,-4393,-440C
-1BD1C,-1BFEA,-1BCC6
-43FE,-45EC,-4429
-1BE77,-1BF66,-1BE21
-43E3,-41D3,-4253
-1BC93,-1BDD2,-1BDAD
-4266,-42E7,-4353
-1BC7A,-1BBA1,-1BD8B
-4401,-4364,-430B
-1BDC3,-1BED0,-1BE82
-42B0,-43F5,-439C
-1BCFA,-1BE08,-1BDF0
-44C5,-41BC,-4392
-1BC46,-1BE3A,-1BC26
-43E6,-44A2,-453E
-1BD74,-1BCE3,-1BB70
-42EF,-425B,-42AE
-1BCB4,-1BBB5,-1BC55
-4350,-4296,-4213
-1BCD4,-1BEB3,-1BCA3
-40AD,-4256,-44E1
-1BDF4,-1BCD6,-1BD72
-4434,-41CD,-4160
-1BC20,-1BBF5,-1BD3D
-3F2D,-40AE,-4245
-1BB10,-1BC5D,-1BD69
-4171,-421D,-416D
-1BD6A,-1BC78,-1BCE0
-4088,-3F87,-4090
-1BA2B,-1BAA8,-1B9F0
-409A,-3FFA,-3ED5
-1BABB,-1BA1C,-1B9A3
-4069,-4181,-4042
-1BA63,-1BA90,-1BB35
-3FF3,-3EF4,-405D
-1B7AE,-1B94A,-1B893
-3E41,-3FC8,-403E
-1B8A9,-1B941,-1B794
-3ED3,-3CF9,-3F68
-1B948,-1B96D,-1B86C
-405E,-3EA2,-3E21
-1B7CE,-1B92A,-1B826
-3E69,-3EF3,-41ED
-1B32A,-1B2FF,-1B04F
-43CB,-449F,-4605
-1BE3B,-1C0AB,-1BF65
-438B,-4274,-43D0
-1BF87,-1BCD8,-1BD24
-44CE,-44DC,-44AE
-1BF7C,-1BDDD,-1BD45
-40DD,-441B,-4426
-1BE6D,-1BDFA,-1BD25
-4202,-4408,-435E
-1BDD6,-1BE00,-1BE37
-40F2,-424E,-431A
-1BC40,-1BDCB,-1BC9F
-42A3,-4121,-40CA
-1BA86,-1BC46,-1BBB5
-4099,-420E,-4026
-1BCE3,-1BCED,-1BD3B
-42C7,-4023,-3FD5
-1BC94,-1BAC4,-1BABA
-40DA,-415A,-412C
-1B9E8,-1BA05,-1BC03
-403B,-402E,-40A1
-1BA66,-1BBA6,-1BC27
-40F9,-3E09,-3EA6
-1B9A8,-1BB84,-1BAB2
-3EDF,-3FF3,-3CE9
-1BAC4,-1BBEC,-1B86D
-3DAE,-3F38,-41AE
-1BBBA,-1BB43,-1BBB2
-40D1,-4030,-409A
-1B74B,-1B8EC,-1B913
-400B,-408A,-3FC1
-1BBBE,-1BC88,-1BBAA
-3FC0,-4085,-3FE9
-1BB1F,-1BAD5,-1BA63
-4143,-4142,-3F8F
-1B804,-1BB51,-1BAAA
-403F,-3E48,-4099
-1B73B,-1B825,-1B7AC
-3FDC,-3D04,-3E30
-1B89B,-1B91D,-1B8E0
-3F4E,-3FB3,-3FC7
-1B758,-1B784,-1BA4B
-3B77,-3CFC,-3ACB
-1B81F,-1B831,-1B73B
-3EAD,-3D16,-3E7C
-1B5A4,-1B5F4,-1B4BF
-3ECF,-3E43,-3BD3
-1B57E,-1B6EE,-1B7C8
-39BC,-3A56,-3B9A
-1B244,-1B7A2,-1B5DE
-3A8B,-3B43,-3DA7
-1B745,-1B4A5,-1B5F9
-3C1E,-3C87,-3A1A
-1B5BA,-1B683,-1B512
-3B84,-3BDE,-3A47
-1B5EA,-1B7F3,-1B51C
-3CE7,-3B07,-396D
-1B5BB,-1B583,-1B3EA
-3A79,-3A7F,-3BBB
-1B534,-1B43A,-1B4E7
-3994,-39D7,-3905
-1B33A,-1B32C,-1B425
-389D,-39A2,-3955
-1B761,-1B6D9,-1B747
-3EDB,-403F,-3E7F
-1B6EB,-1B748,-1B88F
-3DE2,-3CA4,-3C9E
-1B7A1,-1B890,-1B847
-3D40,-3CD3,-3AE8
-1B637,-1B70E,-1B738
-3CD2,-3D9B,-3B0C
-1B7D6,-1B65E,-1B8A9
-3CAD,-3B43,-3C14
-1B57E,-1B4CE,-1B5B2
-3B75,-3BAF,-3B76
-1B514,-1B523,-1B89A
-3AE2,-3A89,-3D3A
-1B5F0,-1B6F2,-1B713
-3CF7,-3D99,-3B6B
-1B7BC,-1B78F,-1B7B8
-3D32,-3B38,-3BF5
-1B4CE,-1B4C5,-1B3D8
-3CEC,-3C4D,-3AFE
-1B451,-1B5F3,-1B342
-3ADB,-38AB,-3A25
-1B2C2,-1B41B,-1B58E
